RevisionColumn,GenderID,NUTS,periods,Units,ValueColumn
"r_7","0","BG323","2015","perc","9"
"r_7","0","BG323","2016","perc","6.9"
"r_7","0","BG323","2017","perc","5.7"
"r_7","0","BG325","2003","perc","15.5"
"r_7","0","BG325","2004","perc","17.6"
"r_7","0","BG325","2005","perc","16.9"
"r_7","0","BG325","2006","perc","15.9"
"r_7","0","BG325","2007","perc","15.2"
"r_7","0","BG325","2008","perc","11.6"
"r_7","0","BG325","2009","perc","7.6"
"r_7","0","BG325","2010","perc","11.3"
"r_7","0","BG325","2011","perc","12.5"
"r_7","0","BG325","2012","perc","16"
"r_7","0","BG325","2013","perc","21.3"
"r_7","0","BG325","2014","perc","22.4"
"r_7","0","BG325","2015","perc","21.8"
"r_7","0","BG325","2016","perc","16.7"
"r_7","0","BG325","2017","perc","12.5"
"r_7","0","BG33","2003","perc","20.1"
"r_7","0","BG33","2004","perc","17.4"
"r_7","0","BG33","2005","perc","12.1"
"r_7","0","BG33","2006","perc","11"
"r_7","0","BG33","2007","perc","10.8"
"r_7","0","BG33","2008","perc","8.6"
"r_7","0","BG33","2009","perc","10.4"
"r_7","0","BG33","2010","perc","14.6"
"r_7","0","BG33","2011","perc","15.4"
"r_7","0","BG33","2012","perc","18.2"
"r_7","0","BG33","2013","perc","16.8"
"r_7","0","BG33","2014","perc","12.6"
"r_7","0","BG33","2015","perc","10.3"
"r_7","0","BG33","2016","perc","9.7"
"r_7","0","BG33","2017","perc","9.4"
"r_7","0","BG331","2003","perc","17.3"
"r_7","0","BG331","2004","perc","14.5"
"r_7","0","BG331","2005","perc","9.5"
"r_7","0","BG331","2006","perc","7.5"
"r_7","0","BG331","2007","perc","6.8"
"r_7","0","BG331","2008","perc","4.3"
"r_7","0","BG331","2009","perc","4.3"
"r_7","0","BG331","2010","perc","8.5"
"r_7","0","BG331","2011","perc","10.3"
"r_7","0","BG331","2012","perc","16.4"
"r_7","0","BG331","2013","perc","13.7"
"r_7","0","BG331","2014","perc","8.7"
"r_7","0","BG331","2015","perc","5.7"
"r_7","0","BG331","2016","perc","7.1"
"r_7","0","BG331","2017","perc","7.3"
"r_7","0","BG332","2003","perc","19"
"r_7","0","BG332","2004","perc","18.5"
"r_7","0","BG332","2005","perc","17.1"
