RevisionColumn,periods,Units,Indicators,ValueColumn
"r_3","2016","1000BGN","3.1.2.5.1.2.1.2","121083"
"r_3","2017","1000BGN","3.1.2.5.1.2.1.2","150810"
"r_3","2018","1000BGN","3.1.2.5.1.2.1.2","155170"
"r_3","2019","1000BGN","3.1.2.5.1.2.1.2","134827"
"r_3","2020","1000BGN","3.1.2.5.1.2.1.2","120275"
"r_3","2005","1000BGN","3.1.2.5.1.2.2","2083"
"r_3","2006","1000BGN","3.1.2.5.1.2.2","2120"
"r_3","2007","1000BGN","3.1.2.5.1.2.2","7314"
"r_3","2008","1000BGN","3.1.2.5.1.2.2","378282"
"r_3","2009","1000BGN","3.1.2.5.1.2.2","106065"
"r_3","2010","1000BGN","3.1.2.5.1.2.2","82874"
"r_3","2011","1000BGN","3.1.2.5.1.2.2","105379"
"r_3","2012","1000BGN","3.1.2.5.1.2.2","51174"
"r_3","2013","1000BGN","3.1.2.5.1.2.2","63399"
"r_3","2014","1000BGN","3.1.2.5.1.2.2","39545"
"r_3","2015","1000BGN","3.1.2.5.1.2.2","50562"
"r_3","2016","1000BGN","3.1.2.5.1.2.2","18499"
"r_3","2017","1000BGN","3.1.2.5.1.2.2","13525"
"r_3","2018","1000BGN","3.1.2.5.1.2.2","57192"
"r_3","2019","1000BGN","3.1.2.5.1.2.2","31907"
"r_3","2020","1000BGN","3.1.2.5.1.2.2","62369"
"r_3","2005","1000BGN","3.1.2.5.1.2.3","40"
"r_3","2006","1000BGN","3.1.2.5.1.2.3","15"
"r_3","2007","1000BGN","3.1.2.5.1.2.3","1"
"r_3","2008","1000BGN","3.1.2.5.1.2.3","620"
"r_3","2009","1000BGN","3.1.2.5.1.2.3","207"
"r_3","2010","1000BGN","3.1.2.5.1.2.3","19"
"r_3","2011","1000BGN","3.1.2.5.1.2.3","38775"
"r_3","2012","1000BGN","3.1.2.5.1.2.3","1163"
"r_3","2013","1000BGN","3.1.2.5.1.2.3",".."
"r_3","2014","1000BGN","3.1.2.5.1.2.3","396"
"r_3","2015","1000BGN","3.1.2.5.1.2.3",".."
"r_3","2016","1000BGN","3.1.2.5.1.2.3","#"
"r_3","2017","1000BGN","3.1.2.5.1.2.3","#"
"r_3","2018","1000BGN","3.1.2.5.1.2.3","#"
"r_3","2019","1000BGN","3.1.2.5.1.2.3","#"
"r_3","2020","1000BGN","3.1.2.5.1.2.3","#"
"r_3","2005","1000BGN","3.1.2.5.1.2.4","2132"
"r_3","2006","1000BGN","3.1.2.5.1.2.4","2109"
"r_3","2007","1000BGN","3.1.2.5.1.2.4","7314"
"r_3","2008","1000BGN","3.1.2.5.1.2.4","377673"
"r_3","2009","1000BGN","3.1.2.5.1.2.4","108760"
"r_3","2010","1000BGN","3.1.2.5.1.2.4","84490"
"r_3","2011","1000BGN","3.1.2.5.1.2.4","105379"
"r_3","2012","1000BGN","3.1.2.5.1.2.4","50073"
"r_3","2013","1000BGN","3.1.2.5.1.2.4","63434"
"r_3","2014","1000BGN","3.1.2.5.1.2.4","39252"
"r_3","2015","1000BGN","3.1.2.5.1.2.4","49762"
"r_3","2016","1000BGN","3.1.2.5.1.2.4","18499"
"r_3","2017","1000BGN","3.1.2.5.1.2.4","13525"
"r_3","2018","1000BGN","3.1.2.5.1.2.4","57192"
"r_3","2019","1000BGN","3.1.2.5.1.2.4","31907"
"r_3","2020","1000BGN","3.1.2.5.1.2.4","62369"
"r_3","2005","1000BGN","3.1.2.5.1.2.5","2132"
"r_3","2006","1000BGN","3.1.2.5.1.2.5","2113"
"r_3","2007","1000BGN","3.1.2.5.1.2.5","7314"
"r_3","2008","1000BGN","3.1.2.5.1.2.5","377642"
"r_3","2009","1000BGN","3.1.2.5.1.2.5","110919"
"r_3","2010","1000BGN","3.1.2.5.1.2.5","84690"
"r_3","2011","1000BGN","3.1.2.5.1.2.5","105518"
"r_3","2012","1000BGN","3.1.2.5.1.2.5","49652"
"r_3","2013","1000BGN","3.1.2.5.1.2.5",".."
"r_3","2014","1000BGN","3.1.2.5.1.2.5","39315"
"r_3","2015","1000BGN","3.1.2.5.1.2.5",".."
"r_3","2016","1000BGN","3.1.2.5.1.2.5","18461"
"r_3","2017","1000BGN","3.1.2.5.1.2.5","13787"
"r_3","2018","1000BGN","3.1.2.5.1.2.5","57135"
"r_3","2019","1000BGN","3.1.2.5.1.2.5","31722"
"r_3","2020","1000BGN","3.1.2.5.1.2.5","62197"
"r_3","2005","1000BGN","3.1.2.5.1.2","115509"
"r_3","2006","1000BGN","3.1.2.5.1.2","197298"
"r_3","2007","1000BGN","3.1.2.5.1.2","1056261"
"r_3","2008","1000BGN","3.1.2.5.1.2","1321129"
"r_3","2009","1000BGN","3.1.2.5.1.2","838563"
"r_3","2010","1000BGN","3.1.2.5.1.2","826576"
"r_3","2011","1000BGN","3.1.2.5.1.2","1070372"
"r_3","2012","1000BGN","3.1.2.5.1.2","761335"
"r_3","2013","1000BGN","3.1.2.5.1.2","801245"
"r_3","2014","1000BGN","3.1.2.5.1.2","871185"
"r_3","2015","1000BGN","3.1.2.5.1.2","1019184"
