RevisionColumn,NUTS,Units,periods,GenderID,ValueColumn
"r_2","BG311","1000cp","2011Q3","0","30.3"
"r_2","BG311","1000cp","2011Q3","1","16.8"
"r_2","BG311","1000cp","2011Q3","2","13.4"
"r_2","BG311","1000cp","2011Q4","0","33.3"
"r_2","BG311","1000cp","2011Q4","1","17"
"r_2","BG311","1000cp","2011Q4","2","16.3"
"r_2","BG311","1000cp","2012Q1","0","32.7"
"r_2","BG311","1000cp","2012Q1","1","17.3"
"r_2","BG311","1000cp","2012Q1","2","15.4"
"r_2","BG311","1000cp","2012Q2","0","31.9"
"r_2","BG311","1000cp","2012Q2","1","18.8"
"r_2","BG311","1000cp","2012Q2","2","13.1"
"r_2","BG311","1000cp","2012Q3","0","30.6"
"r_2","BG311","1000cp","2012Q3","1","18.4"
"r_2","BG311","1000cp","2012Q3","2","12.2"
"r_2","BG311","1000cp","2012Q4","0","31.8"
"r_2","BG311","1000cp","2012Q4","1","17.8"
"r_2","BG311","1000cp","2012Q4","2","13.9"
"r_2","BG311","1000cp","2013Q1","0","33.7"
"r_2","BG311","1000cp","2013Q1","1","17.5"
"r_2","BG311","1000cp","2013Q1","2","16.2"
"r_2","BG311","1000cp","2013Q2","0","33.6"
"r_2","BG311","1000cp","2013Q2","1","18.4"
"r_2","BG311","1000cp","2013Q2","2","15.2"
"r_2","BG311","1000cp","2013Q3","0","31.4"
"r_2","BG311","1000cp","2013Q3","1","16.9"
"r_2","BG311","1000cp","2013Q3","2","14.5"
"r_2","BG311","1000cp","2013Q4","0","32.9"
"r_2","BG311","1000cp","2013Q4","1","17.6"
"r_2","BG311","1000cp","2013Q4","2","15.3"
"r_2","BG311","1000cp","2014Q1","0","34.3"
"r_2","BG311","1000cp","2014Q1","1","17.9"
"r_2","BG311","1000cp","2014Q1","2","16.4"
"r_2","BG311","1000cp","2014Q2","0","32"
"r_2","BG311","1000cp","2014Q2","1","16.2"
"r_2","BG311","1000cp","2014Q2","2","15.8"
"r_2","BG311","1000cp","2014Q3","0","29.8"
"r_2","BG311","1000cp","2014Q3","1","15.3"
"r_2","BG311","1000cp","2014Q3","2","14.5"
"r_2","BG311","1000cp","2014Q4","0","30"
"r_2","BG311","1000cp","2014Q4","1","15.1"
"r_2","BG311","1000cp","2014Q4","2","14.8"
"r_2","BG311","1000cp","2015Q1","0","32.3"
"r_2","BG311","1000cp","2015Q1","1","16.6"
"r_2","BG311","1000cp","2015Q1","2","15.7"
"r_2","BG311","1000cp","2015Q2","0","33.3"
"r_2","BG311","1000cp","2015Q2","1","17.6"
"r_2","BG311","1000cp","2015Q2","2","15.7"
"r_2","BG311","1000cp","2015Q3","0","32.1"
"r_2","BG311","1000cp","2015Q3","1","16.3"
"r_2","BG311","1000cp","2015Q3","2","15.8"
"r_2","BG311","1000cp","2015Q4","0","32.3"
"r_2","BG311","1000cp","2015Q4","1","16"
"r_2","BG311","1000cp","2015Q4","2","16.3"
"r_2","BG313","1000cp","2003Q1","0","70.1"
"r_2","BG313","1000cp","2003Q1","1","38.4"
"r_2","BG313","1000cp","2003Q1","2","31.6"
"r_2","BG313","1000cp","2003Q2","0","62.4"
"r_2","BG313","1000cp","2003Q2","1","34.4"
"r_2","BG313","1000cp","2003Q2","2","28"
"r_2","BG313","1000cp","2003Q3","0","62.9"
"r_2","BG313","1000cp","2003Q3","1","34.5"
"r_2","BG313","1000cp","2003Q3","2","28.5"
"r_2","BG313","1000cp","2003Q4","0","63.2"
"r_2","BG313","1000cp","2003Q4","1","32.7"
"r_2","BG313","1000cp","2003Q4","2","30.5"
"r_2","BG313","1000cp","2004Q1","0","60.5"
"r_2","BG313","1000cp","2004Q1","1","31.4"
"r_2","BG313","1000cp","2004Q1","2","29.1"
"r_2","BG313","1000cp","2004Q2","0","65.3"
"r_2","BG313","1000cp","2004Q2","1","36.1"
"r_2","BG313","1000cp","2004Q2","2","29.2"
"r_2","BG313","1000cp","2004Q3","0","70.6"
"r_2","BG313","1000cp","2004Q3","1","36.8"
"r_2","BG313","1000cp","2004Q3","2","33.8"
"r_2","BG313","1000cp","2004Q4","0","73.1"
"r_2","BG313","1000cp","2004Q4","1","37.8"
"r_2","BG313","1000cp","2004Q4","2","35.3"
"r_2","BG313","1000cp","2005Q1","0","59.2"
"r_2","BG313","1000cp","2005Q1","1","31.2"
"r_2","BG313","1000cp","2005Q1","2","28"
"r_2","BG313","1000cp","2005Q2","0","65"
"r_2","BG313","1000cp","2005Q2","1","33.8"
"r_2","BG313","1000cp","2005Q2","2","31.2"
"r_2","BG313","1000cp","2005Q3","0","67.9"
"r_2","BG313","1000cp","2005Q3","1","35.3"
"r_2","BG313","1000cp","2005Q3","2","32.6"
"r_2","BG313","1000cp","2005Q4","0","67.8"
"r_2","BG313","1000cp","2005Q4","1","37"
"r_2","BG313","1000cp","2005Q4","2","30.8"
"r_2","BG313","1000cp","2006Q1","0","66"
"r_2","BG313","1000cp","2006Q1","1","36.2"
"r_2","BG313","1000cp","2006Q1","2","29.8"
"r_2","BG313","1000cp","2006Q2","0","68.9"
"r_2","BG313","1000cp","2006Q2","1","35.8"
"r_2","BG313","1000cp","2006Q2","2","33.2"
"r_2","BG313","1000cp","2006Q3","0","69.3"
"r_2","BG313","1000cp","2006Q3","1","37"
"r_2","BG313","1000cp","2006Q3","2","32.3"
"r_2","BG313","1000cp","2006Q4","0","71.8"
"r_2","BG313","1000cp","2006Q4","1","39.7"
"r_2","BG313","1000cp","2006Q4","2","32.1"
"r_2","BG313","1000cp","2007Q1","0","68.3"
