RevisionColumn,periods,Indicators,Units,Countries_TOUR,ValueColumn
"r_4","2015XI","3.5.2.1.2","num","EE","124"
"r_4","2015XI","3.5.2.2.2","num","IE","896"
"r_4","2015XI","3.5.2.1.2","num","IE","456"
"r_4","2015XI","3.5.2.2.2","num","ES","2743"
"r_4","2015XI","3.5.2.1.2","num","ES","1197"
"r_4","2015XI","3.5.2.2.2","num","IT","10871"
"r_4","2015XI","3.5.2.1.2","num","IT","4881"
"r_4","2015XI","3.5.2.2.2","num","CY","839"
"r_4","2015XI","3.5.2.1.2","num","CY","326"
"r_4","2015XI","3.5.2.2.2","num","LV","582"
"r_4","2015XI","3.5.2.1.2","num","LV","203"
"r_4","2015XI","3.5.2.2.2","num","LT","800"
"r_4","2015XI","3.5.2.1.2","num","LT","274"
"r_4","2015XI","3.5.2.2.2","num","LU","90"
"r_4","2015XI","3.5.2.1.2","num","LU","47"
"r_4","2015XI","3.5.2.2.2","num","MT","424"
"r_4","2015XI","3.5.2.1.2","num","MT","190"
"r_4","2015XI","3.5.2.2.2","num","NL","3219"
"r_4","2015XI","3.5.2.1.2","num","NL","1535"
"r_4","2015XI","3.5.2.2.2","num","GB","8388"
"r_4","2015XI","3.5.2.1.2","num","GB","4479"
"r_4","2015XI","3.5.2.2.2","num","PL","2951"
"r_4","2015XI","3.5.2.1.2","num","PL","1333"
"r_4","2015XI","3.5.2.2.2","num","PT","1024"
"r_4","2015XI","3.5.2.1.2","num","PT","322"
"r_4","2015XI","3.5.2.2.2","num","RO","11615"
"r_4","2015XI","3.5.2.1.2","num","RO","5744"
"r_4","2015XI","3.5.2.2.2","num","SK","784"
"r_4","2015XI","3.5.2.1.2","num","SK","267"
"r_4","2015XI","3.5.2.2.2","num","SI","1292"
"r_4","2015XI","3.5.2.1.2","num","SI","712"
"r_4","2015XI","3.5.2.2.2","num","HU","1797"
"r_4","2015XI","3.5.2.1.2","num","HU","927"
"r_4","2015XI","3.5.2.2.2","num","FI","589"
"r_4","2015XI","3.5.2.1.2","num","FI","307"
"r_4","2015XI","3.5.2.2.2","num","FR","4121"
"r_4","2015XI","3.5.2.1.2","num","FR","2241"
"r_4","2015XI","3.5.2.2.2","num","HR","1174"
