RevisionColumn,periods,Units,GenderID,NUTS,ValueColumn
"r_2","2008Q3","1000cp","1","BG34","13.2"
"r_2","2008Q3","1000cp","2","BG34","11.5"
"r_2","2008Q3","1000cp","0","BG41","30.3"
"r_2","2008Q3","1000cp","1","BG41","16.7"
"r_2","2008Q3","1000cp","2","BG41","13.6"
"r_2","2008Q3","1000cp","0","BG42","32.7"
"r_2","2008Q3","1000cp","1","BG42","16.9"
"r_2","2008Q3","1000cp","2","BG42","15.8"
"r_2","2008Q4","1000cp","0","BG","177.7"
"r_2","2008Q4","1000cp","1","BG","93.4"
"r_2","2008Q4","1000cp","2","BG","84.3"
"r_2","2008Q4","1000cp","0","BG31","26.3"
"r_2","2008Q4","1000cp","1","BG31","14.7"
"r_2","2008Q4","1000cp","2","BG31","11.6"
"r_2","2008Q4","1000cp","0","BG32","30.5"
"r_2","2008Q4","1000cp","1","BG32","16.7"
"r_2","2008Q4","1000cp","2","BG32","13.8"
"r_2","2008Q4","1000cp","0","BG33","32"
"r_2","2008Q4","1000cp","1","BG33","13.4"
"r_2","2008Q4","1000cp","2","BG33","18.6"
"r_2","2008Q4","1000cp","0","BG34","25.3"
"r_2","2008Q4","1000cp","1","BG34","12.3"
"r_2","2008Q4","1000cp","2","BG34","13.1"
"r_2","2008Q4","1000cp","0","BG41","27.1"
"r_2","2008Q4","1000cp","1","BG41","15.7"
"r_2","2008Q4","1000cp","2","BG41","11.3"
"r_2","2008Q4","1000cp","0","BG42","36.5"
"r_2","2008Q4","1000cp","1","BG42","20.7"
"r_2","2008Q4","1000cp","2","BG42","15.8"
"r_2","2009Q1","1000cp","0","BG","222.2"
"r_2","2009Q1","1000cp","1","BG","121.8"
"r_2","2009Q1","1000cp","2","BG","100.4"
"r_2","2009Q1","1000cp","0","BG31","31"
"r_2","2009Q1","1000cp","1","BG31","16.9"
"r_2","2009Q1","1000cp","2","BG31","14.1"
"r_2","2009Q1","1000cp","0","BG32","37.6"
"r_2","2009Q1","1000cp","1","BG32","20"
"r_2","2009Q1","1000cp","2","BG32","17.6"
"r_2","2009Q1","1000cp","0","BG33","43.1"
"r_2","2009Q1","1000cp","1","BG33","23.9"
"r_2","2009Q1","1000cp","2","BG33","19.2"
"r_2","2009Q1","1000cp","0","BG34","33.3"
"r_2","2009Q1","1000cp","1","BG34","17.1"
"r_2","2009Q1","1000cp","2","BG34","16.2"
"r_2","2009Q1","1000cp","0","BG41","33.5"
