RevisionColumn,SILC_HHType,Units,periods,ValueColumn
"r_11","12","perc_pop_fig","2023","42.815793282197696"
"r_11","13","perc_pop_fig","2023","14.648718991030563"
"r_11","14","perc_pop_fig","2023","21.181924178983294"
"r_11","15","perc_pop_fig","2023","55.19825474988069"
"r_11","16","perc_pop_fig","2023","22.386207696981696"
"r_12","3","perc_pop_fig","2024","19.2"
"r_12","4","perc_pop_fig","2024","23.7"
"r_12","5","perc_pop_fig","2024","40.4"
"r_12","6","perc_pop_fig","2024","35"
"r_12","7","perc_pop_fig","2024","31.4"
"r_12","8","perc_pop_fig","2024","10.9"
"r_12","9","perc_pop_fig","2024","14.6"
"r_12","10","perc_pop_fig","2024","8.2"
"r_12","11","perc_pop_fig","2024","24.3"
"r_12","12","perc_pop_fig","2024","40"
"r_12","13","perc_pop_fig","2024","17.7"
"r_12","14","perc_pop_fig","2024","22.4"
"r_12","15","perc_pop_fig","2024","47"
"r_12","16","perc_pop_fig","2024","22.5"
