RevisionColumn,periods,Units,GenderID,NUTS,ValueColumn
"r_2","2006Q1","perc","1","BG31","10.7"
"r_2","2006Q1","perc","2","BG31","13.5"
"r_2","2006Q1","perc","0","BG32","12.5"
"r_2","2006Q1","perc","1","BG32","12.7"
"r_2","2006Q1","perc","2","BG32","12.3"
"r_2","2006Q1","perc","0","BG33","11.5"
"r_2","2006Q1","perc","1","BG33","10.6"
"r_2","2006Q1","perc","2","BG33","12.7"
"r_2","2006Q1","perc","0","BG34","8.9"
"r_2","2006Q1","perc","1","BG34","8.3"
"r_2","2006Q1","perc","2","BG34","9.7"
"r_2","2006Q1","perc","0","BG41","7.3"
"r_2","2006Q1","perc","1","BG41","7.9"
"r_2","2006Q1","perc","2","BG41","6.6"
"r_2","2006Q1","perc","0","BG42","9.8"
"r_2","2006Q1","perc","1","BG42","9.6"
"r_2","2006Q1","perc","2","BG42","10"
"r_2","2006Q2","perc","0","BG","9"
"r_2","2006Q2","perc","1","BG","8.7"
"r_2","2006Q2","perc","2","BG","9.2"
"r_2","2006Q2","perc","0","BG31","10.3"
"r_2","2006Q2","perc","1","BG31","11.6"
"r_2","2006Q2","perc","2","BG31","8.9"
"r_2","2006Q2","perc","0","BG32","13.5"
"r_2","2006Q2","perc","1","BG32","12.7"
"r_2","2006Q2","perc","2","BG32","14.3"
"r_2","2006Q2","perc","0","BG33","10.7"
"r_2","2006Q2","perc","1","BG33","8.7"
"r_2","2006Q2","perc","2","BG33","13"
"r_2","2006Q2","perc","0","BG34","8.3"
"r_2","2006Q2","perc","1","BG34","7.5"
"r_2","2006Q2","perc","2","BG34","9.3"
"r_2","2006Q2","perc","0","BG41","6.5"
"r_2","2006Q2","perc","1","BG41","7.1"
"r_2","2006Q2","perc","2","BG41","5.9"
"r_2","2006Q2","perc","0","BG42","8.6"
"r_2","2006Q2","perc","1","BG42","8.2"
"r_2","2006Q2","perc","2","BG42","9.1"
"r_2","2006Q3","perc","0","BG","8.8"
"r_2","2006Q3","perc","1","BG","8.3"
"r_2","2006Q3","perc","2","BG","9.4"
"r_2","2006Q3","perc","0","BG31","11.2"
"r_2","2006Q3","perc","1","BG31","10.3"
"r_2","2006Q3","perc","2","BG31","12.2"
"r_2","2006Q3","perc","0","BG32","14"
"r_2","2006Q3","perc","1","BG32","12.7"
"r_2","2006Q3","perc","2","BG32","15.5"
"r_2","2006Q3","perc","0","BG33","11.4"
"r_2","2006Q3","perc","1","BG33","10.1"
"r_2","2006Q3","perc","2","BG33","12.8"
"r_2","2006Q3","perc","0","BG34","6.9"
"r_2","2006Q3","perc","1","BG34","6.4"
"r_2","2006Q3","perc","2","BG34","7.6"
"r_2","2006Q3","perc","0","BG41","6.8"
"r_2","2006Q3","perc","1","BG41","7"
"r_2","2006Q3","perc","2","BG41","6.6"
"r_2","2006Q3","perc","0","BG42","7.2"
"r_2","2006Q3","perc","1","BG42","6.7"
"r_2","2006Q3","perc","2","BG42","7.7"
"r_2","2006Q4","perc","0","BG","8.4"
"r_2","2006Q4","perc","1","BG","8.1"
"r_2","2006Q4","perc","2","BG","8.7"
"r_2","2006Q4","perc","0","BG31","10.6"
"r_2","2006Q4","perc","1","BG31","9.8"
"r_2","2006Q4","perc","2","BG31","11.6"
"r_2","2006Q4","perc","0","BG32","13.8"
