RevisionColumn,periods,Units,Age10_LFS,GenderID,ValueColumn
"r_17","2004Q2","perc","65+","1","(0.6)"
"r_17","2004Q2","perc","0","2","11.6"
"r_17","2004Q2","perc","15 - 64","2","11.7"
"r_17","2004Q2","perc","20 - 64","2","11.2"
"r_17","2004Q2","perc","15 - 29","2","18.2"
"r_17","2004Q2","perc","15 - 24","2","23.8"
"r_17","2004Q2","perc","25 - 34","2","12.4"
"r_17","2004Q2","perc","35 - 44","2","10.1"
"r_17","2004Q2","perc","45 - 54","2","10"
"r_17","2004Q2","perc","55 - 64","2","9.4"
"r_17","2004Q2","perc","65+","2","(1.5)"
"r_17","2004Q3","perc","0","0","11"
"r_17","2004Q3","perc","15 - 64","0","11.1"
"r_17","2004Q3","perc","20 - 64","0","10.5"
"r_17","2004Q3","perc","15 - 29","0","18.2"
"r_17","2004Q3","perc","15 - 24","0","24.9"
"r_17","2004Q3","perc","25 - 34","0","11.9"
"r_17","2004Q3","perc","35 - 44","0","8.4"
"r_17","2004Q3","perc","45 - 54","0","9.4"
"r_17","2004Q3","perc","55 - 64","0","9.1"
"r_17","2004Q3","perc","65+","0","(0.4)"
"r_17","2004Q3","perc","0","1","11.5"
"r_17","2004Q3","perc","15 - 64","1","11.7"
"r_17","2004Q3","perc","20 - 64","1","11.2"
"r_17","2004Q3","perc","15 - 29","1","19"
"r_17","2004Q3","perc","15 - 24","1","25.7"
"r_17","2004Q3","perc","25 - 34","1","12.5"
"r_17","2004Q3","perc","35 - 44","1","9.3"
"r_17","2004Q3","perc","45 - 54","1","9.3"
"r_17","2004Q3","perc","55 - 64","1","9.2"
"r_17","2004Q3","perc","65+","1","-"
"r_17","2004Q3","perc","0","2","10.4"
"r_17","2004Q3","perc","15 - 64","2","10.5"
"r_17","2004Q3","perc","20 - 64","2","9.8"
"r_17","2004Q3","perc","15 - 29","2","17.3"
"r_17","2004Q3","perc","15 - 24","2","24"
"r_17","2004Q3","perc","25 - 34","2","11.1"
"r_17","2004Q3","perc","35 - 44","2","7.5"
"r_17","2004Q3","perc","45 - 54","2","9.5"
"r_17","2004Q3","perc","55 - 64","2","9.1"
"r_17","2004Q3","perc","65+","2","(1.1)"
"r_17","2004Q4","perc","0","0","11.8"
"r_17","2004Q4","perc","15 - 64","0","12"
"r_17","2004Q4","perc","20 - 64","0","11.4"
"r_17","2004Q4","perc","15 - 29","0","19.6"
"r_17","2004Q4","perc","15 - 24","0","27"
"r_17","2004Q4","perc","25 - 34","0","11.9"
"r_17","2004Q4","perc","35 - 44","0","9.3"
"r_17","2004Q4","perc","45 - 54","0","10.2"
"r_17","2004Q4","perc","55 - 64","0","10.2"
"r_17","2004Q4","perc","65+","0","(1.3)"
"r_17","2004Q4","perc","0","1","12.5"
"r_17","2004Q4","perc","15 - 64","1","12.6"
"r_17","2004Q4","perc","20 - 64","1","12.2"
"r_17","2004Q4","perc","15 - 29","1","20.1"
"r_17","2004Q4","perc","15 - 24","1","27.8"
"r_17","2004Q4","perc","25 - 34","1","12"
"r_17","2004Q4","perc","35 - 44","1","10.2"
"r_17","2004Q4","perc","45 - 54","1","10.7"
"r_17","2004Q4","perc","55 - 64","1","11.3"
"r_17","2004Q4","perc","65+","1","(2.0)"
"r_17","2004Q4","perc","0","2","11.1"
"r_17","2004Q4","perc","15 - 64","2","11.2"
"r_17","2004Q4","perc","20 - 64","2","10.6"
"r_17","2004Q4","perc","15 - 29","2","18.9"
"r_17","2004Q4","perc","15 - 24","2","26"
"r_17","2004Q4","perc","25 - 34","2","11.7"
"r_17","2004Q4","perc","35 - 44","2","8.3"
"r_17","2004Q4","perc","45 - 54","2","9.8"
"r_17","2004Q4","perc","55 - 64","2","8.5"
"r_17","2004Q4","perc","65+","2","-"
"r_17","2005Q1","perc","0","0","11.3"
"r_17","2005Q1","perc","15 - 64","0","11.4"
"r_17","2005Q1","perc","20 - 64","0","11.1"
"r_17","2005Q1","perc","15 - 29","0","16.6"
"r_17","2005Q1","perc","15 - 24","0","23.4"
"r_17","2005Q1","perc","25 - 34","0","11.2"
"r_17","2005Q1","perc","35 - 44","0","10.4"
"r_17","2005Q1","perc","45 - 54","0","9.5"
"r_17","2005Q1","perc","55 - 64","0","9.8"
"r_17","2005Q1","perc","65+","0","(1.0)"
"r_17","2005Q1","perc","0","1","11.7"
"r_17","2005Q1","perc","15 - 64","1","11.8"
"r_17","2005Q1","perc","20 - 64","1","11.5"
"r_17","2005Q1","perc","15 - 29","1","17.1"
"r_17","2005Q1","perc","15 - 24","1","24.3"
"r_17","2005Q1","perc","25 - 34","1","11.5"
"r_17","2005Q1","perc","35 - 44","1","10.3"
"r_17","2005Q1","perc","45 - 54","1","10.1"
"r_17","2005Q1","perc","55 - 64","1","10.1"
"r_17","2005Q1","perc","65+","1","(1.5)"
"r_17","2005Q1","perc","0","2","10.9"
"r_17","2005Q1","perc","15 - 64","2","11"
"r_17","2005Q1","perc","20 - 64","2","10.6"
"r_17","2005Q1","perc","15 - 29","2","15.9"
"r_17","2005Q1","perc","15 - 24","2","22.3"
"r_17","2005Q1","perc","25 - 34","2","10.8"
"r_17","2005Q1","perc","35 - 44","2","10.5"
"r_17","2005Q1","perc","45 - 54","2","8.8"
"r_17","2005Q1","perc","55 - 64","2","9.5"
"r_17","2005Q1","perc","65+","2","-"
"r_17","2005Q2","perc","0","0","10"
"r_17","2005Q2","perc","15 - 64","0","10.1"
"r_17","2005Q2","perc","20 - 64","0","9.7"
"r_17","2005Q2","perc","15 - 29","0","16.3"
"r_17","2005Q2","perc","15 - 24","0","22.6"
"r_17","2005Q2","perc","25 - 34","0","10"
"r_17","2005Q2","perc","35 - 44","0","8.1"
"r_17","2005Q2","perc","45 - 54","0","8.3"
"r_17","2005Q2","perc","55 - 64","0","9.5"
"r_17","2005Q2","perc","65+","0","(1.0)"
"r_17","2005Q2","perc","0","1","10.3"
"r_17","2005Q2","perc","15 - 64","1","10.4"
"r_17","2005Q2","perc","20 - 64","1","10.2"
"r_17","2005Q2","perc","15 - 29","1","17.1"
"r_17","2005Q2","perc","15 - 24","1","24.2"
"r_17","2005Q2","perc","25 - 34","1","9.7"
"r_17","2005Q2","perc","35 - 44","1","8"
"r_17","2005Q2","perc","45 - 54","1","9.1"
"r_17","2005Q2","perc","55 - 64","1","9.5"
"r_17","2005Q2","perc","65+","1","(0.7)"
"r_17","2005Q2","perc","0","2","9.6"
"r_17","2005Q2","perc","15 - 64","2","9.7"
"r_17","2005Q2","perc","20 - 64","2","9.3"
"r_17","2005Q2","perc","15 - 29","2","15.4"
"r_17","2005Q2","perc","15 - 24","2","20.5"
"r_17","2005Q2","perc","25 - 34","2","10.4"
"r_17","2005Q2","perc","35 - 44","2","8.2"
"r_17","2005Q2","perc","45 - 54","2","7.5"
"r_17","2005Q2","perc","55 - 64","2","9.5"
"r_17","2005Q2","perc","65+","2","(1.7)"
"r_17","2005Q3","perc","0","0","9.2"
"r_17","2005Q3","perc","15 - 64","0","9.3"
"r_17","2005Q3","perc","20 - 64","0","8.9"
"r_17","2005Q3","perc","15 - 29","0","14.9"
"r_17","2005Q3","perc","15 - 24","0","20.5"
"r_17","2005Q3","perc","25 - 34","0","9.3"
"r_17","2005Q3","perc","35 - 44","0","7.3"
"r_17","2005Q3","perc","45 - 54","0","8.3"
"r_17","2005Q3","perc","55 - 64","0","7.7"
"r_17","2005Q3","perc","65+","0","-"
"r_17","2005Q3","perc","0","1","9.2"
"r_17","2005Q3","perc","15 - 64","1","9.3"
"r_17","2005Q3","perc","20 - 64","1","9"
"r_17","2005Q3","perc","15 - 29","1","14.9"
"r_17","2005Q3","perc","15 - 24","1","20.8"
"r_17","2005Q3","perc","25 - 34","1","8.7"
"r_17","2005Q3","perc","35 - 44","1","7.4"
"r_17","2005Q3","perc","45 - 54","1","8.3"
"r_17","2005Q3","perc","55 - 64","1","8.3"
"r_17","2005Q3","perc","65+","1","-"
"r_17","2005Q3","perc","0","2","9.1"
"r_17","2005Q3","perc","15 - 64","2","9.2"
"r_17","2005Q3","perc","20 - 64","2","8.8"
"r_17","2005Q3","perc","15 - 29","2","15"
"r_17","2005Q3","perc","15 - 24","2","20.2"
"r_17","2005Q3","perc","25 - 34","2","9.9"
"r_17","2005Q3","perc","35 - 44","2","7.1"
"r_17","2005Q3","perc","45 - 54","2","8.4"
"r_17","2005Q3","perc","55 - 64","2","6.8"
"r_17","2005Q3","perc","65+","2","-"
"r_17","2005Q4","perc","0","0","9.9"
"r_17","2005Q4","perc","15 - 64","0","10"
"r_17","2005Q4","perc","20 - 64","0","9.6"
"r_17","2005Q4","perc","15 - 29","0","16.2"
"r_17","2005Q4","perc","15 - 24","0","22.8"
"r_17","2005Q4","perc","25 - 34","0","10.1"
"r_17","2005Q4","perc","35 - 44","0","8.2"
"r_17","2005Q4","perc","45 - 54","0","8.6"
"r_17","2005Q4","perc","55 - 64","0","7.6"
"r_17","2005Q4","perc","65+","0","(3.4)"
"r_17","2005Q4","perc","0","1","10.1"
"r_17","2005Q4","perc","15 - 64","1","10.2"
"r_17","2005Q4","perc","20 - 64","1","9.7"
"r_17","2005Q4","perc","15 - 29","1","16"
"r_17","2005Q4","perc","15 - 24","1","24"
"r_17","2005Q4","perc","25 - 34","1","9.4"
"r_17","2005Q4","perc","35 - 44","1","8.6"
"r_17","2005Q4","perc","45 - 54","1","8.7"
"r_17","2005Q4","perc","55 - 64","1","7.7"
"r_17","2005Q4","perc","65+","1","(3.7)"
"r_17","2005Q4","perc","0","2","9.7"
"r_17","2005Q4","perc","15 - 64","2","9.8"
"r_17","2005Q4","perc","20 - 64","2","9.5"
"r_17","2005Q4","perc","15 - 29","2","16.3"
"r_17","2005Q4","perc","15 - 24","2","21.2"
"r_17","2005Q4","perc","25 - 34","2","10.9"
"r_17","2005Q4","perc","35 - 44","2","7.7"
"r_17","2005Q4","perc","45 - 54","2","8.6"
"r_17","2005Q4","perc","55 - 64","2","7.3"
"r_17","2005Q4","perc","65+","2","(3.0)"
"r_17","2006Q1","perc","0","0","9.7"
"r_17","2006Q1","perc","15 - 64","0","9.8"
"r_17","2006Q1","perc","20 - 64","0","9.4"
"r_17","2006Q1","perc","15 - 29","0","15"
"r_17","2006Q1","perc","15 - 24","0","20.9"
"r_17","2006Q1","perc","25 - 34","0","9.8"
"r_17","2006Q1","perc","35 - 44","0","8.9"
"r_17","2006Q1","perc","45 - 54","0","8.2"
"r_17","2006Q1","perc","55 - 64","0","7.2"
"r_17","2006Q1","perc","65+","0","(1.9)"
"r_17","2006Q1","perc","0","1","9.5"
"r_17","2006Q1","perc","15 - 64","1","9.6"
"r_17","2006Q1","perc","20 - 64","1","9.3"
"r_17","2006Q1","perc","15 - 29","1","14.2"
"r_17","2006Q1","perc","15 - 24","1","21.4"
"r_17","2006Q1","perc","25 - 34","1","8.5"
"r_17","2006Q1","perc","35 - 44","1","9.2"
"r_17","2006Q1","perc","45 - 54","1","8.4"
"r_17","2006Q1","perc","55 - 64","1","6.9"
"r_17","2006Q1","perc","65+","1","(1.7)"
"r_17","2006Q1","perc","0","2","9.9"
"r_17","2006Q1","perc","15 - 64","2","9.9"
"r_17","2006Q1","perc","20 - 64","2","9.5"
"r_17","2006Q1","perc","15 - 29","2","16"
"r_17","2006Q1","perc","15 - 24","2","20.2"
"r_17","2006Q1","perc","25 - 34","2","11.5"
