RevisionColumn,NUTS,GenderID,SILC_Age,Units,periods,ValueColumn
"r_9","BG31","2","2","1000cp","2019","57.6"
"r_9","BG31","2","2","perc_pop_fig","2019","27.8"
"r_9","BG31","0","3","1000cp","2019","81"
"r_9","BG31","0","3","perc_pop_fig","2019","44.2"
"r_9","BG31","1","3","1000cp","2019","28.5"
"r_9","BG31","1","3","perc_pop_fig","2019","39.3"
"r_9","BG31","2","3","1000cp","2019","52.5"
"r_9","BG31","2","3","perc_pop_fig","2019","47.3"
"r_9","BG311","0","0","1000cp","2019","34.4"
"r_9","BG311","0","0","perc_pop_fig","2019","40.4"
"r_9","BG311","1","0","1000cp","2019","16.8"
"r_9","BG311","1","0","perc_pop_fig","2019","40.7"
"r_9","BG311","2","0","1000cp","2019","17.5"
"r_9","BG311","2","0","perc_pop_fig","2019","40.1"
"r_9","BG313","0","0","1000cp","2019","64.3"
"r_9","BG313","0","0","perc_pop_fig","2019","39.3"
"r_9","BG313","1","0","1000cp","2019","33.6"
"r_9","BG313","1","0","perc_pop_fig","2019","42.1"
"r_9","BG313","2","0","1000cp","2019","30.7"
"r_9","BG313","2","0","perc_pop_fig","2019","36.6"
"r_9","BG315","0","0","1000cp","2019","37.5"
"r_9","BG315","0","0","perc_pop_fig","2019","30"
"r_9","BG315","1","0","1000cp","2019","17.5"
"r_9","BG315","1","0","perc_pop_fig","2019","28.8"
"r_9","BG315","2","0","1000cp","2019","20"
"r_9","BG315","2","0","perc_pop_fig","2019","31.2"
"r_9","BG312","0","0","1000cp","2019","53.5"
"r_9","BG312","0","0","perc_pop_fig","2019","41.3"
"r_9","BG312","1","0","1000cp","2019","26.9"
"r_9","BG312","1","0","perc_pop_fig","2019","42.4"
"r_9","BG312","2","0","1000cp","2019","26.7"
"r_9","BG312","2","0","perc_pop_fig","2019","40.2"
"r_9","BG314","0","0","1000cp","2019","78.7"
"r_9","BG314","0","0","perc_pop_fig","2019","32.7"
"r_9","BG314","1","0","1000cp","2019","33.4"
"r_9","BG314","1","0","perc_pop_fig","2019","28.5"
"r_9","BG314","2","0","1000cp","2019","45.4"
"r_9","BG314","2","0","perc_pop_fig","2019","36.7"
"r_9","BG32","0","0","1000cp","2019","270.4"
"r_9","BG32","0","0","perc_pop_fig","2019","34.5"
"r_9","BG32","1","0","1000cp","2019","126.4"
"r_9","BG32","1","0","perc_pop_fig","2019","33.2"
"r_9","BG32","2","0","1000cp","2019","143.9"
"r_9","BG32","2","0","perc_pop_fig","2019","35.7"
"r_9","BG32","0","1","1000cp","2019","40.9"
"r_9","BG32","0","1","perc_pop_fig","2019","31.9"
"r_9","BG32","0","2","1000cp","2019","135.6"
"r_9","BG32","0","2","perc_pop_fig","2019","29.1"
"r_9","BG32","1","2","1000cp","2019","68.8"
"r_9","BG32","1","2","perc_pop_fig","2019","29.5"
"r_9","BG32","2","2","1000cp","2019","66.8"
"r_9","BG32","2","2","perc_pop_fig","2019","28.7"
"r_9","BG32","0","3","1000cp","2019","93.9"
"r_9","BG32","0","3","perc_pop_fig","2019","49.3"
"r_9","BG32","1","3","1000cp","2019","35.8"
"r_9","BG32","1","3","perc_pop_fig","2019","44.4"
"r_9","BG32","2","3","1000cp","2019","58"
"r_9","BG32","2","3","perc_pop_fig","2019","52.8"
"r_9","BG321","0","0","1000cp","2019","84.7"
"r_9","BG321","0","0","perc_pop_fig","2019","35.9"
"r_9","BG321","1","0","1000cp","2019","42.3"
"r_9","BG321","1","0","perc_pop_fig","2019","37.1"
"r_9","BG321","2","0","1000cp","2019","42.4"
"r_9","BG321","2","0","perc_pop_fig","2019","34.8"
"r_9","BG322","0","0","1000cp","2019","29.1"
"r_9","BG322","0","0","perc_pop_fig","2019","26.8"
"r_9","BG322","1","0","1000cp","2019","11.1"
"r_9","BG322","1","0","perc_pop_fig","2019","21.3"
"r_9","BG322","2","0","1000cp","2019","17.9"
"r_9","BG322","2","0","perc_pop_fig","2019","31.9"
"r_9","BG324","0","0","1000cp","2019","54.7"
"r_9","BG324","0","0","perc_pop_fig","2019","48.8"
"r_9","BG324","1","0","1000cp","2019","26.7"
"r_9","BG324","1","0","perc_pop_fig","2019","48.8"
"r_9","BG324","2","0","1000cp","2019","28"
"r_9","BG324","2","0","perc_pop_fig","2019","48.7"
"r_9","BG323","0","0","1000cp","2019","74.4"
"r_9","BG323","0","0","perc_pop_fig","2019","34.1"
"r_9","BG323","1","0","1000cp","2019","31.5"
"r_9","BG323","1","0","perc_pop_fig","2019","29.5"
"r_9","BG323","2","0","1000cp","2019","43"
"r_9","BG323","2","0","perc_pop_fig","2019","38.4"
"r_9","BG325","0","0","1000cp","2019","32.7"
"r_9","BG325","0","0","perc_pop_fig","2019","29.9"
"r_9","BG325","1","0","1000cp","2019","17.7"
"r_9","BG325","1","0","perc_pop_fig","2019","32.9"
"r_9","BG325","2","0","1000cp","2019","15.1"
"r_9","BG325","2","0","perc_pop_fig","2019","27"
"r_9","BG33","0","0","1000cp","2019","318.5"
"r_9","BG33","0","0","perc_pop_fig","2019","34.3"
"r_9","BG33","1","0","1000cp","2019","141.8"
"r_9","BG33","1","0","perc_pop_fig","2019","31.3"
"r_9","BG33","2","0","1000cp","2019","176.7"
"r_9","BG33","2","0","perc_pop_fig","2019","37.1"
"r_9","BG33","0","1","1000cp","2019","47.5"
"r_9","BG33","0","1","perc_pop_fig","2019","31.7"
"r_9","BG33","0","2","1000cp","2019","166.5"
"r_9","BG33","0","2","perc_pop_fig","2019","29.7"
"r_9","BG33","1","2","1000cp","2019","86.8"
"r_9","BG33","1","2","perc_pop_fig","2019","30.2"
"r_9","BG33","2","2","1000cp","2019","79.7"
"r_9","BG33","2","2","perc_pop_fig","2019","29.1"
"r_9","BG33","0","3","1000cp","2019","104.5"
"r_9","BG33","0","3","perc_pop_fig","2019","47.9"
"r_9","BG33","1","3","1000cp","2019","31.5"
"r_9","BG33","1","3","perc_pop_fig","2019","36.3"
"r_9","BG33","2","3","1000cp","2019","73"
"r_9","BG33","2","3","perc_pop_fig","2019","55.6"
"r_9","BG331","0","0","1000cp","2019","173.2"
"r_9","BG331","0","0","perc_pop_fig","2019","36.8"
"r_9","BG331","1","0","1000cp","2019","74.8"
"r_9","BG331","1","0","perc_pop_fig","2019","32.6"
"r_9","BG331","2","0","1000cp","2019","98.4"
"r_9","BG331","2","0","perc_pop_fig","2019","40.7"
"r_9","BG332","0","0","1000cp","2019","56.5"
"r_9","BG332","0","0","perc_pop_fig","2019","32.5"
"r_9","BG332","1","0","1000cp","2019","24.6"
"r_9","BG332","1","0","perc_pop_fig","2019","29.1"
"r_9","BG332","2","0","1000cp","2019","31.8"
"r_9","BG332","2","0","perc_pop_fig","2019","35.6"
"r_9","BG334","0","0","1000cp","2019","38.1"
"r_9","BG334","0","0","perc_pop_fig","2019","34.1"
"r_9","BG334","1","0","1000cp","2019","18.7"
"r_9","BG334","1","0","perc_pop_fig","2019","34.2"
"r_9","BG334","2","0","1000cp","2019","19.4"
"r_9","BG334","2","0","perc_pop_fig","2019","34.1"
"r_9","BG333","0","0","1000cp","2019","53.3"
"r_9","BG333","0","0","perc_pop_fig","2019","30.9"
"r_9","BG333","1","0","1000cp","2019","25.3"
"r_9","BG333","1","0","perc_pop_fig","2019","30.1"
"r_9","BG333","2","0","1000cp","2019","28"
"r_9","BG333","2","0","perc_pop_fig","2019","31.8"
"r_9","BG34","0","0","1000cp","2019","369.3"
"r_9","BG34","0","0","perc_pop_fig","2019","35.7"
"r_9","BG34","1","0","1000cp","2019","168"
"r_9","BG34","1","0","perc_pop_fig","2019","33.5"
"r_9","BG34","2","0","1000cp","2019","201.3"
"r_9","BG34","2","0","perc_pop_fig","2019","37.8"
"r_9","BG34","0","1","1000cp","2019","80.7"
"r_9","BG34","0","1","perc_pop_fig","2019","40"
"r_9","BG34","0","2","1000cp","2019","175.7"
"r_9","BG34","0","2","perc_pop_fig","2019","29"
"r_9","BG34","1","2","1000cp","2019","91.9"
"r_9","BG34","1","2","perc_pop_fig","2019","29.4"
"r_9","BG34","2","2","1000cp","2019","83.8"
"r_9","BG34","2","2","perc_pop_fig","2019","28.5"
"r_9","BG34","0","3","1000cp","2019","112.9"
"r_9","BG34","0","3","perc_pop_fig","2019","49.9"
"r_9","BG34","1","3","1000cp","2019","35.6"
"r_9","BG34","1","3","perc_pop_fig","2019","39.2"
"r_9","BG34","2","3","1000cp","2019","77.3"
"r_9","BG34","2","3","perc_pop_fig","2019","57.1"
"r_9","BG341","0","0","1000cp","2019","136.9"
"r_9","BG341","0","0","perc_pop_fig","2019","33.2"
"r_9","BG341","1","0","1000cp","2019","62.6"
"r_9","BG341","1","0","perc_pop_fig","2019","31.3"
"r_9","BG341","2","0","1000cp","2019","74.4"
"r_9","BG341","2","0","perc_pop_fig","2019","34.9"
"r_9","BG342","0","0","1000cp","2019","81.1"
"r_9","BG342","0","0","perc_pop_fig","2019","43.5"
"r_9","BG342","1","0","1000cp","2019","35.9"
"r_9","BG342","1","0","perc_pop_fig","2019","39.6"
"r_9","BG342","2","0","1000cp","2019","45.2"
"r_9","BG342","2","0","perc_pop_fig","2019","47.1"
"r_9","BG344","0","0","1000cp","2019","104.4"
"r_9","BG344","0","0","perc_pop_fig","2019","33"
"r_9","BG344","1","0","1000cp","2019","47.7"
"r_9","BG344","1","0","perc_pop_fig","2019","31.1"
"r_9","BG344","2","0","1000cp","2019","56.7"
"r_9","BG344","2","0","perc_pop_fig","2019","34.7"
"r_9","BG343","0","0","1000cp","2019","56.7"
"r_9","BG343","0","0","perc_pop_fig","2019","47.6"
"r_9","BG343","1","0","1000cp","2019","26.3"
"r_9","BG343","1","0","perc_pop_fig","2019","45.2"
"r_9","BG343","2","0","1000cp","2019","30.4"
"r_9","BG343","2","0","perc_pop_fig","2019","50"
"r_9","BG41","0","0","1000cp","2019","590.1"
"r_9","BG41","0","0","perc_pop_fig","2019","28"
"r_9","BG41","1","0","1000cp","2019","256.2"
"r_9","BG41","1","0","perc_pop_fig","2019","25.2"
"r_9","BG41","2","0","1000cp","2019","333.9"
"r_9","BG41","2","0","perc_pop_fig","2019","30.7"
"r_9","BG41","0","1","1000cp","2019","100.8"
"r_9","BG41","0","1","perc_pop_fig","2019","28.4"
"r_9","BG41","0","2","1000cp","2019","303.8"
"r_9","BG41","0","2","perc_pop_fig","2019","22.3"
"r_9","BG41","1","2","1000cp","2019","140.8"
"r_9","BG41","1","2","perc_pop_fig","2019","21"
"r_9","BG41","2","2","1000cp","2019","163"
"r_9","BG41","2","2","perc_pop_fig","2019","23.6"
"r_9","BG41","0","3","1000cp","2019","185.5"
"r_9","BG41","0","3","perc_pop_fig","2019","47.8"
"r_9","BG41","1","3","1000cp","2019","64"
"r_9","BG41","1","3","perc_pop_fig","2019","41.3"
"r_9","BG41","2","3","1000cp","2019","121.5"
"r_9","BG41","2","3","perc_pop_fig","2019","52"
"r_9","BG413","0","0","1000cp","2019","87.3"
"r_9","BG413","0","0","perc_pop_fig","2019","28.6"
"r_9","BG413","1","0","1000cp","2019","43.8"
"r_9","BG413","1","0","perc_pop_fig","2019","29.4"
"r_9","BG413","2","0","1000cp","2019","43.4"
"r_9","BG413","2","0","perc_pop_fig","2019","27.7"
"r_9","BG415","0","0","1000cp","2019","41.4"
"r_9","BG415","0","0","perc_pop_fig","2019","34.6"
"r_9","BG415","1","0","1000cp","2019","18.8"
"r_9","BG415","1","0","perc_pop_fig","2019","32"
"r_9","BG415","2","0","1000cp","2019","22.6"
"r_9","BG415","2","0","perc_pop_fig","2019","37"
"r_9","BG414","0","0","1000cp","2019","34.8"
"r_9","BG414","0","0","perc_pop_fig","2019","28.8"
"r_9","BG414","1","0","1000cp","2019","13.1"
"r_9","BG414","1","0","perc_pop_fig","2019","22.3"
"r_9","BG414","2","0","1000cp","2019","21.7"
"r_9","BG414","2","0","perc_pop_fig","2019","34.9"
"r_9","BG412","0","0","1000cp","2019","57.3"
"r_9","BG412","0","0","perc_pop_fig","2019","25"
"r_9","BG412","1","0","1000cp","2019","25.1"
"r_9","BG412","1","0","perc_pop_fig","2019","22.3"
"r_9","BG412","2","0","1000cp","2019","32.2"
"r_9","BG412","2","0","perc_pop_fig","2019","27.6"
"r_9","BG411","0","0","1000cp","2019","345.6"
"r_9","BG411","0","0","perc_pop_fig","2019","26"
"r_9","BG411","1","0","1000cp","2019","145.2"
"r_9","BG411","1","0","perc_pop_fig","2019","22.8"
"r_9","BG411","2","0","1000cp","2019","200.4"
"r_9","BG411","2","0","perc_pop_fig","2019","28.9"
"r_9","BG42","0","0","1000cp","2019","478.6"
"r_9","BG42","0","0","perc_pop_fig","2019","33.9"
"r_9","BG42","1","0","1000cp","2019","229.8"
"r_9","BG42","1","0","perc_pop_fig","2019","33.5"
"r_9","BG42","2","0","1000cp","2019","248.8"
"r_9","BG42","2","0","perc_pop_fig","2019","34.2"
"r_9","BG42","0","1","1000cp","2019","84.4"
"r_9","BG42","0","1","perc_pop_fig","2019","34.3"
"r_9","BG42","0","2","1000cp","2019","274.1"
"r_9","BG42","0","2","perc_pop_fig","2019","31.2"
"r_9","BG42","1","2","1000cp","2019","150.1"
"r_9","BG42","1","2","perc_pop_fig","2019","33.2"
"r_9","BG42","2","2","1000cp","2019","123.9"
"r_9","BG42","2","2","perc_pop_fig","2019","29"
"r_9","BG42","0","3","1000cp","2019","120.1"
"r_9","BG42","0","3","perc_pop_fig","2019","41.9"
"r_9","BG42","1","3","1000cp","2019","36.3"
"r_9","BG42","1","3","perc_pop_fig","2019","31.7"
"r_9","BG42","2","3","1000cp","2019","83.8"
"r_9","BG42","2","3","perc_pop_fig","2019","48.7"
"r_9","BG425","0","0","1000cp","2019","57.6"
"r_9","BG425","0","0","perc_pop_fig","2019","37.5"
"r_9","BG425","1","0","1000cp","2019","26.6"
"r_9","BG425","1","0","perc_pop_fig","2019","35.3"
"r_9","BG425","2","0","1000cp","2019","31"
"r_9","BG425","2","0","perc_pop_fig","2019","39.7"
"r_9","BG423","0","0","1000cp","2019","92.5"
"r_9","BG423","0","0","perc_pop_fig","2019","36.2"
"r_9","BG423","1","0","1000cp","2019","47.2"
"r_9","BG423","1","0","perc_pop_fig","2019","37.7"
"r_9","BG423","2","0","1000cp","2019","45.3"
"r_9","BG423","2","0","perc_pop_fig","2019","34.8"
"r_9","BG421","0","0","1000cp","2019","229.5"
"r_9","BG421","0","0","perc_pop_fig","2019","34.3"
"r_9","BG421","1","0","1000cp","2019","113.1"
"r_9","BG421","1","0","perc_pop_fig","2019","35.2"
"r_9","BG421","2","0","1000cp","2019","116.4"
"r_9","BG421","2","0","perc_pop_fig","2019","33.5"
"r_9","BG424","0","0","1000cp","2019","31.8"
"r_9","BG424","0","0","perc_pop_fig","2019","30.1"
"r_9","BG424","1","0","1000cp","2019","13"
"r_9","BG424","1","0","perc_pop_fig","2019","25.2"
"r_9","BG424","2","0","1000cp","2019","18.9"
"r_9","BG424","2","0","perc_pop_fig","2019","34.6"
"r_9","BG422","0","0","1000cp","2019","71.4"
"r_9","BG422","0","0","perc_pop_fig","2019","31.3"
"r_9","BG422","1","0","1000cp","2019","32.6"
"r_9","BG422","1","0","perc_pop_fig","2019","29.3"
"r_9","BG422","2","0","1000cp","2019","38.8"
"r_9","BG422","2","0","perc_pop_fig","2019","33.2"
"r_10","BG","0","0","1000cp","2020","2231.5"
"r_10","BG","0","0","perc_pop_fig","2020","32.1"
"r_10","BG","1","0","1000cp","2020","1005.6"
"r_10","BG","1","0","perc_pop_fig","2020","29.8"
"r_10","BG","2","0","1000cp","2020","1225.9"
"r_10","BG","2","0","perc_pop_fig","2020","34.2"
"r_10","BG","0","1","1000cp","2020","404.2"
"r_10","BG","0","1","perc_pop_fig","2020","33.3"
"r_10","BG","0","2","1000cp","2020","1100.3"
"r_10","BG","0","2","perc_pop_fig","2020","25.9"
"r_10","BG","1","2","1000cp","2020","565"
"r_10","BG","1","2","perc_pop_fig","2020","26.3"
"r_10","BG","2","2","1000cp","2020","535.3"
"r_10","BG","2","2","perc_pop_fig","2020","25.6"
"r_10","BG","0","3","1000cp","2020","727"
"r_10","BG","0","3","perc_pop_fig","2020","48.3"
"r_10","BG","1","3","1000cp","2020","242.4"
"r_10","BG","1","3","perc_pop_fig","2020","40.1"
"r_10","BG","2","3","1000cp","2020","484.6"
"r_10","BG","2","3","perc_pop_fig","2020","53.8"
"r_10","BG31","0","0","1000cp","2020","260.5"
"r_10","BG31","0","0","perc_pop_fig","2020","35.7"
"r_10","BG31","1","0","1000cp","2020","124.2"
"r_10","BG31","1","0","perc_pop_fig","2020","34.9"
"r_10","BG31","2","0","1000cp","2020","136.3"
"r_10","BG31","2","0","perc_pop_fig","2020","36.5"
"r_10","BG31","0","1","1000cp","2020","61.6"
"r_10","BG31","0","1","perc_pop_fig","2020","47.4"
"r_10","BG31","0","2","1000cp","2020","127.1"
"r_10","BG31","0","2","perc_pop_fig","2020","30"
"r_10","BG31","1","2","1000cp","2020","66.7"
"r_10","BG31","1","2","perc_pop_fig","2020","29.6"
"r_10","BG31","2","2","1000cp","2020","60.3"
"r_10","BG31","2","2","perc_pop_fig","2020","30.4"
"r_10","BG31","0","3","1000cp","2020","71.7"
"r_10","BG31","0","3","perc_pop_fig","2020","41"
"r_10","BG31","1","3","1000cp","2020","24.6"
"r_10","BG31","1","3","perc_pop_fig","2020","38.8"
"r_10","BG31","2","3","1000cp","2020","47.1"
"r_10","BG31","2","3","perc_pop_fig","2020","42.2"
"r_10","BG311","0","0","1000cp","2020","31.6"
"r_10","BG311","0","0","perc_pop_fig","2020","38.2"
"r_10","BG311","1","0","1000cp","2020","16"
"r_10","BG311","1","0","perc_pop_fig","2020","39.5"
"r_10","BG311","2","0","1000cp","2020","15.7"
"r_10","BG311","2","0","perc_pop_fig","2020","36.9"
"r_10","BG313","0","0","1000cp","2020","59.6"
"r_10","BG313","0","0","perc_pop_fig","2020","37.2"
"r_10","BG313","1","0","1000cp","2020","29"
"r_10","BG313","1","0","perc_pop_fig","2020","36.7"
"r_10","BG313","2","0","1000cp","2020","30.6"
"r_10","BG313","2","0","perc_pop_fig","2020","37.7"
"r_10","BG315","0","0","1000cp","2020","36.7"
"r_10","BG315","0","0","perc_pop_fig","2020","29.9"
"r_10","BG315","1","0","1000cp","2020","17.6"
"r_10","BG315","1","0","perc_pop_fig","2020","29.6"
"r_10","BG315","2","0","1000cp","2020","19"
