RevisionColumn,periods,Units,Indicators,ValueColumn
"r_3","2011","1000BGN","3.1.2.4.3.1.4.3","79304"
"r_3","2012","1000BGN","3.1.2.4.3.1.4.3","88594"
"r_3","2013","1000BGN","3.1.2.4.3.1.4.3","96028"
"r_3","2014","1000BGN","3.1.2.4.3.1.4.3","128369"
"r_3","2015","1000BGN","3.1.2.4.3.1.4.3","144452"
"r_3","2016","1000BGN","3.1.2.4.3.1.4.3","172549"
"r_3","2017","1000BGN","3.1.2.4.3.1.4.3","205855"
"r_3","2018","1000BGN","3.1.2.4.3.1.4.3","217582"
"r_3","2019","1000BGN","3.1.2.4.3.1.4.3","184852"
"r_3","2020","1000BGN","3.1.2.4.3.1.4.3","229482"
"r_3","2021","1000BGN","3.1.2.4.3.1.4.3","289001"
"r_3","2005","1000BGN","3.1.2.4.3.1.4.4","15540"
"r_3","2006","1000BGN","3.1.2.4.3.1.4.4","16535"
"r_3","2007","1000BGN","3.1.2.4.3.1.4.4","25092"
"r_3","2008","1000BGN","3.1.2.4.3.1.4.4","40009"
"r_3","2009","1000BGN","3.1.2.4.3.1.4.4","48053"
"r_3","2010","1000BGN","3.1.2.4.3.1.4.4","40608"
"r_3","2011","1000BGN","3.1.2.4.3.1.4.4","39141"
"r_3","2012","1000BGN","3.1.2.4.3.1.4.4","58094"
"r_3","2013","1000BGN","3.1.2.4.3.1.4.4","77867"
"r_3","2014","1000BGN","3.1.2.4.3.1.4.4","58698"
"r_3","2015","1000BGN","3.1.2.4.3.1.4.4","69967"
"r_3","2016","1000BGN","3.1.2.4.3.1.4.4","72708"
"r_3","2017","1000BGN","3.1.2.4.3.1.4.4","78197"
"r_3","2018","1000BGN","3.1.2.4.3.1.4.4","87820"
"r_3","2019","1000BGN","3.1.2.4.3.1.4.4","148141"
"r_3","2020","1000BGN","3.1.2.4.3.1.4.4","84865"
"r_3","2021","1000BGN","3.1.2.4.3.1.4.4","77024"
"r_3","2005","1000BGN","3.1.2.4.3.1.4.5","77"
"r_3","2006","1000BGN","3.1.2.4.3.1.4.5","93"
"r_3","2007","1000BGN","3.1.2.4.3.1.4.5","185"
"r_3","2008","1000BGN","3.1.2.4.3.1.4.5","207"
"r_3","2009","1000BGN","3.1.2.4.3.1.4.5","269"
"r_3","2010","1000BGN","3.1.2.4.3.1.4.5","277"
"r_3","2011","1000BGN","3.1.2.4.3.1.4.5","1254"
"r_3","2012","1000BGN","3.1.2.4.3.1.4.5","1898"
"r_3","2013","1000BGN","3.1.2.4.3.1.4.5",".."
"r_3","2014","1000BGN","3.1.2.4.3.1.4.5",".."
"r_3","2015","1000BGN","3.1.2.4.3.1.4.5",".."
"r_3","2016","1000BGN","3.1.2.4.3.1.4.5",".."
"r_3","2017","1000BGN","3.1.2.4.3.1.4.5",".."
"r_3","2018","1000BGN","3.1.2.4.3.1.4.5","24188"
"r_3","2019","1000BGN","3.1.2.4.3.1.4.5","22198"
"r_3","2020","1000BGN","3.1.2.4.3.1.4.5",".."
"r_3","2021","1000BGN","3.1.2.4.3.1.4.5","#"
"r_3","2005","1000BGN","3.1.2.4.3.1","48969"
"r_3","2006","1000BGN","3.1.2.4.3.1","72042"
"r_3","2007","1000BGN","3.1.2.4.3.1","115702"
"r_3","2008","1000BGN","3.1.2.4.3.1","105719"
"r_3","2009","1000BGN","3.1.2.4.3.1","127505"
"r_3","2010","1000BGN","3.1.2.4.3.1","145900"
"r_3","2011","1000BGN","3.1.2.4.3.1","161319"
"r_3","2012","1000BGN","3.1.2.4.3.1","194863"
"r_3","2013","1000BGN","3.1.2.4.3.1","231867"
"r_3","2014","1000BGN","3.1.2.4.3.1","257839"
"r_3","2015","1000BGN","3.1.2.4.3.1","286905"
"r_3","2016","1000BGN","3.1.2.4.3.1","349187"
"r_3","2017","1000BGN","3.1.2.4.3.1","380036"
"r_3","2018","1000BGN","3.1.2.4.3.1","421045"
"r_3","2019","1000BGN","3.1.2.4.3.1","475447"
"r_3","2020","1000BGN","3.1.2.4.3.1","469245"
"r_3","2021","1000BGN","3.1.2.4.3.1","538304"
"r_3","2005","1000BGN","3.1.2.4.3.2.1","42111"
"r_3","2006","1000BGN","3.1.2.4.3.2.1","59529"
"r_3","2007","1000BGN","3.1.2.4.3.2.1","90850"
"r_3","2008","1000BGN","3.1.2.4.3.2.1","80683"
"r_3","2009","1000BGN","3.1.2.4.3.2.1","92393"
"r_3","2010","1000BGN","3.1.2.4.3.2.1","99557"
"r_3","2011","1000BGN","3.1.2.4.3.2.1","110024"
"r_3","2012","1000BGN","3.1.2.4.3.2.1","127980"
"r_3","2013","1000BGN","3.1.2.4.3.2.1","146726"
"r_3","2014","1000BGN","3.1.2.4.3.2.1","153941"
"r_3","2015","1000BGN","3.1.2.4.3.2.1","172087"
"r_3","2016","1000BGN","3.1.2.4.3.2.1","199407"
"r_3","2017","1000BGN","3.1.2.4.3.2.1","224935"
"r_3","2018","1000BGN","3.1.2.4.3.2.1","258793"
"r_3","2019","1000BGN","3.1.2.4.3.2.1","275875"
"r_3","2020","1000BGN","3.1.2.4.3.2.1","250205"
"r_3","2021","1000BGN","3.1.2.4.3.2.1","303196"
"r_3","2005","1000BGN","3.1.2.4.3.2.1.1","60104"
"r_3","2006","1000BGN","3.1.2.4.3.2.1.1","65114"
"r_3","2007","1000BGN","3.1.2.4.3.2.1.1","65114"
"r_3","2008","1000BGN","3.1.2.4.3.2.1.1","70114"
"r_3","2009","1000BGN","3.1.2.4.3.2.1.1","73614"
"r_3","2010","1000BGN","3.1.2.4.3.2.1.1","73614"
"r_3","2011","1000BGN","3.1.2.4.3.2.1.1","73614"
"r_3","2012","1000BGN","3.1.2.4.3.2.1.1","74614"
"r_3","2013","1000BGN","3.1.2.4.3.2.1.1","74614"
"r_3","2014","1000BGN","3.1.2.4.3.2.1.1","80354"
"r_3","2015","1000BGN","3.1.2.4.3.2.1.1","75854"
"r_3","2016","1000BGN","3.1.2.4.3.2.1.1","75854"
"r_3","2017","1000BGN","3.1.2.4.3.2.1.1","76549"
"r_3","2018","1000BGN","3.1.2.4.3.2.1.1","73649"
"r_3","2019","1000BGN","3.1.2.4.3.2.1.1","73949"
"r_3","2020","1000BGN","3.1.2.4.3.2.1.1","74499"
"r_3","2021","1000BGN","3.1.2.4.3.2.1.1","98654"
"r_3","2005","1000BGN","3.1.2.4.3.2.1.1.1","60104"
"r_3","2006","1000BGN","3.1.2.4.3.2.1.1.1","65114"
"r_3","2007","1000BGN","3.1.2.4.3.2.1.1.1","65114"
"r_3","2008","1000BGN","3.1.2.4.3.2.1.1.1","70114"
"r_3","2009","1000BGN","3.1.2.4.3.2.1.1.1","76614"
"r_3","2010","1000BGN","3.1.2.4.3.2.1.1.1","73614"
"r_3","2011","1000BGN","3.1.2.4.3.2.1.1.1","73614"
"r_3","2012","1000BGN","3.1.2.4.3.2.1.1.1","74614"
"r_3","2013","1000BGN","3.1.2.4.3.2.1.1.1","74614"
"r_3","2014","1000BGN","3.1.2.4.3.2.1.1.1","80354"
"r_3","2015","1000BGN","3.1.2.4.3.2.1.1.1","75854"
"r_3","2016","1000BGN","3.1.2.4.3.2.1.1.1","75854"
"r_3","2017","1000BGN","3.1.2.4.3.2.1.1.1","76549"
"r_3","2018","1000BGN","3.1.2.4.3.2.1.1.1","73649"
"r_3","2019","1000BGN","3.1.2.4.3.2.1.1.1","73949"
"r_3","2020","1000BGN","3.1.2.4.3.2.1.1.1","74499"
"r_3","2021","1000BGN","3.1.2.4.3.2.1.1.1","98654"
"r_3","2005","1000BGN","3.1.2.4.3.2.1.1.2","0"
"r_3","2006","1000BGN","3.1.2.4.3.2.1.1.2","0"
"r_3","2007","1000BGN","3.1.2.4.3.2.1.1.2","0"
"r_3","2008","1000BGN","3.1.2.4.3.2.1.1.2","0"
"r_3","2009","1000BGN","3.1.2.4.3.2.1.1.2","0"
"r_3","2010","1000BGN","3.1.2.4.3.2.1.1.2","0"
"r_3","2011","1000BGN","3.1.2.4.3.2.1.1.2","0"
"r_3","2012","1000BGN","3.1.2.4.3.2.1.1.2","0"
"r_3","2013","1000BGN","3.1.2.4.3.2.1.1.2","0"
"r_3","2014","1000BGN","3.1.2.4.3.2.1.1.2","0"
"r_3","2015","1000BGN","3.1.2.4.3.2.1.1.2","0"
"r_3","2016","1000BGN","3.1.2.4.3.2.1.1.2","0"
"r_3","2017","1000BGN","3.1.2.4.3.2.1.1.2","0"
"r_3","2018","1000BGN","3.1.2.4.3.2.1.1.2","0"
"r_3","2019","1000BGN","3.1.2.4.3.2.1.1.2","0"
"r_3","2020","1000BGN","3.1.2.4.3.2.1.1.2","0"
"r_3","2021","1000BGN","3.1.2.4.3.2.1.1.2","#"
"r_3","2005","1000BGN","3.1.2.4.3.2.1.1.3","0"
"r_3","2006","1000BGN","3.1.2.4.3.2.1.1.3","0"
"r_3","2007","1000BGN","3.1.2.4.3.2.1.1.3","0"
"r_3","2008","1000BGN","3.1.2.4.3.2.1.1.3","0"
"r_3","2009","1000BGN","3.1.2.4.3.2.1.1.3","0"
"r_3","2010","1000BGN","3.1.2.4.3.2.1.1.3","0"
"r_3","2011","1000BGN","3.1.2.4.3.2.1.1.3","0"
"r_3","2012","1000BGN","3.1.2.4.3.2.1.1.3","0"
"r_3","2013","1000BGN","3.1.2.4.3.2.1.1.3","0"
"r_3","2014","1000BGN","3.1.2.4.3.2.1.1.3","0"
"r_3","2015","1000BGN","3.1.2.4.3.2.1.1.3","0"
"r_3","2016","1000BGN","3.1.2.4.3.2.1.1.3","0"
"r_3","2017","1000BGN","3.1.2.4.3.2.1.1.3","0"
"r_3","2018","1000BGN","3.1.2.4.3.2.1.1.3","0"
"r_3","2019","1000BGN","3.1.2.4.3.2.1.1.3","0"
"r_3","2020","1000BGN","3.1.2.4.3.2.1.1.3","0"
"r_3","2021","1000BGN","3.1.2.4.3.2.1.1.3","0"
"r_3","2005","1000BGN","3.1.2.4.3.2.1.2","3380"
"r_3","2006","1000BGN","3.1.2.4.3.2.1.2","6807"
"r_3","2007","1000BGN","3.1.2.4.3.2.1.2","4269"
"r_3","2008","1000BGN","3.1.2.4.3.2.1.2","4919"
"r_3","2009","1000BGN","3.1.2.4.3.2.1.2","4106"
"r_3","2010","1000BGN","3.1.2.4.3.2.1.2","3908"
"r_3","2011","1000BGN","3.1.2.4.3.2.1.2","4411"
"r_3","2012","1000BGN","3.1.2.4.3.2.1.2","4674"
"r_3","2013","1000BGN","3.1.2.4.3.2.1.2","5000"
"r_3","2014","1000BGN","3.1.2.4.3.2.1.2","5160"
"r_3","2015","1000BGN","3.1.2.4.3.2.1.2","6078"
"r_3","2016","1000BGN","3.1.2.4.3.2.1.2","6484"
"r_3","2017","1000BGN","3.1.2.4.3.2.1.2","6426"
"r_3","2018","1000BGN","3.1.2.4.3.2.1.2","6503"
"r_3","2019","1000BGN","3.1.2.4.3.2.1.2","6426"
"r_3","2020","1000BGN","3.1.2.4.3.2.1.2","6712"
"r_3","2021","1000BGN","3.1.2.4.3.2.1.2","7126"
"r_3","2005","1000BGN","3.1.2.4.3.2.1.2.1","2000"
"r_3","2006","1000BGN","3.1.2.4.3.2.1.2.1","5290"
"r_3","2007","1000BGN","3.1.2.4.3.2.1.2.1","2181"
"r_3","2008","1000BGN","3.1.2.4.3.2.1.2.1","2181"
"r_3","2009","1000BGN","3.1.2.4.3.2.1.2.1","181"
"r_3","2010","1000BGN","3.1.2.4.3.2.1.2.1","181"
"r_3","2011","1000BGN","3.1.2.4.3.2.1.2.1","181"
"r_3","2012","1000BGN","3.1.2.4.3.2.1.2.1","181"
"r_3","2013","1000BGN","3.1.2.4.3.2.1.2.1",".."
"r_3","2014","1000BGN","3.1.2.4.3.2.1.2.1",".."
"r_3","2015","1000BGN","3.1.2.4.3.2.1.2.1",".."
"r_3","2016","1000BGN","3.1.2.4.3.2.1.2.1",".."
"r_3","2017","1000BGN","3.1.2.4.3.2.1.2.1",".."
"r_3","2018","1000BGN","3.1.2.4.3.2.1.2.1",".."
"r_3","2019","1000BGN","3.1.2.4.3.2.1.2.1",".."
"r_3","2020","1000BGN","3.1.2.4.3.2.1.2.1",".."
"r_3","2021","1000BGN","3.1.2.4.3.2.1.2.1",".."
"r_3","2005","1000BGN","3.1.2.4.3.2.1.2.2","0"
"r_3","2006","1000BGN","3.1.2.4.3.2.1.2.2","0"
"r_3","2007","1000BGN","3.1.2.4.3.2.1.2.2","0"
"r_3","2008","1000BGN","3.1.2.4.3.2.1.2.2","0"
"r_3","2009","1000BGN","3.1.2.4.3.2.1.2.2","0"
"r_3","2010","1000BGN","3.1.2.4.3.2.1.2.2","0"
"r_3","2011","1000BGN","3.1.2.4.3.2.1.2.2","0"
"r_3","2012","1000BGN","3.1.2.4.3.2.1.2.2","0"
"r_3","2013","1000BGN","3.1.2.4.3.2.1.2.2","0"
"r_3","2014","1000BGN","3.1.2.4.3.2.1.2.2","0"
"r_3","2015","1000BGN","3.1.2.4.3.2.1.2.2","0"
