RevisionColumn,NKPD2011_CLS,Units,periods,GenderID,ValueColumn
"r_2","4","1000cp","2015Q1","2","127.1"
"r_2","4","1000cp","2015Q2","0","180.7"
"r_2","4","1000cp","2015Q2","1","53"
"r_2","4","1000cp","2015Q2","2","127.6"
"r_2","4","1000cp","2015Q3","0","195.3"
"r_2","4","1000cp","2015Q3","1","53.9"
"r_2","4","1000cp","2015Q3","2","141.3"
"r_2","4","1000cp","2015Q4","0","190.2"
"r_2","4","1000cp","2015Q4","1","52"
"r_2","4","1000cp","2015Q4","2","138.2"
"r_2","5","1000cp","2011Q1","0","619.3"
"r_2","5","1000cp","2011Q1","1","251.6"
"r_2","5","1000cp","2011Q1","2","367.8"
"r_2","5","1000cp","2011Q2","0","640.6"
"r_2","5","1000cp","2011Q2","1","266"
"r_2","5","1000cp","2011Q2","2","374.6"
"r_2","5","1000cp","2011Q3","0","676.1"
"r_2","5","1000cp","2011Q3","1","278.7"
"r_2","5","1000cp","2011Q3","2","397.5"
"r_2","5","1000cp","2011Q4","0","650.4"
"r_2","5","1000cp","2011Q4","1","257.9"
"r_2","5","1000cp","2011Q4","2","392.5"
"r_2","5","1000cp","2012Q1","0","628.8"
"r_2","5","1000cp","2012Q1","1","252.8"
"r_2","5","1000cp","2012Q1","2","376.1"
"r_2","5","1000cp","2012Q2","0","645.9"
"r_2","5","1000cp","2012Q2","1","273.6"
"r_2","5","1000cp","2012Q2","2","372.3"
"r_2","5","1000cp","2012Q3","0","671.8"
"r_2","5","1000cp","2012Q3","1","274.4"
"r_2","5","1000cp","2012Q3","2","397.4"
"r_2","5","1000cp","2012Q4","0","630.9"
"r_2","5","1000cp","2012Q4","1","258.6"
"r_2","5","1000cp","2012Q4","2","372.3"
"r_2","5","1000cp","2013Q1","0","602.5"
"r_2","5","1000cp","2013Q1","1","247.3"
"r_2","5","1000cp","2013Q1","2","355.2"
"r_2","5","1000cp","2013Q2","0","618"
"r_2","5","1000cp","2013Q2","1","246.4"
"r_2","5","1000cp","2013Q2","2","371.6"
"r_2","5","1000cp","2013Q3","0","645.4"
"r_2","5","1000cp","2013Q3","1","268"
"r_2","5","1000cp","2013Q3","2","377.4"
"r_2","5","1000cp","2013Q4","0","619.5"
"r_2","5","1000cp","2013Q4","1","258.5"
"r_2","5","1000cp","2013Q4","2","361"
"r_2","5","1000cp","2014Q1","0","605.3"
"r_2","5","1000cp","2014Q1","1","248.6"
"r_2","5","1000cp","2014Q1","2","356.7"
"r_2","5","1000cp","2014Q2","0","609.9"
"r_2","5","1000cp","2014Q2","1","244.5"
"r_2","5","1000cp","2014Q2","2","365.4"
