RevisionColumn,periods,Units,GenderID,Residence,ValueColumn
"r_5","2016Q3","1000cp","1","2","44.6"
"r_5","2016Q3","1000cp","2","2","32.9"
"r_6","2016Q4","1000cp","0","0","214.9"
"r_6","2016Q4","1000cp","1","0","118.3"
"r_6","2016Q4","1000cp","2","0","96.6"
"r_6","2016Q4","1000cp","0","1","141.5"
"r_6","2016Q4","1000cp","1","1","76.9"
"r_6","2016Q4","1000cp","2","1","64.6"
"r_6","2016Q4","1000cp","0","2","73.3"
"r_6","2016Q4","1000cp","1","2","41.4"
"r_6","2016Q4","1000cp","2","2","32"
"r_7","2017Q1","1000cp","0","0","224.4"
"r_7","2017Q1","1000cp","1","0","119"
"r_7","2017Q1","1000cp","2","0","105.4"
"r_7","2017Q1","1000cp","0","1","137.6"
"r_7","2017Q1","1000cp","1","1","68.6"
"r_7","2017Q1","1000cp","2","1","69"
"r_7","2017Q1","1000cp","0","2","86.8"
"r_7","2017Q1","1000cp","1","2","50.4"
"r_7","2017Q1","1000cp","2","2","36.5"
"r_8","2017Q2","1000cp","0","0","213.9"
"r_8","2017Q2","1000cp","1","0","123.9"
"r_8","2017Q2","1000cp","2","0","90"
"r_8","2017Q2","1000cp","0","1","136.9"
"r_8","2017Q2","1000cp","1","1","76.7"
"r_8","2017Q2","1000cp","2","1","60.2"
"r_8","2017Q2","1000cp","0","2","77"
"r_8","2017Q2","1000cp","1","2","47.2"
"r_8","2017Q2","1000cp","2","2","29.8"
"r_9","2017Q3","1000cp","0","0","200.2"
"r_9","2017Q3","1000cp","1","0","112.4"
"r_9","2017Q3","1000cp","2","0","87.8"
"r_9","2017Q3","1000cp","0","1","134.8"
"r_9","2017Q3","1000cp","1","1","74.1"
"r_9","2017Q3","1000cp","2","1","60.7"
"r_9","2017Q3","1000cp","0","2","65.4"
"r_9","2017Q3","1000cp","1","2","38.3"
"r_9","2017Q3","1000cp","2","2","27.1"
"r_10","2017Q4","1000cp","0","0","189.3"
"r_10","2017Q4","1000cp","1","0","101.4"
"r_10","2017Q4","1000cp","2","0","87.9"
"r_10","2017Q4","1000cp","0","1","124.1"
"r_10","2017Q4","1000cp","1","1","66.5"
"r_10","2017Q4","1000cp","2","1","57.6"
"r_10","2017Q4","1000cp","0","2","65.2"
"r_10","2017Q4","1000cp","1","2","34.9"
"r_10","2017Q4","1000cp","2","2","30.3"
"r_11","2018Q1","1000cp","0","0","188.7"
"r_11","2018Q1","1000cp","1","0","111.7"
"r_11","2018Q1","1000cp","2","0","77.1"
"r_11","2018Q1","1000cp","0","1","118.9"
"r_11","2018Q1","1000cp","1","1","70.7"
"r_11","2018Q1","1000cp","2","1","48.3"
"r_11","2018Q1","1000cp","0","2","69.8"
"r_11","2018Q1","1000cp","1","2","41"
"r_11","2018Q1","1000cp","2","2","28.8"
"r_12","2018Q2","1000cp","0","0","182.2"
"r_12","2018Q2","1000cp","1","0","109.8"
"r_12","2018Q2","1000cp","2","0","72.4"
"r_12","2018Q2","1000cp","0","1","111.5"
"r_12","2018Q2","1000cp","1","1","67.9"
