RevisionColumn,periods,BUILD_Permit,BUILD_Permit1,District_Projection,periods_name,ValueColumn
"r_42","2005","1","4","PAZ","Q2","61"
"r_42","2005","1","5","PAZ","Q2","226"
"r_42","2005","1","6","PAZ","Q2","30363"
"r_42","2005","2","4","PAZ","Q2",".."
"r_42","2005","2","6","PAZ","Q2",".."
"r_42","2005","3","4","PAZ","Q2","51"
"r_42","2005","3","6","PAZ","Q2","14481"
"r_42","2005","1","4","PAZ","Q3","59"
"r_42","2005","1","5","PAZ","Q3","174"
"r_42","2005","1","6","PAZ","Q3","23299"
"r_42","2005","2","4","PAZ","Q3","4"
"r_42","2005","2","6","PAZ","Q3","5192"
"r_42","2005","3","4","PAZ","Q3","63"
"r_42","2005","3","6","PAZ","Q3","27082"
"r_42","2005","1","4","PAZ","Q4","53"
"r_42","2005","1","5","PAZ","Q4","120"
"r_42","2005","1","6","PAZ","Q4","18361"
"r_42","2005","2","4","PAZ","Q4",".."
"r_42","2005","2","6","PAZ","Q4",".."
"r_42","2005","3","4","PAZ","Q4","66"
"r_42","2005","3","6","PAZ","Q4","24601"
"r_42","2005","1","4","PER","Q1","18"
"r_42","2005","1","5","PER","Q1","18"
"r_42","2005","1","6","PER","Q1","1790"
"r_42","2005","2","4","PER","Q1",".."
"r_42","2005","2","6","PER","Q1",".."
"r_42","2005","3","4","PER","Q1","38"
"r_42","2005","3","6","PER","Q1","2762"
"r_42","2005","1","4","PER","Q2","21"
"r_42","2005","1","5","PER","Q2","32"
"r_42","2005","1","6","PER","Q2","3006"
"r_42","2005","2","4","PER","Q2","-"
"r_42","2005","2","6","PER","Q2","-"
"r_42","2005","3","4","PER","Q2","33"
"r_42","2005","3","6","PER","Q2","2922"
"r_42","2005","1","4","PER","Q3","40"
"r_42","2005","1","5","PER","Q3","49"
"r_42","2005","1","6","PER","Q3","7087"
"r_42","2005","2","4","PER","Q3",".."
"r_42","2005","2","6","PER","Q3",".."
"r_42","2005","3","4","PER","Q3","37"
"r_42","2005","3","6","PER","Q3","5206"
"r_42","2005","1","4","PER","Q4","33"
"r_42","2005","1","5","PER","Q4","40"
"r_42","2005","1","6","PER","Q4","5198"
"r_42","2005","2","4","PER","Q4","-"
"r_42","2005","2","6","PER","Q4","-"
"r_42","2005","3","4","PER","Q4","20"
"r_42","2005","3","6","PER","Q4","3176"
"r_42","2005","1","4","PVN","Q1","13"
"r_42","2005","1","5","PVN","Q1","187"
"r_42","2005","1","6","PVN","Q1","19761"
"r_42","2005","2","4","PVN","Q1",".."
"r_42","2005","2","6","PVN","Q1",".."
"r_42","2005","3","4","PVN","Q1","28"
"r_42","2005","3","6","PVN","Q1","13942"
"r_42","2005","1","4","PVN","Q2","23"
"r_42","2005","1","5","PVN","Q2","178"
"r_42","2005","1","6","PVN","Q2","20756"
"r_42","2005","2","4","PVN","Q2",".."
"r_42","2005","2","6","PVN","Q2",".."
"r_42","2005","3","4","PVN","Q2","42"
"r_42","2005","3","6","PVN","Q2","17352"
"r_42","2005","1","4","PVN","Q3","30"
"r_42","2005","1","5","PVN","Q3","157"
"r_42","2005","1","6","PVN","Q3","17455"
"r_42","2005","2","4","PVN","Q3",".."
"r_42","2005","2","6","PVN","Q3",".."
"r_42","2005","3","4","PVN","Q3","58"
"r_42","2005","3","6","PVN","Q3","23828"
"r_42","2005","1","4","PVN","Q4","18"
"r_42","2005","1","5","PVN","Q4","132"
"r_42","2005","1","6","PVN","Q4","16351"
"r_42","2005","2","4","PVN","Q4","4"
"r_42","2005","2","6","PVN","Q4","3978"
"r_42","2005","3","4","PVN","Q4","35"
"r_42","2005","3","6","PVN","Q4","21198"
"r_42","2005","1","4","PDV","Q1","124"
"r_42","2005","1","5","PDV","Q1","765"
"r_42","2005","1","6","PDV","Q1","85887"
"r_42","2005","2","4","PDV","Q1","6"
"r_42","2005","2","6","PDV","Q1","8407"
"r_42","2005","3","4","PDV","Q1","131"
"r_42","2005","3","6","PDV","Q1","78401"
"r_42","2005","1","4","PDV","Q2","239"
"r_42","2005","1","5","PDV","Q2","1361"
"r_42","2005","1","6","PDV","Q2","169428"
"r_42","2005","2","4","PDV","Q2","5"
"r_42","2005","2","6","PDV","Q2","11815"
"r_42","2005","3","4","PDV","Q2","178"
"r_42","2005","3","6","PDV","Q2","100055"
"r_42","2005","1","4","PDV","Q3","199"
"r_42","2005","1","5","PDV","Q3","848"
"r_42","2005","1","6","PDV","Q3","114523"
"r_42","2005","2","4","PDV","Q3","16"
"r_42","2005","2","6","PDV","Q3","16875"
"r_42","2005","3","4","PDV","Q3","164"
"r_42","2005","3","6","PDV","Q3","102527"
"r_42","2005","1","4","PDV","Q4","198"
"r_42","2005","1","5","PDV","Q4","789"
"r_42","2005","1","6","PDV","Q4","128673"
"r_42","2005","2","4","PDV","Q4","10"
"r_42","2005","2","6","PDV","Q4","17543"
"r_42","2005","3","4","PDV","Q4","169"
"r_42","2005","3","6","PDV","Q4","164819"
"r_42","2005","1","4","RAZ","Q1",".."
"r_42","2005","1","5","RAZ","Q1",".."
"r_42","2005","1","6","RAZ","Q1",".."
"r_42","2005","2","4","RAZ","Q1",".."
"r_42","2005","2","6","RAZ","Q1",".."
"r_42","2005","3","4","RAZ","Q1","21"
"r_42","2005","3","6","RAZ","Q1","1684"
"r_42","2005","1","4","RAZ","Q2","10"
"r_42","2005","1","5","RAZ","Q2","13"
"r_42","2005","1","6","RAZ","Q2","1862"
"r_42","2005","2","4","RAZ","Q2","-"
"r_42","2005","2","6","RAZ","Q2","-"
"r_42","2005","3","4","RAZ","Q2","38"
"r_42","2005","3","6","RAZ","Q2","6833"
"r_42","2005","1","4","RAZ","Q3",".."
"r_42","2005","1","5","RAZ","Q3",".."
"r_42","2005","1","6","RAZ","Q3",".."
"r_42","2005","2","4","RAZ","Q3",".."
"r_42","2005","2","6","RAZ","Q3",".."
"r_42","2005","3","4","RAZ","Q3","26"
"r_42","2005","3","6","RAZ","Q3","4633"
"r_42","2005","1","4","RAZ","Q4","4"
"r_42","2005","1","5","RAZ","Q4","4"
"r_42","2005","1","6","RAZ","Q4","298"
"r_42","2005","2","4","RAZ","Q4",".."
"r_42","2005","2","6","RAZ","Q4",".."
"r_42","2005","3","4","RAZ","Q4","18"
"r_42","2005","3","6","RAZ","Q4","2769"
"r_42","2005","1","4","RSE","Q1","12"
"r_42","2005","1","5","RSE","Q1","99"
"r_42","2005","1","6","RSE","Q1","19981"
"r_42","2005","2","4","RSE","Q1","5"
"r_42","2005","2","6","RSE","Q1","3541"
"r_42","2005","3","4","RSE","Q1","29"
"r_42","2005","3","6","RSE","Q1","13284"
"r_42","2005","1","4","RSE","Q2","15"
"r_42","2005","1","5","RSE","Q2","31"
"r_42","2005","1","6","RSE","Q2","6751"
"r_42","2005","2","4","RSE","Q2",".."
"r_42","2005","2","6","RSE","Q2",".."
"r_42","2005","3","4","RSE","Q2","38"
"r_42","2005","3","6","RSE","Q2","18775"
"r_42","2005","1","4","RSE","Q3","33"
"r_42","2005","1","5","RSE","Q3","319"
"r_42","2005","1","6","RSE","Q3","52695"
"r_42","2005","2","4","RSE","Q3",".."
"r_42","2005","2","6","RSE","Q3",".."
"r_42","2005","3","4","RSE","Q3","59"
"r_42","2005","3","6","RSE","Q3","24175"
"r_42","2005","1","4","RSE","Q4","25"
"r_42","2005","1","5","RSE","Q4","232"
"r_42","2005","1","6","RSE","Q4","26789"
"r_42","2005","2","4","RSE","Q4","8"
"r_42","2005","2","6","RSE","Q4","272"
"r_42","2005","3","4","RSE","Q4","49"
"r_42","2005","3","6","RSE","Q4","19926"
"r_42","2005","1","4","SLS","Q1","3"
"r_42","2005","1","5","SLS","Q1","3"
"r_42","2005","1","6","SLS","Q1","398"
"r_42","2005","2","4","SLS","Q1","-"
"r_42","2005","2","6","SLS","Q1","-"
