RevisionColumn,HBS_Meassure,HBS_PR,Residence,periods,ValueColumn
"r_1","2","14","0","2013","52"
"r_1","2","14","1","2013","55"
"r_1","2","14","2","2013","42"
"r_1","2","14","0","2014","56"
"r_1","2","14","1","2014","58"
"r_1","2","14","2","2014","49"
"r_1","2","15","0","2008","199"
"r_1","2","15","1","2008","176"
"r_1","2","15","2","2008","251"
"r_1","2","15","0","2009","184"
"r_1","2","15","1","2009","160"
"r_1","2","15","2","2009","239"
"r_1","2","15","0","2010","143"
"r_1","2","15","1","2010","124"
"r_1","2","15","2","2010","193"
"r_1","2","15","0","2011","115"
"r_1","2","15","1","2011","104"
"r_1","2","15","2","2011","144"
"r_1","2","15","0","2012","163"
"r_1","2","15","1","2012","156"
"r_1","2","15","2","2012","185"
"r_1","2","15","0","2013","189"
"r_1","2","15","1","2013","180"
"r_1","2","15","2","2013","217"
"r_1","2","15","0","2014","190"
"r_1","2","15","1","2014","166"
"r_1","2","15","2","2014","265"
"r_1","3","1","0","2008","100"
"r_1","3","1","1","2008","100"
"r_1","3","1","2","2008","100"
"r_1","3","1","0","2009","100"
"r_1","3","1","1","2009","100"
"r_1","3","1","2","2009","100"
"r_1","3","1","0","2010","100"
"r_1","3","1","1","2010","100"
"r_1","3","1","2","2010","100"
"r_1","3","1","0","2011","100"
"r_1","3","1","1","2011","100"
"r_1","3","1","2","2011","100"
"r_1","3","1","0","2012","100"
"r_1","3","1","1","2012","100"
"r_1","3","1","2","2012","100"
"r_1","3","1","0","2013","100"
"r_1","3","1","1","2013","100"
"r_1","3","1","2","2013","100"
"r_1","3","1","0","2014","100"
"r_1","3","1","1","2014","100"
"r_1","3","1","2","2014","100"
"r_1","3","11","0","2008","84.9"
"r_1","3","11","1","2008","85.4"
"r_1","3","11","2","2008","83.3"
"r_1","3","11","0","2009","85.3"
"r_1","3","11","1","2009","85.8"
"r_1","3","11","2","2009","84.1"
"r_1","3","11","0","2010","85.5"
"r_1","3","11","1","2010","85.6"
"r_1","3","11","2","2010","85.1"
"r_1","3","11","0","2011","83.7"
"r_1","3","11","1","2011","83.3"
"r_1","3","11","2","2011","85.4"
"r_1","3","11","0","2012","83.3"
"r_1","3","11","1","2012","83"
"r_1","3","11","2","2012","84.4"
"r_1","3","11","0","2013","83"
"r_1","3","11","1","2013","83.1"
"r_1","3","11","2","2013","82.8"
"r_1","3","11","0","2014","83.2"
"r_1","3","11","1","2014","83.1"
"r_1","3","11","2","2014","83.3"
"r_1","3","1101","0","2008","34.9"
"r_1","3","1101","1","2008","34"
"r_1","3","1101","2","2008","37.8"
"r_1","3","1101","0","2009","34.9"
"r_1","3","1101","1","2009","34.5"
"r_1","3","1101","2","2009","36.2"
"r_1","3","1101","0","2010","35.8"
"r_1","3","1101","1","2010","35.7"
"r_1","3","1101","2","2010","36.1"
"r_1","3","1101","0","2011","35.1"
"r_1","3","1101","1","2011","34.3"
"r_1","3","1101","2","2011","37.7"
"r_1","3","1101","0","2012","32.2"
"r_1","3","1101","1","2012","32"
"r_1","3","1101","2","2012","32.9"
"r_1","3","1101","0","2013","32.1"
"r_1","3","1101","1","2013","31.6"
"r_1","3","1101","2","2013","34.4"
"r_1","3","1101","0","2014","31.4"
"r_1","3","1101","1","2014","31.1"
"r_1","3","1101","2","2014","32.5"
"r_1","3","1102","0","2008","4.4"
"r_1","3","1102","1","2008","4.4"
"r_1","3","1102","2","2008","4.4"
"r_1","3","1102","0","2009","4.7"
"r_1","3","1102","1","2009","4.6"
"r_1","3","1102","2","2009","5"
"r_1","3","1102","0","2010","4.6"
"r_1","3","1102","1","2010","4.5"
"r_1","3","1102","2","2010","4.9"
"r_1","3","1102","0","2011","4.5"
"r_1","3","1102","1","2011","4.4"
"r_1","3","1102","2","2011","4.6"
"r_1","3","1102","0","2012","4.4"
"r_1","3","1102","1","2012","4.3"
"r_1","3","1102","2","2012","4.7"
"r_1","3","1102","0","2013","4"
"r_1","3","1102","1","2013","4"
"r_1","3","1102","2","2013","4.1"
"r_1","3","1102","0","2014","4.1"
"r_1","3","1102","1","2014","4.2"
"r_1","3","1102","2","2014","3.9"
"r_1","3","1103","0","2008","3.6"
"r_1","3","1103","1","2008","3.8"
"r_1","3","1103","2","2008","2.9"
"r_1","3","1103","0","2009","3.2"
"r_1","3","1103","1","2009","3.3"
"r_1","3","1103","2","2009","2.8"
"r_1","3","1103","0","2010","2.9"
"r_1","3","1103","1","2010","3"
"r_1","3","1103","2","2010","2.7"
"r_1","3","1103","0","2011","3"
"r_1","3","1103","1","2011","3.1"
"r_1","3","1103","2","2011","2.7"
"r_1","3","1103","0","2012","3.2"
"r_1","3","1103","1","2012","3.4"
