RevisionColumn,NACE2008A21,periods,Ownership,Units,ValueColumn
"r_13","E","2015","1","BGN_tabl","9216"
"r_13","E","2015","2","BGN_tabl","9608"
"r_13","E","2016","total","BGN_tabl","9792"
"r_13","E","2016","1","BGN_tabl","9458"
"r_13","E","2016","2","BGN_tabl","10314"
"r_13","E","2017","total","BGN_tabl","10551"
"r_13","E","2017","1","BGN_tabl","9964"
"r_13","E","2017","2","BGN_tabl","11501"
"r_13","E","2018","total","BGN_tabl","11432"
"r_13","E","2018","1","BGN_tabl","10692"
"r_13","E","2018","2","BGN_tabl","12583"
"r_13","E","2019","total","BGN_tabl","12497"
"r_13","E","2019","1","BGN_tabl","11596"
"r_13","E","2019","2","BGN_tabl","13886"
"r_13","E","2020","total","BGN_tabl","13362"
"r_13","E","2020","1","BGN_tabl","12256"
"r_13","E","2020","2","BGN_tabl","15057"
"r_13","E","2021","total","BGN_tabl","14594"
"r_13","E","2021","1","BGN_tabl","13192"
"r_13","E","2021","2","BGN_tabl","16780"
"r_13","E","2022","total","BGN_tabl","16220"
"r_13","E","2022","1","BGN_tabl","14573"
"r_13","E","2022","2","BGN_tabl","18750"
"r_13","E","2023","total","BGN_tabl","18123"
"r_13","E","2023","1","BGN_tabl","16771"
"r_13","E","2023","2","BGN_tabl","20213"
"r_13","E","2024","total","BGN_tabl","20609"
"r_13","E","2024","1","BGN_tabl","19476"
"r_13","E","2024","2","BGN_tabl","22407"
"r_13","F","2008","total","BGN_tabl","5531"
"r_13","F","2008","1","BGN_tabl","7546"
"r_13","F","2008","2","BGN_tabl","5478"
"r_13","F","2009","total","BGN_tabl","6766"
"r_13","F","2009","1","BGN_tabl","8132"
"r_13","F","2009","2","BGN_tabl","6728"
"r_13","F","2010","total","BGN_tabl","7042"
"r_13","F","2010","1","BGN_tabl","8409"
"r_13","F","2010","2","BGN_tabl","7005"
"r_13","F","2011","total","BGN_tabl","7283"
"r_13","F","2011","1","BGN_tabl","7692"
"r_13","F","2011","2","BGN_tabl","7271"
"r_13","F","2012","total","BGN_tabl","7662"
"r_13","F","2012","1","BGN_tabl","7919"
"r_13","F","2012","2","BGN_tabl","7655"
"r_13","F","2013","total","BGN_tabl","7998"
"r_13","F","2013","1","BGN_tabl","8174"
"r_13","F","2013","2","BGN_tabl","7993"
"r_13","F","2014","total","BGN_tabl","8782"
"r_13","F","2014","1","BGN_tabl","9108"
"r_13","F","2014","2","BGN_tabl","8775"
"r_13","F","2015","total","BGN_tabl","9212"
"r_13","F","2015","1","BGN_tabl","9016"
"r_13","F","2015","2","BGN_tabl","9217"
"r_13","F","2016","total","BGN_tabl","9289"
"r_13","F","2016","1","BGN_tabl","9768"
"r_13","F","2016","2","BGN_tabl","9280"
"r_13","F","2017","total","BGN_tabl","10044"
"r_13","F","2017","1","BGN_tabl","10515"
"r_13","F","2017","2","BGN_tabl","10035"
"r_13","F","2018","total","BGN_tabl","11083"
"r_13","F","2018","1","BGN_tabl","11462"
"r_13","F","2018","2","BGN_tabl","11076"
"r_13","F","2019","total","BGN_tabl","12236"
"r_13","F","2019","1","BGN_tabl","12727"
"r_13","F","2019","2","BGN_tabl","12227"
"r_13","F","2020","total","BGN_tabl","13471"
"r_13","F","2020","1","BGN_tabl","13991"
"r_13","F","2020","2","BGN_tabl","13461"
"r_13","F","2021","total","BGN_tabl","14669"
"r_13","F","2021","1","BGN_tabl","15453"
"r_13","F","2021","2","BGN_tabl","14653"
"r_13","F","2022","total","BGN_tabl","16022"
"r_13","F","2022","1","BGN_tabl","17662"
"r_13","F","2022","2","BGN_tabl","15993"
"r_13","F","2023","total","BGN_tabl","18700"
"r_13","F","2023","1","BGN_tabl","20388"
"r_13","F","2023","2","BGN_tabl","18671"
"r_13","F","2024","total","BGN_tabl","22921"
"r_13","F","2024","1","BGN_tabl","22966"
"r_13","F","2024","2","BGN_tabl","22920"
"r_13","G","2008","total","BGN_tabl","5362"
"r_13","G","2008","1","BGN_tabl","8730"
"r_13","G","2008","2","BGN_tabl","5354"
"r_13","G","2009","total","BGN_tabl","6103"
"r_13","G","2009","1","BGN_tabl","11111"
"r_13","G","2009","2","BGN_tabl","6096"
"r_13","G","2010","total","BGN_tabl","6523"
"r_13","G","2010","1","BGN_tabl","10789"
"r_13","G","2010","2","BGN_tabl","6517"
"r_13","G","2011","total","BGN_tabl","7040"
"r_13","G","2011","1","BGN_tabl","11925"
"r_13","G","2011","2","BGN_tabl","7034"
"r_13","G","2012","total","BGN_tabl","7672"
"r_13","G","2012","1","BGN_tabl","11882"
"r_13","G","2012","2","BGN_tabl","7666"
"r_13","G","2013","total","BGN_tabl","8141"
"r_13","G","2013","1","BGN_tabl","12317"
"r_13","G","2013","2","BGN_tabl","8135"
"r_13","G","2014","total","BGN_tabl","8640"
"r_13","G","2014","1","BGN_tabl","13266"
"r_13","G","2014","2","BGN_tabl","8634"
"r_13","G","2015","total","BGN_tabl","9417"
"r_13","G","2015","1","BGN_tabl","12124"
"r_13","G","2015","2","BGN_tabl","9413"
"r_13","G","2016","total","BGN_tabl","10292"
"r_13","G","2016","1","BGN_tabl","12552"
"r_13","G","2016","2","BGN_tabl","10289"
