RevisionColumn,periods,Units,EKATTE,Residence,ValueColumn
"r_1","2007","num","VID15","2","-"
"r_1","2008","num","VID15","0","5"
"r_1","2008","num","VID15","1","5"
"r_1","2008","num","VID15","2","-"
"r_1","2009","num","VID15","0","1"
"r_1","2009","num","VID15","1","-"
"r_1","2009","num","VID15","2","1"
"r_1","2010","num","VID15","0","4"
"r_1","2010","num","VID15","1","3"
"r_1","2010","num","VID15","2","1"
"r_1","2011","num","VID15","0","-"
"r_1","2011","num","VID15","1","-"
"r_1","2011","num","VID15","2","-"
"r_1","2012","num","VID15","0","2"
"r_1","2012","num","VID15","1","-"
"r_1","2012","num","VID15","2","2"
"r_1","2013","num","VID15","0","2"
"r_1","2013","num","VID15","1","1"
"r_1","2013","num","VID15","2","1"
"r_1","2014","num","VID15","0","4"
"r_1","2014","num","VID15","1","3"
"r_1","2014","num","VID15","2","1"
"r_1","2000","num","VID16","0","10"
"r_1","2000","num","VID16","1","2"
"r_1","2000","num","VID16","2","8"
"r_1","2001","num","VID16","0","6"
"r_1","2001","num","VID16","1","-"
"r_1","2001","num","VID16","2","6"
"r_1","2002","num","VID16","0","10"
"r_1","2002","num","VID16","1","1"
"r_1","2002","num","VID16","2","9"
"r_1","2003","num","VID16","0","14"
"r_1","2003","num","VID16","1","4"
"r_1","2003","num","VID16","2","10"
"r_1","2004","num","VID16","0","27"
"r_1","2004","num","VID16","1","6"
"r_1","2004","num","VID16","2","21"
"r_1","2005","num","VID16","0","23"
"r_1","2005","num","VID16","1","7"
"r_1","2005","num","VID16","2","16"
"r_1","2006","num","VID16","0","10"
"r_1","2006","num","VID16","1","1"
"r_1","2006","num","VID16","2","9"
"r_1","2007","num","VID16","0","9"
"r_1","2007","num","VID16","1","2"
"r_1","2007","num","VID16","2","7"
"r_1","2008","num","VID16","0","6"
"r_1","2008","num","VID16","1","-"
"r_1","2008","num","VID16","2","6"
"r_1","2009","num","VID16","0","8"
"r_1","2009","num","VID16","1","3"
"r_1","2009","num","VID16","2","5"
"r_1","2010","num","VID16","0","4"
"r_1","2010","num","VID16","1","-"
"r_1","2010","num","VID16","2","4"
"r_1","2011","num","VID16","0","9"
"r_1","2011","num","VID16","1","4"
"r_1","2011","num","VID16","2","5"
"r_1","2012","num","VID16","0","6"
"r_1","2012","num","VID16","1","1"
"r_1","2012","num","VID16","2","5"
"r_1","2013","num","VID16","0","3"
"r_1","2013","num","VID16","1","1"
"r_1","2013","num","VID16","2","2"
"r_1","2014","num","VID16","0","8"
"r_1","2014","num","VID16","1","2"
"r_1","2014","num","VID16","2","6"
"r_1","2000","num","VID22","0","6"
"r_1","2000","num","VID22","1","3"
"r_1","2000","num","VID22","2","3"
"r_1","2001","num","VID22","0","3"
"r_1","2001","num","VID22","1","2"
"r_1","2001","num","VID22","2","1"
"r_1","2002","num","VID22","0","1"
"r_1","2002","num","VID22","1","-"
"r_1","2002","num","VID22","2","1"
"r_1","2003","num","VID22","0","8"
"r_1","2003","num","VID22","1","6"
"r_1","2003","num","VID22","2","2"
"r_1","2004","num","VID22","0","10"
"r_1","2004","num","VID22","1","9"
"r_1","2004","num","VID22","2","1"
"r_1","2005","num","VID22","0","17"
"r_1","2005","num","VID22","1","13"
"r_1","2005","num","VID22","2","4"
"r_1","2006","num","VID22","0","14"
"r_1","2006","num","VID22","1","10"
"r_1","2006","num","VID22","2","4"
"r_1","2007","num","VID22","0","10"
"r_1","2007","num","VID22","1","6"
"r_1","2007","num","VID22","2","4"
"r_1","2008","num","VID22","0","6"
"r_1","2008","num","VID22","1","4"
"r_1","2008","num","VID22","2","2"
"r_1","2009","num","VID22","0","7"
"r_1","2009","num","VID22","1","3"
"r_1","2009","num","VID22","2","4"
"r_1","2010","num","VID22","0","2"
"r_1","2010","num","VID22","1","2"
"r_1","2010","num","VID22","2","-"
"r_1","2011","num","VID22","0","5"
"r_1","2011","num","VID22","1","4"
"r_1","2011","num","VID22","2","1"
"r_1","2012","num","VID22","0","2"
"r_1","2012","num","VID22","1","1"
"r_1","2012","num","VID22","2","1"
"r_1","2013","num","VID22","0","5"
"r_1","2013","num","VID22","1","4"
"r_1","2013","num","VID22","2","1"
"r_1","2014","num","VID22","0","5"
"r_1","2014","num","VID22","1","4"
"r_1","2014","num","VID22","2","1"
"r_1","2000","num","VID25","0","3"
"r_1","2000","num","VID25","1","-"
"r_1","2000","num","VID25","2","3"
"r_1","2001","num","VID25","0","1"
"r_1","2001","num","VID25","1","-"
"r_1","2001","num","VID25","2","1"
"r_1","2002","num","VID25","0","1"
"r_1","2002","num","VID25","1","-"
"r_1","2002","num","VID25","2","1"
"r_1","2003","num","VID25","0","6"
"r_1","2003","num","VID25","1","-"
"r_1","2003","num","VID25","2","6"
"r_1","2004","num","VID25","0","6"
"r_1","2004","num","VID25","1","-"
"r_1","2004","num","VID25","2","6"
"r_1","2005","num","VID25","0","4"
"r_1","2005","num","VID25","1","-"
"r_1","2005","num","VID25","2","4"
"r_1","2006","num","VID25","0","3"
"r_1","2006","num","VID25","1","-"
"r_1","2006","num","VID25","2","3"
"r_1","2007","num","VID25","0","5"
"r_1","2007","num","VID25","1","-"
"r_1","2007","num","VID25","2","5"
"r_1","2008","num","VID25","0","2"
"r_1","2008","num","VID25","1","-"
"r_1","2008","num","VID25","2","2"
"r_1","2009","num","VID25","0","3"
"r_1","2009","num","VID25","1","-"
"r_1","2009","num","VID25","2","3"
"r_1","2010","num","VID25","0","2"
"r_1","2010","num","VID25","1","-"
"r_1","2010","num","VID25","2","2"
"r_1","2011","num","VID25","0","1"
"r_1","2011","num","VID25","1","-"
"r_1","2011","num","VID25","2","1"
"r_1","2012","num","VID25","0","-"
"r_1","2012","num","VID25","1","-"
"r_1","2012","num","VID25","2","-"
"r_1","2013","num","VID25","0","-"
"r_1","2013","num","VID25","1","-"
"r_1","2013","num","VID25","2","-"
"r_1","2014","num","VID25","0","-"
"r_1","2014","num","VID25","1","-"
"r_1","2014","num","VID25","2","-"
"r_1","2000","num","VID30","0","3"
