RevisionColumn,SILC_Activity,SILC_Age,SILC_Median,Units,periods,ValueColumn
"r_9","1","2","6","BGN_fig","2020","11167"
"r_9","1","3","6","BGN_fig","2020","12572"
"r_9","2","2","5","euro","2020","4516"
"r_9","2","3","5","euro","2020","3926"
"r_9","2","2","5","BGN_fig","2020","8833"
"r_9","2","3","5","BGN_fig","2020","7679"
"r_9","2","2","6","euro","2020","3348"
"r_9","2","3","6","euro","2020","3097"
"r_9","2","2","6","BGN_fig","2020","6549"
"r_9","2","3","6","BGN_fig","2020","6058"
"r_9","3","2","5","euro","2020","2906"
"r_9","3","2","5","BGN_fig","2020","5684"
"r_9","3","2","6","euro","2020","2319"
"r_9","3","2","6","BGN_fig","2020","4536"
"r_9","4","2","5","euro","2020","5385"
"r_9","4","3","5","euro","2020","3968"
"r_9","4","2","5","BGN_fig","2020","10531"
"r_9","4","3","5","BGN_fig","2020","7761"
"r_9","4","2","6","euro","2020","4665"
"r_9","4","3","6","euro","2020","3128"
"r_9","4","2","6","BGN_fig","2020","9123"
"r_9","4","3","6","BGN_fig","2020","6117"
"r_9","5","2","5","euro","2020","5375"
"r_9","5","2","5","BGN_fig","2020","10512"
"r_9","5","2","6","euro","2020","3781"
"r_9","5","2","6","BGN_fig","2020","7395"
"r_10","1","2","5","euro","2021","8321"
"r_10","1","3","5","euro","2021","9461"
"r_10","1","2","5","BGN_fig","2021","16275"
"r_10","1","3","5","BGN_fig","2021","18505"
"r_10","1","2","6","euro","2021","6325"
"r_10","1","3","6","euro","2021","7265"
"r_10","1","2","6","BGN_fig","2021","12371"
"r_10","1","3","6","BGN_fig","2021","14209"
"r_10","2","2","5","euro","2021","5015"
"r_10","2","3","5","euro","2021","4664"
"r_10","2","2","5","BGN_fig","2021","9809"
"r_10","2","3","5","BGN_fig","2021","9121"
"r_10","2","2","6","euro","2021","3992"
"r_10","2","3","6","euro","2021","3593"
"r_10","2","2","6","BGN_fig","2021","7807"
"r_10","2","3","6","BGN_fig","2021","7026"
"r_10","3","2","5","euro","2021","4090"
"r_10","3","2","5","BGN_fig","2021","7998"
"r_10","3","2","6","euro","2021","3131"
"r_10","3","2","6","BGN_fig","2021","6123"
"r_10","4","2","5","euro","2021","6299"
"r_10","4","3","5","euro","2021","4696"
"r_10","4","2","5","BGN_fig","2021","12321"
"r_10","4","3","5","BGN_fig","2021","9184"
"r_10","4","2","6","euro","2021","5307"
"r_10","4","3","6","euro","2021","3613"
"r_10","4","2","6","BGN_fig","2021","10380"
"r_10","4","3","6","BGN_fig","2021","7066"
"r_10","5","2","5","euro","2021","5352"
"r_10","5","2","5","BGN_fig","2021","10467"
"r_10","5","2","6","euro","2021","4270"
"r_10","5","2","6","BGN_fig","2021","8351"
"r_11","1","2","5","euro","2022","8470"
"r_11","1","3","5","euro","2022","9932"
"r_11","1","2","5","BGN_fig","2022","16565"
"r_11","1","3","5","BGN_fig","2022","19426"
"r_11","1","2","6","euro","2022","6869"
"r_11","1","3","6","euro","2022","7860"
"r_11","1","2","6","BGN_fig","2022","13435"
"r_11","1","3","6","BGN_fig","2022","15372"
"r_11","2","2","5","euro","2022","4970"
"r_11","2","3","5","euro","2022","4665"
"r_11","2","2","5","BGN_fig","2022","9720"
"r_11","2","3","5","BGN_fig","2022","9123"
"r_11","2","2","6","euro","2022","3904"
"r_11","2","3","6","euro","2022","3726"
"r_11","2","2","6","BGN_fig","2022","7635"
"r_11","2","3","6","BGN_fig","2022","7288"
"r_11","3","2","5","euro","2022","3588"
"r_11","3","2","5","BGN_fig","2022","7018"
"r_11","3","2","6","euro","2022","2938"
"r_11","3","2","6","BGN_fig","2022","5746"
"r_11","4","2","5","euro","2022","6110"
"r_11","4","3","5","euro","2022","4695"
"r_11","4","2","5","BGN_fig","2022","11949"
"r_11","4","3","5","BGN_fig","2022","9183"
"r_11","4","2","6","euro","2022","5195"
"r_11","4","3","6","euro","2022","3756"
"r_11","4","2","6","BGN_fig","2022","10160"
"r_11","4","3","6","BGN_fig","2022","7347"
"r_11","5","2","5","euro","2022","5678"
"r_11","5","2","5","BGN_fig","2022","11105"
"r_11","5","2","6","euro","2022","4543"
"r_11","5","2","6","BGN_fig","2022","8885"
"r_12","1","2","5","euro","2023","9901"
"r_12","1","3","5","euro","2023","12328"
"r_12","1","2","5","BGN_fig","2023","19365"
"r_12","1","3","5","BGN_fig","2023","24111"
"r_12","1","2","6","euro","2023","7992"
"r_12","1","3","6","euro","2023","9493"
"r_12","1","2","6","BGN_fig","2023","15630"
"r_12","1","3","6","BGN_fig","2023","18566"
"r_12","2","2","5","euro","2023","6246"
"r_12","2","3","5","euro","2023","6134"
"r_12","2","2","5","BGN_fig","2023","12217"
"r_12","2","3","5","BGN_fig","2023","11998"
"r_12","2","2","6","euro","2023","4956"
"r_12","2","3","6","euro","2023","4990"
"r_12","2","2","6","BGN_fig","2023","9696"
"r_12","2","3","6","BGN_fig","2023","9759"
"r_12","3","2","5","euro","2023","4297"
"r_12","3","2","5","BGN_fig","2023","8403"
"r_12","3","2","6","euro","2023","3475"
"r_12","3","2","6","BGN_fig","2023","6797"
"r_12","4","2","5","euro","2023","7810"
"r_12","4","3","5","euro","2023","6171"
"r_12","4","2","5","BGN_fig","2023","15275"
"r_12","4","3","5","BGN_fig","2023","12070"
"r_12","4","2","6","euro","2023","6627"
"r_12","4","3","6","euro","2023","5013"
"r_12","4","2","6","BGN_fig","2023","12961"
"r_12","4","3","6","BGN_fig","2023","9805"
"r_12","5","2","5","euro","2023","7019"
"r_12","5","2","5","BGN_fig","2023","13728"
"r_12","5","2","6","euro","2023","5544"
"r_12","5","2","6","BGN_fig","2023","10843"
"r_13","1","2","5","euro","2024","12145"
"r_13","1","3","5","euro","2024","13514"
"r_13","1","2","5","BGN_fig","2024","23753"
"r_13","1","3","5","BGN_fig","2024","26430"
"r_13","1","2","6","euro","2024","9543"
"r_13","1","3","6","euro","2024","11042"
"r_13","1","2","6","BGN_fig","2024","18663"
"r_13","1","3","6","BGN_fig","2024","21596"
"r_13","2","2","5","euro","2024","7659"
"r_13","2","3","5","euro","2024","7408"
"r_13","2","2","5","BGN_fig","2024","14980"
"r_13","2","3","5","BGN_fig","2024","14488"
"r_13","2","2","6","euro","2024","5860"
"r_13","2","3","6","euro","2024","6000"
"r_13","2","2","6","BGN_fig","2024","11460"
"r_13","2","3","6","BGN_fig","2024","11735"
"r_13","3","2","5","euro","2024","5241"
"r_13","3","2","5","BGN_fig","2024","10250"
"r_13","3","2","6","euro","2024","4006"
"r_13","3","2","6","BGN_fig","2024","7835"
"r_13","4","2","5","euro","2024","9207"
"r_13","4","3","5","euro","2024","7460"
"r_13","4","2","5","BGN_fig","2024","18008"
"r_13","4","3","5","BGN_fig","2024","14590"
"r_13","4","2","6","euro","2024","8388"
"r_13","4","3","6","euro","2024","6021"
"r_13","4","2","6","BGN_fig","2024","16405"
"r_13","4","3","6","BGN_fig","2024","11776"
"r_13","5","2","5","euro","2024","8687"
"r_13","5","2","5","BGN_fig","2024","16990"
"r_13","5","2","6","euro","2024","6616"
"r_13","5","2","6","BGN_fig","2024","12939"
