RevisionColumn,NACE2008A21,Units,periods,GenderID,ValueColumn
"r_3","D","1000cp","2015Q1","2","6.2"
"r_3","D","1000cp","2015Q2","0","38"
"r_3","D","1000cp","2015Q2","1","31.3"
"r_3","D","1000cp","2015Q2","2","6.8"
"r_3","D","1000cp","2015Q3","0","41.1"
"r_3","D","1000cp","2015Q3","1","33.1"
"r_3","D","1000cp","2015Q3","2","8.1"
"r_3","D","1000cp","2015Q4","0","39.8"
"r_3","D","1000cp","2015Q4","1","30.6"
"r_3","D","1000cp","2015Q4","2","9.2"
"r_3","E","1000cp","2008Q1","0","40.1"
"r_3","E","1000cp","2008Q1","1","29.9"
"r_3","E","1000cp","2008Q1","2","10.2"
"r_3","E","1000cp","2008Q2","0","35.1"
"r_3","E","1000cp","2008Q2","1","25.9"
"r_3","E","1000cp","2008Q2","2","9.3"
"r_3","E","1000cp","2008Q3","0","36.1"
"r_3","E","1000cp","2008Q3","1","23.9"
"r_3","E","1000cp","2008Q3","2","12.1"
"r_3","E","1000cp","2008Q4","0","36.8"
"r_3","E","1000cp","2008Q4","1","24.4"
"r_3","E","1000cp","2008Q4","2","12.4"
"r_3","E","1000cp","2009Q1","0","34.4"
"r_3","E","1000cp","2009Q1","1","26.2"
"r_3","E","1000cp","2009Q1","2","8.2"
"r_3","E","1000cp","2009Q2","0","33.5"
"r_3","E","1000cp","2009Q2","1","25.1"
"r_3","E","1000cp","2009Q2","2","8.4"
"r_3","E","1000cp","2009Q3","0","35.2"
"r_3","E","1000cp","2009Q3","1","26.1"
"r_3","E","1000cp","2009Q3","2","9.1"
"r_3","E","1000cp","2009Q4","0","36.5"
"r_3","E","1000cp","2009Q4","1","27.1"
"r_3","E","1000cp","2009Q4","2","9.4"
"r_3","E","1000cp","2010Q1","0","30"
"r_3","E","1000cp","2010Q1","1","23.5"
"r_3","E","1000cp","2010Q1","2","6.5"
"r_3","E","1000cp","2010Q2","0","30.1"
"r_3","E","1000cp","2010Q2","1","23.6"
"r_3","E","1000cp","2010Q2","2","6.5"
"r_3","E","1000cp","2010Q3","0","34.7"
"r_3","E","1000cp","2010Q3","1","26.4"
"r_3","E","1000cp","2010Q3","2","8.3"
"r_3","E","1000cp","2010Q4","0","39.1"
"r_3","E","1000cp","2010Q4","1","29.1"
"r_3","E","1000cp","2010Q4","2","10.1"
"r_3","E","1000cp","2011Q1","0","40.9"
"r_3","E","1000cp","2011Q1","1","29.9"
"r_3","E","1000cp","2011Q1","2","11"
"r_3","E","1000cp","2011Q2","0","41.1"
"r_3","E","1000cp","2011Q2","1","28.2"
"r_3","E","1000cp","2011Q2","2","12.9"
"r_3","E","1000cp","2011Q3","0","41.5"
"r_3","E","1000cp","2011Q3","1","27.9"
"r_3","E","1000cp","2011Q3","2","13.6"
"r_3","E","1000cp","2011Q4","0","43.4"
"r_3","E","1000cp","2011Q4","1","28.2"
"r_3","E","1000cp","2011Q4","2","15.2"
"r_3","E","1000cp","2012Q1","0","41.2"
"r_3","E","1000cp","2012Q1","1","27"
"r_3","E","1000cp","2012Q1","2","14.2"
"r_3","E","1000cp","2012Q2","0","40.5"
"r_3","E","1000cp","2012Q2","1","28.9"
"r_3","E","1000cp","2012Q2","2","11.6"
"r_3","E","1000cp","2012Q3","0","39.6"
"r_3","E","1000cp","2012Q3","1","28.6"
"r_3","E","1000cp","2012Q3","2","11.1"
"r_3","E","1000cp","2012Q4","0","35.4"
"r_3","E","1000cp","2012Q4","1","23.2"
"r_3","E","1000cp","2012Q4","2","12.2"
"r_3","E","1000cp","2013Q1","0","40"
"r_3","E","1000cp","2013Q1","1","26.4"
"r_3","E","1000cp","2013Q1","2","13.6"
"r_3","E","1000cp","2013Q2","0","38"
"r_3","E","1000cp","2013Q2","1","28.3"
"r_3","E","1000cp","2013Q2","2","9.7"
"r_3","E","1000cp","2013Q3","0","32.9"
"r_3","E","1000cp","2013Q3","1","25.6"
"r_3","E","1000cp","2013Q3","2","7.3"
"r_3","E","1000cp","2013Q4","0","36"
"r_3","E","1000cp","2013Q4","1","26"
"r_3","E","1000cp","2013Q4","2","10"
"r_3","E","1000cp","2014Q1","0","37.4"
"r_3","E","1000cp","2014Q1","1","27.5"
