RevisionColumn,periods,Units,Indicators,NUTS,ValueColumn
"r_2","2015IX","num","3.5.2.4","BG33","82078"
"r_2","2015IX","num","3.5.2.6","BG33","2211199"
"r_2","2015IX","num","3.5.2.2","BG33","805716"
"r_2","2015IX","num","3.5.2.2.1","BG33","150908"
"r_2","2015IX","num","3.5.2.2.2","BG33","654808"
"r_2","2015IX","num","3.5.2.1","BG33","160004"
"r_2","2015IX","num","3.5.2.1.1","BG33","51602"
"r_2","2015IX","num","3.5.2.1.2","BG33","108402"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG33","38351521"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG33","5761097"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG33","32590424"
"r_2","2015IX","num","3.5.2.5","BG331","307"
"r_2","2015IX","num","3.5.2.4","BG331","57719"
"r_2","2015IX","num","3.5.2.6","BG331","1663903"
"r_2","2015IX","num","3.5.2.2","BG331","610732"
"r_2","2015IX","num","3.5.2.2.1","BG331","91415"
"r_2","2015IX","num","3.5.2.2.2","BG331","519317"
"r_2","2015IX","num","3.5.2.1","BG331","114850"
"r_2","2015IX","num","3.5.2.1.1","BG331","30728"
"r_2","2015IX","num","3.5.2.1.2","BG331","84122"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG331","28781950"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG331","3277071"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG331","25504879"
"r_2","2015IX","num","3.5.2.5","BG332","118"
"r_2","2015IX","num","3.5.2.4","BG332","21825"
"r_2","2015IX","num","3.5.2.6","BG332","471276"
"r_2","2015IX","num","3.5.2.2","BG332","181280"
"r_2","2015IX","num","3.5.2.2.1","BG332","47800"
"r_2","2015IX","num","3.5.2.2.2","BG332","133480"
"r_2","2015IX","num","3.5.2.1","BG332","38205"
"r_2","2015IX","num","3.5.2.1.1","BG332","15116"
"r_2","2015IX","num","3.5.2.1.2","BG332","23089"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG332","9182540"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG332","2186858"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG332","6995682"
"r_2","2015IX","num","3.5.2.5","BG334","24"
"r_2","2015IX","num","3.5.2.4","BG334","937"
"r_2","2015IX","num","3.5.2.6","BG334","28110"
"r_2","2015IX","num","3.5.2.2","BG334","5461"
"r_2","2015IX","num","3.5.2.2.1","BG334","4659"
"r_2","2015IX","num","3.5.2.2.2","BG334","802"
"r_2","2015IX","num","3.5.2.1","BG334","2375"
"r_2","2015IX","num","3.5.2.1.1","BG334","1988"
"r_2","2015IX","num","3.5.2.1.2","BG334","387"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG334","158263"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG334","115951"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG334","42312"
"r_2","2015IX","num","3.5.2.5","BG333","49"
"r_2","2015IX","num","3.5.2.4","BG333","1597"
"r_2","2015IX","num","3.5.2.6","BG333","47910"
"r_2","2015IX","num","3.5.2.2","BG333","8243"
"r_2","2015IX","num","3.5.2.2.1","BG333","7034"
"r_2","2015IX","num","3.5.2.2.2","BG333","1209"
"r_2","2015IX","num","3.5.2.1","BG333","4574"
"r_2","2015IX","num","3.5.2.1.1","BG333","3770"
"r_2","2015IX","num","3.5.2.1.2","BG333","804"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG333","228768"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG333","181217"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG333","47551"
"r_2","2015IX","num","3.5.2.5","BG34","653"
"r_2","2015IX","num","3.5.2.4","BG34","103769"
"r_2","2015IX","num","3.5.2.6","BG34","2705114"
"r_2","2015IX","num","3.5.2.2","BG34","1052442"
"r_2","2015IX","num","3.5.2.2.1","BG34","220055"
"r_2","2015IX","num","3.5.2.2.2","BG34","832387"
"r_2","2015IX","num","3.5.2.1","BG34","185862"
"r_2","2015IX","num","3.5.2.1.1","BG34","62366"
"r_2","2015IX","num","3.5.2.1.2","BG34","123496"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG34","48321955"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG34","6999337"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG34","41322618"
"r_2","2015IX","num","3.5.2.5","BG341","492"
"r_2","2015IX","num","3.5.2.4","BG341","96824"
