RevisionColumn,PlaceResidence,Units,periods,GenderID,ValueColumn
"r_2","1","1000cp","2008Q4","1","1424"
"r_2","1","1000cp","2008Q4","2","1292.4"
"r_2","2","1000cp","2008Q4","0","824.8"
"r_2","2","1000cp","2008Q4","1","471.7"
"r_2","2","1000cp","2008Q4","2","353.1"
"r_2","0","1000cp","2009Q1","0","3485"
"r_2","0","1000cp","2009Q1","1","1860.5"
"r_2","0","1000cp","2009Q1","2","1624.5"
"r_2","1","1000cp","2009Q1","0","2695.8"
"r_2","1","1000cp","2009Q1","1","1407.5"
"r_2","1","1000cp","2009Q1","2","1288.3"
"r_2","2","1000cp","2009Q1","0","789.2"
"r_2","2","1000cp","2009Q1","1","453"
"r_2","2","1000cp","2009Q1","2","336.2"
"r_2","0","1000cp","2009Q2","0","3522.6"
"r_2","0","1000cp","2009Q2","1","1871.8"
"r_2","0","1000cp","2009Q2","2","1650.8"
"r_2","1","1000cp","2009Q2","0","2694.7"
"r_2","1","1000cp","2009Q2","1","1396.7"
"r_2","1","1000cp","2009Q2","2","1298"
"r_2","2","1000cp","2009Q2","0","827.9"
"r_2","2","1000cp","2009Q2","1","475.1"
"r_2","2","1000cp","2009Q2","2","352.8"
"r_2","0","1000cp","2009Q3","0","3514.5"
"r_2","0","1000cp","2009Q3","1","1871.6"
"r_2","0","1000cp","2009Q3","2","1642.9"
"r_2","1","1000cp","2009Q3","0","2688.2"
"r_2","1","1000cp","2009Q3","1","1403.3"
"r_2","1","1000cp","2009Q3","2","1285"
"r_2","2","1000cp","2009Q3","0","826.3"
"r_2","2","1000cp","2009Q3","1","468.3"
"r_2","2","1000cp","2009Q3","2","358"
"r_2","0","1000cp","2009Q4","0","3444.4"
"r_2","0","1000cp","2009Q4","1","1845.8"
"r_2","0","1000cp","2009Q4","2","1598.6"
"r_2","1","1000cp","2009Q4","0","2648.2"
"r_2","1","1000cp","2009Q4","1","1392.4"
"r_2","1","1000cp","2009Q4","2","1255.7"
"r_2","2","1000cp","2009Q4","0","796.2"
