RevisionColumn,NACE2008A21,periods,SZCLS_EMPL,Indicators,Units,ValueColumn
"r_1","1","2018","5","3.1.1.03.5","1000BGN","70636617"
"r_1","1","2019","5","3.1.1.03.1","num","4738"
"r_1","1","2019","5","3.1.1.03.2","num","467303"
"r_1","1","2019","5","3.1.1.03.3","1000BGN","20991725"
"r_1","1","2019","5","3.1.1.03.4","1000BGN","80520601"
"r_1","1","2019","5","3.1.1.03.5","1000BGN","76176536"
"r_1","1","2020","5","3.1.1.03.1","num","4344"
"r_1","1","2020","5","3.1.1.03.2","num","428032"
"r_1","1","2020","5","3.1.1.03.3","1000BGN","18147540"
"r_1","1","2020","5","3.1.1.03.4","1000BGN","74021046"
"r_1","1","2020","5","3.1.1.03.5","1000BGN","69657910"
"r_1","1","2008","6","3.1.1.03.1","num","831"
"r_1","1","2008","6","3.1.1.03.2","num","565195"
"r_1","1","2008","6","3.1.1.03.3","1000BGN","36148247"
"r_1","1","2008","6","3.1.1.03.4","1000BGN","74568035"
"r_1","1","2008","6","3.1.1.03.5","1000BGN","72995924"
"r_1","1","2009","6","3.1.1.03.1","num","766"
"r_1","1","2009","6","3.1.1.03.2","num","519260"
"r_1","1","2009","6","3.1.1.03.3","1000BGN","38408180"
"r_1","1","2009","6","3.1.1.03.4","1000BGN","59348838"
"r_1","1","2009","6","3.1.1.03.5","1000BGN","58552712"
"r_1","1","2010","6","3.1.1.03.1","num","752"
"r_1","1","2010","6","3.1.1.03.2","num","509139"
"r_1","1","2010","6","3.1.1.03.3","1000BGN","39163905"
"r_1","1","2010","6","3.1.1.03.4","1000BGN","64942883"
"r_1","1","2010","6","3.1.1.03.5","1000BGN","62641716"
"r_1","1","2011","6","3.1.1.03.1","num","756"
"r_1","1","2011","6","3.1.1.03.2","num","514167"
"r_1","1","2011","6","3.1.1.03.3","1000BGN","38956820"
"r_1","1","2011","6","3.1.1.03.4","1000BGN","71992433"
"r_1","1","2011","6","3.1.1.03.5","1000BGN","69439248"
"r_1","1","2012","6","3.1.1.03.1","num","737"
"r_1","1","2012","6","3.1.1.03.2","num","505673"
"r_1","1","2012","6","3.1.1.03.3","1000BGN","41363683"
"r_1","1","2012","6","3.1.1.03.4","1000BGN","73579751"
"r_1","1","2012","6","3.1.1.03.5","1000BGN","71148921"
"r_1","1","2013","6","3.1.1.03.1","num","746"
"r_1","1","2013","6","3.1.1.03.2","num","509764"
"r_1","1","2013","6","3.1.1.03.3","1000BGN","42968123"
"r_1","1","2013","6","3.1.1.03.4","1000BGN","73219540"
"r_1","1","2013","6","3.1.1.03.5","1000BGN","71481373"
"r_1","1","2014","6","3.1.1.03.1","num","752"
"r_1","1","2014","6","3.1.1.03.2","num","526397"
"r_1","1","2014","6","3.1.1.03.3","1000BGN","45024193"
"r_1","1","2014","6","3.1.1.03.4","1000BGN","73580590"
"r_1","1","2014","6","3.1.1.03.5","1000BGN","72953017"
"r_1","1","2015","6","3.1.1.03.1","num","739"
"r_1","1","2015","6","3.1.1.03.2","num","531485"
"r_1","1","2015","6","3.1.1.03.3","1000BGN","48062288"
"r_1","1","2015","6","3.1.1.03.4","1000BGN","77366773"
"r_1","1","2015","6","3.1.1.03.5","1000BGN","74272957"
"r_1","1","2016","6","3.1.1.03.1","num","728"
"r_1","1","2016","6","3.1.1.03.2","num","541244"
"r_1","1","2016","6","3.1.1.03.3","1000BGN","48658406"
"r_1","1","2016","6","3.1.1.03.4","1000BGN","75437715"
"r_1","1","2016","6","3.1.1.03.5","1000BGN","71401829"
"r_1","1","2017","6","3.1.1.03.1","num","744"
"r_1","1","2017","6","3.1.1.03.2","num","553429"
"r_1","1","2017","6","3.1.1.03.3","1000BGN","49878791"
"r_1","1","2017","6","3.1.1.03.4","1000BGN","85716482"
"r_1","1","2017","6","3.1.1.03.5","1000BGN","80778691"
"r_1","1","2018","6","3.1.1.03.1","num","753"
"r_1","1","2018","6","3.1.1.03.2","num","561095"
"r_1","1","2018","6","3.1.1.03.3","1000BGN","51600013"
"r_1","1","2018","6","3.1.1.03.4","1000BGN","92716620"
"r_1","1","2018","6","3.1.1.03.5","1000BGN","88866716"
"r_1","1","2019","6","3.1.1.03.1","num","759"
"r_1","1","2019","6","3.1.1.03.2","num","557618"
"r_1","1","2019","6","3.1.1.03.3","1000BGN","54829984"
"r_1","1","2019","6","3.1.1.03.4","1000BGN","98335557"
"r_1","1","2019","6","3.1.1.03.5","1000BGN","93464056"
"r_1","1","2020","6","3.1.1.03.1","num","718"
"r_1","1","2020","6","3.1.1.03.2","num","536182"
"r_1","1","2020","6","3.1.1.03.3","1000BGN","41404287"
"r_1","1","2020","6","3.1.1.03.4","1000BGN","92220031"
"r_1","1","2020","6","3.1.1.03.5","1000BGN","87908730"
"r_1","A","2008","0","3.1.1.03.1","num","8756"
"r_1","A","2008","0","3.1.1.03.2","num","69232"
"r_1","A","2008","0","3.1.1.03.3","1000BGN","2825951"
"r_1","A","2008","0","3.1.1.03.4","1000BGN","4951426"
"r_1","A","2008","0","3.1.1.03.5","1000BGN","4227177"
"r_1","A","2009","0","3.1.1.03.1","num","11367"
"r_1","A","2009","0","3.1.1.03.2","num","73435"
"r_1","A","2009","0","3.1.1.03.3","1000BGN","3321207"
"r_1","A","2009","0","3.1.1.03.4","1000BGN","5072965"
"r_1","A","2009","0","3.1.1.03.5","1000BGN","4614404"
"r_1","A","2010","0","3.1.1.03.1","num","13341"
"r_1","A","2010","0","3.1.1.03.2","num","76958"
"r_1","A","2010","0","3.1.1.03.3","1000BGN","3691776"
"r_1","A","2010","0","3.1.1.03.4","1000BGN","5782185"
"r_1","A","2010","0","3.1.1.03.5","1000BGN","5059700"
"r_1","A","2011","0","3.1.1.03.1","num","14820"
"r_1","A","2011","0","3.1.1.03.2","num","80049"
"r_1","A","2011","0","3.1.1.03.3","1000BGN","4663644"
"r_1","A","2011","0","3.1.1.03.4","1000BGN","7411796"
"r_1","A","2011","0","3.1.1.03.5","1000BGN","6268253"
"r_1","A","2012","0","3.1.1.03.1","num","16221"
"r_1","A","2012","0","3.1.1.03.2","num","82467"
"r_1","A","2012","0","3.1.1.03.3","1000BGN","5319099"
"r_1","A","2012","0","3.1.1.03.4","1000BGN","8394434"
"r_1","A","2012","0","3.1.1.03.5","1000BGN","7231938"
"r_1","A","2013","0","3.1.1.03.1","num","17325"
"r_1","A","2013","0","3.1.1.03.2","num","85011"
"r_1","A","2013","0","3.1.1.03.3","1000BGN","5994731"
"r_1","A","2013","0","3.1.1.03.4","1000BGN","8819668"
