RevisionColumn,HBS_Meassure,HBS_OD,Residence,periods,ValueColumn
"r_10","1","1118","1","2008","282"
"r_10","1","1118","2","2008","239"
"r_10","1","1118","0","2009","168"
"r_10","1","1118","1","2009","194"
"r_10","1","1118","2","2009","109"
"r_10","1","1118","0","2010","166"
"r_10","1","1118","1","2010","187"
"r_10","1","1118","2","2010","114"
"r_10","1","1118","0","2011","161"
"r_10","1","1118","1","2011","181"
"r_10","1","1118","2","2011","112"
"r_10","1","1118","0","2012","195"
"r_10","1","1118","1","2012","224"
"r_10","1","1118","2","2012","109"
"r_10","1","1118","0","2013","186"
"r_10","1","1118","1","2013","196"
"r_10","1","1118","2","2013","155"
"r_10","1","1118","0","2014","264"
"r_10","1","1118","1","2014","295"
"r_10","1","1118","2","2014","163"
"r_10","1","1118","0","2015","253"
"r_10","1","1118","1","2015","276"
"r_10","1","1118","2","2015","181"
"r_10","1","1118","0","2016","279"
"r_10","1","1118","1","2016","288"
"r_10","1","1118","2","2016","254"
"r_10","1","1118","0","2017","295"
"r_10","1","1118","1","2017","308"
"r_10","1","1118","2","2017","257"
"r_10","1","1118","0","2018","127"
"r_10","1","1118","1","2018","111"
"r_10","1","1118","2","2018","173"
"r_10","1","1118","0","2019","204"
"r_10","1","1118","1","2019","190"
"r_10","1","1118","2","2019","244"
"r_10","1","1118","0","2020","193"
"r_10","1","1118","1","2020","188"
"r_10","1","1118","2","2020","207"
"r_10","1","1118","0","2021","188"
"r_10","1","1118","1","2021","194"
"r_10","1","1118","2","2021","169"
"r_10","1","1118","0","2022","191"
"r_10","1","1118","1","2022","184"
"r_10","1","1118","2","2022","211"
"r_10","1","1119","0","2008","104"
"r_10","1","1119","1","2008","120"
"r_10","1","1119","2","2008","66"
"r_10","1","1119","0","2009","63"
"r_10","1","1119","1","2009","76"
"r_10","1","1119","2","2009","34"
"r_10","1","1119","0","2010","81"
"r_10","1","1119","1","2010","93"
"r_10","1","1119","2","2010","52"
"r_10","1","1119","0","2011","93"
"r_10","1","1119","1","2011","110"
"r_10","1","1119","2","2011","48"
"r_10","1","1119","0","2012","144"
"r_10","1","1119","1","2012","162"
"r_10","1","1119","2","2012","90"
"r_10","1","1119","0","2013","111"
"r_10","1","1119","1","2013","120"
"r_10","1","1119","2","2013","85"
"r_10","1","1119","0","2014","120"
"r_10","1","1119","1","2014","136"
"r_10","1","1119","2","2014","70"
"r_10","1","1119","0","2015","145"
"r_10","1","1119","1","2015","164"
"r_10","1","1119","2","2015","85"
"r_10","1","1119","0","2016","152"
"r_10","1","1119","1","2016","161"
"r_10","1","1119","2","2016","128"
"r_10","1","1119","0","2017","171"
"r_10","1","1119","1","2017","171"
"r_10","1","1119","2","2017","171"
"r_10","1","1119","0","2018","199"
"r_10","1","1119","1","2018","199"
"r_10","1","1119","2","2018","199"
"r_10","1","1119","0","2019","175"
"r_10","1","1119","1","2019","164"
"r_10","1","1119","2","2019","205"
"r_10","1","1119","0","2020","169"
"r_10","1","1119","1","2020","156"
"r_10","1","1119","2","2020","205"
"r_10","1","1119","0","2021","146"
"r_10","1","1119","1","2021","136"
"r_10","1","1119","2","2021","176"
"r_10","1","1119","0","2022","183"
"r_10","1","1119","1","2022","175"
"r_10","1","1119","2","2022","205"
"r_10","1","112","0","2008","192"
"r_10","1","112","1","2008","105"
"r_10","1","112","2","2008","387"
"r_10","1","112","0","2009","78"
"r_10","1","112","1","2009","24"
"r_10","1","112","2","2009","200"
"r_10","1","112","0","2010","87"
"r_10","1","112","1","2010","46"
"r_10","1","112","2","2010","191"
"r_10","1","112","0","2011","56"
"r_10","1","112","1","2011","32"
"r_10","1","112","2","2011","120"
"r_10","1","112","0","2012","84"
"r_10","1","112","1","2012","45"
"r_10","1","112","2","2012","201"
"r_10","1","112","0","2013","130"
"r_10","1","112","1","2013","110"
"r_10","1","112","2","2013","193"
"r_10","1","112","0","2014","78"
"r_10","1","112","1","2014","44"
"r_10","1","112","2","2014","188"
"r_10","1","112","0","2015","73"
"r_10","1","112","1","2015","23"
"r_10","1","112","2","2015","230"
"r_10","1","112","0","2016","72"
"r_10","1","112","1","2016","59"
"r_10","1","112","2","2016","109"
"r_10","1","112","0","2017","94"
"r_10","1","112","1","2017","84"
"r_10","1","112","2","2017","122"
"r_10","1","112","0","2018","52"
"r_10","1","112","1","2018","26"
"r_10","1","112","2","2018","124"
"r_10","1","112","0","2019","60"
"r_10","1","112","1","2019","39"
"r_10","1","112","2","2019","117"
"r_10","1","112","0","2020","43"
"r_10","1","112","1","2020","16"
"r_10","1","112","2","2020","123"
"r_10","1","112","0","2021","32"
"r_10","1","112","1","2021","13"
"r_10","1","112","2","2021","89"
"r_10","1","112","0","2022","62"
"r_10","1","112","1","2022","53"
"r_10","1","112","2","2022","89"
"r_10","1","113","0","2008","358"
"r_10","1","113","1","2008","354"
"r_10","1","113","2","2008","368"
"r_10","1","113","0","2009","311"
"r_10","1","113","1","2009","347"
"r_10","1","113","2","2009","228"
"r_10","1","113","0","2010","343"
"r_10","1","113","1","2010","366"
"r_10","1","113","2","2010","285"
"r_10","1","113","0","2011","329"
"r_10","1","113","1","2011","357"
"r_10","1","113","2","2011","256"
"r_10","1","113","0","2012","405"
"r_10","1","113","1","2012","406"
"r_10","1","113","2","2012","403"
"r_10","1","113","0","2013","517"
"r_10","1","113","1","2013","597"
"r_10","1","113","2","2013","261"
"r_10","1","113","0","2014","333"
"r_10","1","113","1","2014","353"
"r_10","1","113","2","2014","269"
"r_10","1","113","0","2015","323"
"r_10","1","113","1","2015","333"
"r_10","1","113","2","2015","290"
"r_10","1","113","0","2016","345"
"r_10","1","113","1","2016","352"
"r_10","1","113","2","2016","325"
"r_10","1","113","0","2017","480"
"r_10","1","113","1","2017","501"
"r_10","1","113","2","2017","420"
"r_10","1","113","0","2018","545"
"r_10","1","113","1","2018","546"
"r_10","1","113","2","2018","544"
"r_10","1","113","0","2019","520"
"r_10","1","113","1","2019","519"
"r_10","1","113","2","2019","523"
"r_10","1","113","0","2020","502"
"r_10","1","113","1","2020","503"
"r_10","1","113","2","2020","498"
"r_10","1","113","0","2021","534"
"r_10","1","113","1","2021","543"
"r_10","1","113","2","2021","506"
"r_10","1","113","0","2022","530"
"r_10","1","113","1","2022","534"
"r_10","1","113","2","2022","516"
"r_10","1","12","0","2008","320"
"r_10","1","12","1","2008","337"
"r_10","1","12","2","2008","281"
"r_10","1","12","0","2009","276"
"r_10","1","12","1","2009","279"
"r_10","1","12","2","2009","271"
"r_10","1","12","0","2010","310"
"r_10","1","12","1","2010","339"
"r_10","1","12","2","2010","236"
"r_10","1","12","0","2011","277"
"r_10","1","12","1","2011","290"
"r_10","1","12","2","2011","243"
"r_10","1","12","0","2012","365"
"r_10","1","12","1","2012","379"
"r_10","1","12","2","2012","323"
"r_10","1","12","0","2013","365"
"r_10","1","12","1","2013","391"
"r_10","1","12","2","2013","284"
"r_10","1","12","0","2014","350"
"r_10","1","12","1","2014","334"
"r_10","1","12","2","2014","403"
"r_10","1","12","0","2015","353"
"r_10","1","12","1","2015","370"
"r_10","1","12","2","2015","300"
"r_10","1","12","0","2016","419"
"r_10","1","12","1","2016","447"
"r_10","1","12","2","2016","340"
"r_10","1","12","0","2017","483"
"r_10","1","12","1","2017","494"
"r_10","1","12","2","2017","450"
"r_10","1","12","0","2018","539"
"r_10","1","12","1","2018","532"
"r_10","1","12","2","2018","557"
"r_10","1","12","0","2019","520"
"r_10","1","12","1","2019","506"
"r_10","1","12","2","2019","558"
"r_10","1","12","0","2020","472"
"r_10","1","12","1","2020","429"
