RevisionColumn,PlaceResidence,GenderID,Units,periods,ValueColumn
"r_2","2","0","1000cp","2003Q2","698.6"
"r_2","2","0","1000cp","2003Q3","723.1"
"r_2","2","0","1000cp","2003Q4","658.3"
"r_2","2","0","1000cp","2004Q1","622.1"
"r_2","2","0","1000cp","2004Q2","723.2"
"r_2","2","0","1000cp","2004Q3","756.4"
"r_2","2","0","1000cp","2004Q4","669.2"
"r_2","2","0","1000cp","2005Q1","600.2"
"r_2","2","0","1000cp","2005Q2","704.6"
"r_2","2","0","1000cp","2005Q3","738.3"
"r_2","2","0","1000cp","2005Q4","675.1"
"r_2","2","0","1000cp","2006Q1","629.1"
"r_2","2","0","1000cp","2006Q2","705.3"
"r_2","2","0","1000cp","2006Q3","745.7"
"r_2","2","0","1000cp","2006Q4","722.3"
"r_2","2","0","1000cp","2007Q1","678.1"
"r_2","2","0","1000cp","2007Q2","735.8"
"r_2","2","0","1000cp","2007Q3","754.4"
"r_2","2","0","1000cp","2007Q4","745.5"
"r_2","2","0","1000cp","2008Q1","741.1"
"r_2","2","0","1000cp","2008Q2","784.7"
"r_2","2","0","1000cp","2008Q3","793.8"
"r_2","2","0","1000cp","2008Q4","759.3"
"r_2","2","0","1000cp","2009Q1","708.3"
"r_2","2","0","1000cp","2009Q2","753.1"
"r_2","2","0","1000cp","2009Q3","746.3"
"r_2","2","0","1000cp","2009Q4","702.2"
"r_2","2","0","1000cp","2010Q1","623.8"
"r_2","2","0","1000cp","2010Q2","665.1"
"r_2","2","0","1000cp","2010Q3","676.3"
"r_2","2","0","1000cp","2010Q4","640.8"
"r_2","2","0","1000cp","2011Q1","591.6"
"r_2","2","0","1000cp","2011Q2","632.5"
"r_2","2","0","1000cp","2011Q3","651.3"
"r_2","2","0","1000cp","2011Q4","633.3"
"r_2","2","0","1000cp","2012Q1","580.5"
"r_2","2","0","1000cp","2012Q2","615.9"
"r_2","2","0","1000cp","2012Q3","647.1"
"r_2","2","0","1000cp","2012Q4","610"
"r_2","2","0","1000cp","2013Q1","576.3"
"r_2","2","0","1000cp","2013Q2","618"
"r_2","2","0","1000cp","2013Q3","636.5"
"r_2","2","0","1000cp","2013Q4","585.3"
"r_2","2","0","1000cp","2014Q1","563.4"
"r_2","2","0","1000cp","2014Q2","611.8"
"r_2","2","0","1000cp","2014Q3","631.7"
"r_2","2","0","1000cp","2014Q4","597"
"r_2","2","0","1000cp","2015Q1","580"
"r_2","2","0","1000cp","2015Q2","609.3"
"r_2","2","0","1000cp","2015Q3","647.4"
"r_2","2","0","1000cp","2015Q4","620.8"
"r_2","2","1","1000cp","2003Q1","337.2"
"r_2","2","1","1000cp","2003Q2","395.6"
"r_2","2","1","1000cp","2003Q3","409.5"
"r_2","2","1","1000cp","2003Q4","372.9"
"r_2","2","1","1000cp","2004Q1","353.6"
"r_2","2","1","1000cp","2004Q2","407.3"
"r_2","2","1","1000cp","2004Q3","422.5"
"r_2","2","1","1000cp","2004Q4","378.8"
"r_2","2","1","1000cp","2005Q1","341.3"
"r_2","2","1","1000cp","2005Q2","400.1"
"r_2","2","1","1000cp","2005Q3","424.6"
"r_2","2","1","1000cp","2005Q4","386.4"
"r_2","2","1","1000cp","2006Q1","366.6"
"r_2","2","1","1000cp","2006Q2","406.5"
"r_2","2","1","1000cp","2006Q3","417.4"
"r_2","2","1","1000cp","2006Q4","407.3"
"r_2","2","1","1000cp","2007Q1","387.1"
"r_2","2","1","1000cp","2007Q2","414.8"
"r_2","2","1","1000cp","2007Q3","423.7"
"r_2","2","1","1000cp","2007Q4","423.1"
"r_2","2","1","1000cp","2008Q1","420.9"
"r_2","2","1","1000cp","2008Q2","442.4"
"r_2","2","1","1000cp","2008Q3","451"
"r_2","2","1","1000cp","2008Q4","435.9"
"r_2","2","1","1000cp","2009Q1","408.7"
"r_2","2","1","1000cp","2009Q2","433.1"
"r_2","2","1","1000cp","2009Q3","422.3"
"r_2","2","1","1000cp","2009Q4","399.3"
"r_2","2","1","1000cp","2010Q1","360.6"
"r_2","2","1","1000cp","2010Q2","383.3"
"r_2","2","1","1000cp","2010Q3","389.2"
"r_2","2","1","1000cp","2010Q4","364.9"
"r_2","2","1","1000cp","2011Q1","339.9"
"r_2","2","1","1000cp","2011Q2","365.2"
"r_2","2","1","1000cp","2011Q3","374.5"
"r_2","2","1","1000cp","2011Q4","357.6"
"r_2","2","1","1000cp","2012Q1","331.9"
"r_2","2","1","1000cp","2012Q2","350.4"
"r_2","2","1","1000cp","2012Q3","364.1"
"r_2","2","1","1000cp","2012Q4","350.8"
"r_2","2","1","1000cp","2013Q1","331"
"r_2","2","1","1000cp","2013Q2","350.9"
"r_2","2","1","1000cp","2013Q3","362.1"
"r_2","2","1","1000cp","2013Q4","338.5"
"r_2","2","1","1000cp","2014Q1","327"
"r_2","2","1","1000cp","2014Q2","352.4"
"r_2","2","1","1000cp","2014Q3","364.3"
"r_2","2","1","1000cp","2014Q4","351.3"
"r_2","2","1","1000cp","2015Q1","340"
"r_2","2","1","1000cp","2015Q2","349.7"
"r_2","2","1","1000cp","2015Q3","373.5"
"r_2","2","1","1000cp","2015Q4","365.3"
"r_2","2","2","1000cp","2003Q1","265.7"
"r_2","2","2","1000cp","2003Q2","303"
"r_2","2","2","1000cp","2003Q3","313.6"
"r_2","2","2","1000cp","2003Q4","285.5"
"r_2","2","2","1000cp","2004Q1","268.5"
"r_2","2","2","1000cp","2004Q2","315.9"
"r_2","2","2","1000cp","2004Q3","333.9"
"r_2","2","2","1000cp","2004Q4","290.4"
"r_2","2","2","1000cp","2005Q1","258.9"
"r_2","2","2","1000cp","2005Q2","304.5"
"r_2","2","2","1000cp","2005Q3","313.7"
"r_2","2","2","1000cp","2005Q4","288.7"
"r_2","2","2","1000cp","2006Q1","262.5"
"r_2","2","2","1000cp","2006Q2","298.8"
"r_2","2","2","1000cp","2006Q3","328.3"
"r_2","2","2","1000cp","2006Q4","315"
"r_2","2","2","1000cp","2007Q1","291"
"r_2","2","2","1000cp","2007Q2","321"
"r_2","2","2","1000cp","2007Q3","330.7"
"r_2","2","2","1000cp","2007Q4","322.4"
"r_2","2","2","1000cp","2008Q1","320.2"
"r_2","2","2","1000cp","2008Q2","342.3"
"r_2","2","2","1000cp","2008Q3","342.9"
"r_2","2","2","1000cp","2008Q4","323.4"
"r_2","2","2","1000cp","2009Q1","299.6"
"r_2","2","2","1000cp","2009Q2","320"
"r_2","2","2","1000cp","2009Q3","324"
"r_2","2","2","1000cp","2009Q4","303"
"r_2","2","2","1000cp","2010Q1","263.2"
"r_2","2","2","1000cp","2010Q2","281.7"
"r_2","2","2","1000cp","2010Q3","287.1"
"r_2","2","2","1000cp","2010Q4","275.9"
"r_2","2","2","1000cp","2011Q1","251.8"
"r_2","2","2","1000cp","2011Q2","267.3"
"r_2","2","2","1000cp","2011Q3","276.7"
"r_2","2","2","1000cp","2011Q4","275.7"
"r_2","2","2","1000cp","2012Q1","248.6"
"r_2","2","2","1000cp","2012Q2","265.5"
"r_2","2","2","1000cp","2012Q3","283"
"r_2","2","2","1000cp","2012Q4","259.2"
"r_2","2","2","1000cp","2013Q1","245.3"
"r_2","2","2","1000cp","2013Q2","267"
"r_2","2","2","1000cp","2013Q3","274.5"
"r_2","2","2","1000cp","2013Q4","246.8"
"r_2","2","2","1000cp","2014Q1","236.5"
"r_2","2","2","1000cp","2014Q2","259.4"
"r_2","2","2","1000cp","2014Q3","267.4"
"r_2","2","2","1000cp","2014Q4","245.8"
"r_2","2","2","1000cp","2015Q1","239.9"
"r_2","2","2","1000cp","2015Q2","259.6"
"r_2","2","2","1000cp","2015Q3","273.9"
"r_2","2","2","1000cp","2015Q4","255.4"
"r_3","0","0","1000cp","2016Q1","2975.1"
"r_3","0","1","1000cp","2016Q1","1586.1"
"r_3","0","2","1000cp","2016Q1","1389.1"
"r_3","1","0","1000cp","2016Q1","2381.8"
"r_3","1","1","1000cp","2016Q1","1240"
"r_3","1","2","1000cp","2016Q1","1141.8"
"r_3","2","0","1000cp","2016Q1","593.3"
"r_3","2","1","1000cp","2016Q1","346.1"
"r_3","2","2","1000cp","2016Q1","247.2"
"r_3","0","0","1000cp","2016Q2","3033.4"
"r_3","0","1","1000cp","2016Q2","1608.3"
"r_3","0","2","1000cp","2016Q2","1425.1"
"r_3","1","0","1000cp","2016Q2","2403.9"
"r_3","1","1","1000cp","2016Q2","1243.2"
"r_3","1","2","1000cp","2016Q2","1160.7"
"r_3","2","0","1000cp","2016Q2","629.5"
"r_3","2","1","1000cp","2016Q2","365.1"
"r_3","2","2","1000cp","2016Q2","264.4"
"r_4","0","0","1000cp","2016Q3","3052.7"
"r_4","0","1","1000cp","2016Q3","1623.7"
"r_4","0","2","1000cp","2016Q3","1429.1"
"r_4","1","0","1000cp","2016Q3","2418.5"
"r_4","1","1","1000cp","2016Q3","1253.6"
"r_4","1","2","1000cp","2016Q3","1164.9"
"r_4","2","0","1000cp","2016Q3","634.2"
"r_4","2","1","1000cp","2016Q3","370.1"
"r_4","2","2","1000cp","2016Q3","264.2"
"r_5","0","0","1000cp","2016Q4","3005.9"
"r_5","0","1","1000cp","2016Q4","1612.6"
"r_5","0","2","1000cp","2016Q4","1393.4"
"r_5","1","0","1000cp","2016Q4","2408.2"
"r_5","1","1","1000cp","2016Q4","1255.4"
"r_5","1","2","1000cp","2016Q4","1152.8"
"r_5","2","0","1000cp","2016Q4","597.8"
"r_5","2","1","1000cp","2016Q4","357.2"
"r_5","2","2","1000cp","2016Q4","240.6"
"r_6","0","0","1000cp","2017Q1","3036.7"
"r_6","0","1","1000cp","2017Q1","1624.7"
"r_6","0","2","1000cp","2017Q1","1412"
"r_6","1","0","1000cp","2017Q1","2429.5"
"r_6","1","1","1000cp","2017Q1","1267.7"
"r_6","1","2","1000cp","2017Q1","1161.8"
"r_6","2","0","1000cp","2017Q1","607.1"
"r_6","2","1","1000cp","2017Q1","357"
"r_6","2","2","1000cp","2017Q1","250.2"
"r_7","0","0","1000cp","2017Q2","3171.7"
"r_7","0","1","1000cp","2017Q2","1681.4"
"r_7","0","2","1000cp","2017Q2","1490.4"
"r_7","1","0","1000cp","2017Q2","2497.2"
"r_7","1","1","1000cp","2017Q2","1295.4"
"r_7","1","2","1000cp","2017Q2","1201.8"
"r_7","2","0","1000cp","2017Q2","674.5"
"r_7","2","1","1000cp","2017Q2","386"
"r_7","2","2","1000cp","2017Q2","288.6"
"r_8","0","0","1000cp","2017Q3","3225"
"r_8","0","1","1000cp","2017Q3","1719.9"
"r_8","0","2","1000cp","2017Q3","1505.1"
"r_8","1","0","1000cp","2017Q3","2521.4"
"r_8","1","1","1000cp","2017Q3","1306.5"
"r_8","1","2","1000cp","2017Q3","1214.9"
"r_8","2","0","1000cp","2017Q3","703.6"
"r_8","2","1","1000cp","2017Q3","413.4"
"r_8","2","2","1000cp","2017Q3","290.1"
"r_9","0","0","1000cp","2017Q4","3167.6"
"r_9","0","1","1000cp","2017Q4","1704.3"
"r_9","0","2","1000cp","2017Q4","1463.3"
"r_9","1","0","1000cp","2017Q4","2492.8"
"r_9","1","1","1000cp","2017Q4","1301.6"
"r_9","1","2","1000cp","2017Q4","1191.2"
"r_9","2","0","1000cp","2017Q4","674.8"
"r_9","2","1","1000cp","2017Q4","402.7"
"r_9","2","2","1000cp","2017Q4","272.1"
"r_10","0","0","1000cp","2018Q1","3099.3"
"r_10","0","1","1000cp","2018Q1","1655.8"
"r_10","0","2","1000cp","2018Q1","1443.6"
"r_10","1","0","1000cp","2018Q1","2458.8"
