RevisionColumn,periods,SZCLS_EMPL,NUTS,Units,Indicators,ValueColumn
"r_1","2019","6","BG","1000BGN","3.1.1.03.5","93464056"
"r_1","2020","6","BG","num","3.1.1.03.1","718"
"r_1","2020","6","BG","num","3.1.1.03.2","536182"
"r_1","2020","6","BG","1000BGN","3.1.1.03.3","41404287"
"r_1","2020","6","BG","1000BGN","3.1.1.03.4","92220031"
"r_1","2020","6","BG","1000BGN","3.1.1.03.5","87908730"
"r_1","2008","0","BG3","num","3.1.1.03.1","158673"
"r_1","2008","0","BG3","num","3.1.1.03.2","973870"
"r_1","2008","0","BG3","1000BGN","3.1.1.03.3","36101748"
"r_1","2008","0","BG3","1000BGN","3.1.1.03.4","84959068"
"r_1","2008","0","BG3","1000BGN","3.1.1.03.5","80730703"
"r_1","2009","0","BG3","num","3.1.1.03.1","168088"
"r_1","2009","0","BG3","num","3.1.1.03.2","926615"
"r_1","2009","0","BG3","1000BGN","3.1.1.03.3","38770736"
"r_1","2009","0","BG3","1000BGN","3.1.1.03.4","70074438"
"r_1","2009","0","BG3","1000BGN","3.1.1.03.5","68143056"
"r_1","2010","0","BG3","num","3.1.1.03.1","166149"
"r_1","2010","0","BG3","num","3.1.1.03.2","876667"
"r_1","2010","0","BG3","1000BGN","3.1.1.03.3","39107314"
"r_1","2010","0","BG3","1000BGN","3.1.1.03.4","73488484"
"r_1","2010","0","BG3","1000BGN","3.1.1.03.5","71066798"
"r_1","2011","0","BG3","num","3.1.1.03.1","164712"
"r_1","2011","0","BG3","num","3.1.1.03.2","870662"
"r_1","2011","0","BG3","1000BGN","3.1.1.03.3","39862844"
"r_1","2011","0","BG3","1000BGN","3.1.1.03.4","82699336"
"r_1","2011","0","BG3","1000BGN","3.1.1.03.5","79677362"
"r_1","2012","0","BG3","num","3.1.1.03.1","167049"
"r_1","2012","0","BG3","num","3.1.1.03.2","862853"
"r_1","2012","0","BG3","1000BGN","3.1.1.03.3","42365976"
"r_1","2012","0","BG3","1000BGN","3.1.1.03.4","87161400"
"r_1","2012","0","BG3","1000BGN","3.1.1.03.5","83448415"
"r_1","2013","0","BG3","num","3.1.1.03.1","168279"
"r_1","2013","0","BG3","num","3.1.1.03.2","862525"
"r_1","2013","0","BG3","1000BGN","3.1.1.03.3","43605618"
"r_1","2013","0","BG3","1000BGN","3.1.1.03.4","88534299"
"r_1","2013","0","BG3","1000BGN","3.1.1.03.5","85202702"
"r_1","2014","0","BG3","num","3.1.1.03.1","170016"
"r_1","2014","0","BG3","num","3.1.1.03.2","868294"
"r_1","2014","0","BG3","1000BGN","3.1.1.03.3","45935745"
"r_1","2014","0","BG3","1000BGN","3.1.1.03.4","88932244"
"r_1","2014","0","BG3","1000BGN","3.1.1.03.5","84993889"
"r_1","2015","0","BG3","num","3.1.1.03.1","173321"
"r_1","2015","0","BG3","num","3.1.1.03.2","873834"
"r_1","2015","0","BG3","1000BGN","3.1.1.03.3","48048591"
"r_1","2015","0","BG3","1000BGN","3.1.1.03.4","91238303"
"r_1","2015","0","BG3","1000BGN","3.1.1.03.5","86271521"
"r_1","2016","0","BG3","num","3.1.1.03.1","176126"
"r_1","2016","0","BG3","num","3.1.1.03.2","886806"
"r_1","2016","0","BG3","1000BGN","3.1.1.03.3","48532149"
"r_1","2016","0","BG3","1000BGN","3.1.1.03.4","91788761"
"r_1","2016","0","BG3","1000BGN","3.1.1.03.5","86237783"
"r_1","2017","0","BG3","num","3.1.1.03.1","175598"
"r_1","2017","0","BG3","num","3.1.1.03.2","895908"
"r_1","2017","0","BG3","1000BGN","3.1.1.03.3","49745006"
"r_1","2017","0","BG3","1000BGN","3.1.1.03.4","99271460"
"r_1","2017","0","BG3","1000BGN","3.1.1.03.5","92416008"
"r_1","2018","0","BG3","num","3.1.1.03.1","177442"
"r_1","2018","0","BG3","num","3.1.1.03.2","893094"
"r_1","2018","0","BG3","1000BGN","3.1.1.03.3","50682988"
"r_1","2018","0","BG3","1000BGN","3.1.1.03.4","105255204"
"r_1","2018","0","BG3","1000BGN","3.1.1.03.5","98968595"
"r_1","2019","0","BG3","num","3.1.1.03.1","179216"
"r_1","2019","0","BG3","num","3.1.1.03.2","882533"
"r_1","2019","0","BG3","1000BGN","3.1.1.03.3","51589328"
"r_1","2019","0","BG3","1000BGN","3.1.1.03.4","111754689"
"r_1","2019","0","BG3","1000BGN","3.1.1.03.5","104445362"
"r_1","2020","0","BG3","num","3.1.1.03.1","174084"
"r_1","2020","0","BG3","num","3.1.1.03.2","821318"
"r_1","2020","0","BG3","1000BGN","3.1.1.03.3","39804308"
"r_1","2020","0","BG3","1000BGN","3.1.1.03.4","105130197"
