RevisionColumn,periods,Units,NUTS,Residence,GenderID,Age,ValueColumn
"r_1","2010","num","BG3","2","2","70 - 74","49561"
"r_1","2010","num","BG3","0","0","75 - 79","160331"
"r_1","2010","num","BG3","0","1","75 - 79","64353"
"r_1","2010","num","BG3","0","2","75 - 79","95978"
"r_1","2010","num","BG3","1","0","75 - 79","80702"
"r_1","2010","num","BG3","1","1","75 - 79","30753"
"r_1","2010","num","BG3","1","2","75 - 79","49949"
"r_1","2010","num","BG3","2","0","75 - 79","79629"
"r_1","2010","num","BG3","2","1","75 - 79","33600"
"r_1","2010","num","BG3","2","2","75 - 79","46029"
"r_1","2010","num","BG3","0","0","80 - 84","99819"
"r_1","2010","num","BG3","0","1","80 - 84","37868"
"r_1","2010","num","BG3","0","2","80 - 84","61951"
"r_1","2010","num","BG3","1","0","80 - 84","50656"
"r_1","2010","num","BG3","1","1","80 - 84","18415"
"r_1","2010","num","BG3","1","2","80 - 84","32241"
"r_1","2010","num","BG3","2","0","80 - 84","49163"
"r_1","2010","num","BG3","2","1","80 - 84","19453"
"r_1","2010","num","BG3","2","2","80 - 84","29710"
"r_1","2010","num","BG3","0","0","85 - 89","44271"
"r_1","2010","num","BG3","0","1","85 - 89","15656"
"r_1","2010","num","BG3","0","2","85 - 89","28615"
"r_1","2010","num","BG3","1","0","85 - 89","21571"
"r_1","2010","num","BG3","1","1","85 - 89","7227"
"r_1","2010","num","BG3","1","2","85 - 89","14344"
"r_1","2010","num","BG3","2","0","85 - 89","22700"
"r_1","2010","num","BG3","2","1","85 - 89","8429"
"r_1","2010","num","BG3","2","2","85 - 89","14271"
"r_1","2010","num","BG3","0","0","90 - 94","8547"
"r_1","2010","num","BG3","0","1","90 - 94","2867"
"r_1","2010","num","BG3","0","2","90 - 94","5680"
"r_1","2010","num","BG3","1","0","90 - 94","4154"
"r_1","2010","num","BG3","1","1","90 - 94","1362"
"r_1","2010","num","BG3","1","2","90 - 94","2792"
"r_1","2010","num","BG3","2","0","90 - 94","4393"
"r_1","2010","num","BG3","2","1","90 - 94","1505"
"r_1","2010","num","BG3","2","2","90 - 94","2888"
"r_1","2010","num","BG3","0","0","95 - 99","1580"
"r_1","2010","num","BG3","0","1","95 - 99","499"
"r_1","2010","num","BG3","0","2","95 - 99","1081"
"r_1","2010","num","BG3","1","0","95 - 99","727"
"r_1","2010","num","BG3","1","1","95 - 99","234"
"r_1","2010","num","BG3","1","2","95 - 99","493"
"r_1","2010","num","BG3","2","0","95 - 99","853"
"r_1","2010","num","BG3","2","1","95 - 99","265"
"r_1","2010","num","BG3","2","2","95 - 99","588"
"r_1","2010","num","BG3","0","0","100+","97"
"r_1","2010","num","BG3","0","1","100+","36"
"r_1","2010","num","BG3","0","2","100+","61"
"r_1","2010","num","BG3","1","0","100+","48"
"r_1","2010","num","BG3","1","1","100+","17"
"r_1","2010","num","BG3","1","2","100+","31"
"r_1","2010","num","BG3","2","0","100+","49"
"r_1","2010","num","BG3","2","1","100+","19"
"r_1","2010","num","BG3","2","2","100+","30"
"r_1","2010","num","BG31","0","0","Total","886911"
"r_1","2010","num","BG31","0","1","Total","429894"
"r_1","2010","num","BG31","0","2","Total","457017"
"r_1","2010","num","BG31","1","0","Total","554376"
"r_1","2010","num","BG31","1","1","Total","268328"
"r_1","2010","num","BG31","1","2","Total","286048"
"r_1","2010","num","BG31","2","0","Total","332535"
"r_1","2010","num","BG31","2","1","Total","161566"
"r_1","2010","num","BG31","2","2","Total","170969"
"r_1","2010","num","BG31","0","0","0","7015"
"r_1","2010","num","BG31","0","1","0","3630"
"r_1","2010","num","BG31","0","2","0","3385"
"r_1","2010","num","BG31","1","0","0","4660"
"r_1","2010","num","BG31","1","1","0","2395"
"r_1","2010","num","BG31","1","2","0","2265"
"r_1","2010","num","BG31","2","0","0","2355"
