RevisionColumn,Units,periods,Indicators,ValueColumn
"r_2","1000BGN","2011","3.1.2.1.3.2.4","145114"
"r_2","1000BGN","2012","3.1.2.1.3.2.4","170705"
"r_2","1000BGN","2013","3.1.2.1.3.2.4","168474"
"r_2","1000BGN","2014","3.1.2.1.3.2.4","164475"
"r_2","1000BGN","2015","3.1.2.1.3.2.4","187211"
"r_2","1000BGN","2016","3.1.2.1.3.2.4","190488"
"r_2","1000BGN","2017","3.1.2.1.3.2.4","203152"
"r_2","1000BGN","2018","3.1.2.1.3.2.4",".."
"r_2","1000BGN","2019","3.1.2.1.3.2.4","1248973"
"r_2","1000BGN","2020","3.1.2.1.3.2.4",".."
"r_2","1000BGN","2005","3.1.2.1.3.2","395670"
"r_2","1000BGN","2006","3.1.2.1.3.2","455304"
"r_2","1000BGN","2007","3.1.2.1.3.2","518094"
"r_2","1000BGN","2008","3.1.2.1.3.2","579262"
"r_2","1000BGN","2009","3.1.2.1.3.2","690518"
"r_2","1000BGN","2010","3.1.2.1.3.2","740215"
"r_2","1000BGN","2011","3.1.2.1.3.2","775970"
"r_2","1000BGN","2012","3.1.2.1.3.2","866455"
"r_2","1000BGN","2013","3.1.2.1.3.2","898816"
"r_2","1000BGN","2014","3.1.2.1.3.2","942500"
"r_2","1000BGN","2015","3.1.2.1.3.2","1010213"
"r_2","1000BGN","2016","3.1.2.1.3.2","1049191"
"r_2","1000BGN","2017","3.1.2.1.3.2","1084393"
"r_2","1000BGN","2018","3.1.2.1.3.2","1196174"
"r_2","1000BGN","2019","3.1.2.1.3.2","2772747"
"r_2","1000BGN","2020","3.1.2.1.3.2","1311711"
"r_3","1000BGN","2021","3.1.2.1.3.1.0",""
"r_3","1000BGN","2021","3.1.2.1.3.1.1","180"
"r_3","1000BGN","2021","3.1.2.1.3.1.2","567420"
"r_3","1000BGN","2021","3.1.2.1.3.1.2.1","18264"
"r_3","1000BGN","2021","3.1.2.1.3.1.2.2","397662"
"r_3","1000BGN","2021","3.1.2.1.3.1.2.3","151290"
"r_3","1000BGN","2021","3.1.2.1.3.1.2.4","204"
"r_3","1000BGN","2021","3.1.2.1.3.1.3","852843"
"r_3","1000BGN","2021","3.1.2.1.3.1.3.1","30466"
"r_3","1000BGN","2021","3.1.2.1.3.1.3.2","196163"
"r_3","1000BGN","2021","3.1.2.1.3.1.3.3","17704"
"r_3","1000BGN","2021","3.1.2.1.3.1.3.4","608510"
"r_3","1000BGN","2021","3.1.2.1.3.1.4","34057"
"r_3","1000BGN","2021","3.1.2.1.3.1","1454500"
"r_3","1000BGN","2021","3.1.2.1.3.2.1","814661"
"r_3","1000BGN","2021","3.1.2.1.3.2.2",".."
"r_3","1000BGN","2021","3.1.2.1.3.2.3","299416"
"r_3","1000BGN","2021","3.1.2.1.3.2.4",".."
"r_3","1000BGN","2021","3.1.2.1.3.2","1454500"
"r_4","1000BGN","2022","3.1.2.1.3.1.0",""
"r_4","1000BGN","2022","3.1.2.1.3.1.1","129"
"r_4","1000BGN","2022","3.1.2.1.3.1.2","577402"
"r_4","1000BGN","2022","3.1.2.1.3.1.2.1","17541"
"r_4","1000BGN","2022","3.1.2.1.3.1.2.2","411947"
"r_4","1000BGN","2022","3.1.2.1.3.1.2.3","147538"
"r_4","1000BGN","2022","3.1.2.1.3.1.2.4","376"
"r_4","1000BGN","2022","3.1.2.1.3.1.3","912429"
"r_4","1000BGN","2022","3.1.2.1.3.1.3.1","34553"
"r_4","1000BGN","2022","3.1.2.1.3.1.3.2","218550"
"r_4","1000BGN","2022","3.1.2.1.3.1.3.3","16597"
"r_4","1000BGN","2022","3.1.2.1.3.1.3.4","642729"
"r_4","1000BGN","2022","3.1.2.1.3.1.4","34679"
"r_4","1000BGN","2022","3.1.2.1.3.1","1524639"
"r_4","1000BGN","2022","3.1.2.1.3.2.1","841356"
"r_4","1000BGN","2022","3.1.2.1.3.2.2",".."
"r_4","1000BGN","2022","3.1.2.1.3.2.3",".."
"r_4","1000BGN","2022","3.1.2.1.3.2.4","348919"
