RevisionColumn,HBS_Meassure,HBS_PD,periods,Residence,ValueColumn
"r_1","2","114","2009","2","12"
"r_1","2","114","2010","0","28"
"r_1","2","114","2010","1","33"
"r_1","2","114","2010","2","14"
"r_1","2","114","2011","0","25"
"r_1","2","114","2011","1","26"
"r_1","2","114","2011","2","23"
"r_1","2","114","2012","0","41"
"r_1","2","114","2012","1","42"
"r_1","2","114","2012","2","37"
"r_1","2","114","2013","0","52"
"r_1","2","114","2013","1","58"
"r_1","2","114","2013","2","33"
"r_1","2","114","2014","0","39"
"r_1","2","114","2014","1","40"
"r_1","2","114","2014","2","32"
"r_1","2","115","2008","0","810"
"r_1","2","115","2008","1","800"
"r_1","2","115","2008","2","834"
"r_1","2","115","2009","0","1019"
"r_1","2","115","2009","1","1008"
"r_1","2","115","2009","2","1046"
"r_1","2","115","2010","0","1128"
"r_1","2","115","2010","1","1101"
"r_1","2","115","2010","2","1200"
"r_1","2","115","2011","0","1140"
"r_1","2","115","2011","1","1108"
"r_1","2","115","2011","2","1228"
"r_1","2","115","2012","0","1153"
"r_1","2","115","2012","1","1124"
"r_1","2","115","2012","2","1240"
"r_1","2","115","2013","0","1229"
"r_1","2","115","2013","1","1202"
"r_1","2","115","2013","2","1310"
"r_1","2","115","2014","0","1242"
"r_1","2","115","2014","1","1212"
"r_1","2","115","2014","2","1338"
"r_1","2","116","2008","0","7"
"r_1","2","116","2008","1","6"
"r_1","2","116","2008","2","8"
"r_1","2","116","2009","0","20"
"r_1","2","116","2009","1","20"
"r_1","2","116","2009","2","20"
"r_1","2","116","2010","0","23"
"r_1","2","116","2010","1","24"
"r_1","2","116","2010","2","21"
"r_1","2","116","2011","0","27"
"r_1","2","116","2011","1","29"
"r_1","2","116","2011","2","20"
"r_1","2","116","2012","0","29"
"r_1","2","116","2012","1","28"
"r_1","2","116","2012","2","31"
"r_1","2","116","2013","0","32"
"r_1","2","116","2013","1","33"
"r_1","2","116","2013","2","29"
"r_1","2","116","2014","0","26"
"r_1","2","116","2014","1","26"
"r_1","2","116","2014","2","26"
"r_1","2","117","2008","0","23"
"r_1","2","117","2008","1","22"
"r_1","2","117","2008","2","26"
"r_1","2","117","2009","0","34"
"r_1","2","117","2009","1","33"
"r_1","2","117","2009","2","36"
"r_1","2","117","2010","0","33"
"r_1","2","117","2010","1","32"
"r_1","2","117","2010","2","34"
"r_1","2","117","2011","0","32"
"r_1","2","117","2011","1","31"
"r_1","2","117","2011","2","33"
"r_1","2","117","2012","0","35"
"r_1","2","117","2012","1","35"
"r_1","2","117","2012","2","37"
"r_1","2","117","2013","0","36"
"r_1","2","117","2013","1","35"
"r_1","2","117","2013","2","40"
"r_1","2","117","2014","0","42"
"r_1","2","117","2014","1","39"
"r_1","2","117","2014","2","53"
"r_1","2","118","2008","0","107"
"r_1","2","118","2008","1","111"
"r_1","2","118","2008","2","98"
"r_1","2","118","2009","0","66"
"r_1","2","118","2009","1","75"
"r_1","2","118","2009","2","44"
"r_1","2","118","2010","0","66"
"r_1","2","118","2010","1","74"
"r_1","2","118","2010","2","47"
"r_1","2","118","2011","0","65"
"r_1","2","118","2011","1","72"
"r_1","2","118","2011","2","46"
"r_1","2","118","2012","0","80"
"r_1","2","118","2012","1","94"
"r_1","2","118","2012","2","41"
"r_1","2","118","2013","0","74"
"r_1","2","118","2013","1","79"
"r_1","2","118","2013","2","59"
"r_1","2","118","2014","0","105"
"r_1","2","118","2014","1","117"
"r_1","2","118","2014","2","65"
"r_1","2","119","2008","0","42"
"r_1","2","119","2008","1","48"
"r_1","2","119","2008","2","27"
"r_1","2","119","2009","0","26"
"r_1","2","119","2009","1","30"
"r_1","2","119","2009","2","14"
"r_1","2","119","2010","0","33"
"r_1","2","119","2010","1","37"
"r_1","2","119","2010","2","22"
"r_1","2","119","2011","0","38"
"r_1","2","119","2011","1","45"
"r_1","2","119","2011","2","20"
"r_1","2","119","2012","0","61"
"r_1","2","119","2012","1","69"
"r_1","2","119","2012","2","37"
"r_1","2","119","2013","0","47"
"r_1","2","119","2013","1","51"
"r_1","2","119","2013","2","35"
"r_1","2","119","2014","0","50"
"r_1","2","119","2014","1","56"
"r_1","2","119","2014","2","29"
"r_1","2","12","2008","0","77"
"r_1","2","12","2008","1","42"
"r_1","2","12","2008","2","158"
"r_1","2","12","2009","0","32"
"r_1","2","12","2009","1","9"
"r_1","2","12","2009","2","84"
"r_1","2","12","2010","0","35"
"r_1","2","12","2010","1","18"
"r_1","2","12","2010","2","80"
"r_1","2","12","2011","0","23"
"r_1","2","12","2011","1","13"
"r_1","2","12","2011","2","50"
"r_1","2","12","2012","0","35"
"r_1","2","12","2012","1","19"
"r_1","2","12","2012","2","84"
"r_1","2","12","2013","0","55"
"r_1","2","12","2013","1","47"
"r_1","2","12","2013","2","80"
"r_1","2","12","2014","0","32"
"r_1","2","12","2014","1","18"
"r_1","2","12","2014","2","78"
"r_1","2","13","2008","0","106"
"r_1","2","13","2008","1","108"
"r_1","2","13","2008","2","103"
"r_1","2","13","2009","0","90"
"r_1","2","13","2009","1","97"
"r_1","2","13","2009","2","74"
"r_1","2","13","2010","0","116"
"r_1","2","13","2010","1","121"
"r_1","2","13","2010","2","101"
"r_1","2","13","2011","0","115"
"r_1","2","13","2011","1","123"
"r_1","2","13","2011","2","94"
"r_1","2","13","2012","0","142"
"r_1","2","13","2012","1","145"
"r_1","2","13","2012","2","132"
"r_1","2","13","2013","0","195"
"r_1","2","13","2013","1","227"
"r_1","2","13","2013","2","94"
"r_1","2","13","2014","0","116"
"r_1","2","13","2014","1","123"
"r_1","2","13","2014","2","94"
"r_1","3","1","2008","0","100"
"r_1","3","1","2008","1","100"
"r_1","3","1","2008","2","100"
"r_1","3","1","2009","0","100"
"r_1","3","1","2009","1","100"
"r_1","3","1","2009","2","100"
