RevisionColumn,EKATTE,Units,Edu_schYear,ValueColumn
"r_1","MON07","num","2003/2004","139"
"r_1","MON07","num","2004/2005","150"
"r_1","MON07","num","2005/2006","137"
"r_1","MON07","num","2006/2007","142"
"r_1","MON07","num","2007/2008","150"
"r_1","MON07","num","2008/2009","147"
"r_1","MON07","num","2009/2010","214"
"r_1","MON07","num","2010/2011","168"
"r_1","MON07","num","2011/2012","169"
"r_1","MON07","num","2012/2013","156"
"r_1","MON07","num","2013/2014","156"
"r_1","MON07","num","2014/2015","153"
"r_1","MON11","num","2000/2001","305"
"r_1","MON11","num","2001/2002","296"
"r_1","MON11","num","2002/2003","320"
"r_1","MON11","num","2003/2004","303"
"r_1","MON11","num","2004/2005","329"
"r_1","MON11","num","2005/2006","325"
"r_1","MON11","num","2006/2007","340"
"r_1","MON11","num","2007/2008","341"
"r_1","MON11","num","2008/2009","362"
"r_1","MON11","num","2009/2010","326"
"r_1","MON11","num","2010/2011","320"
"r_1","MON11","num","2011/2012","322"
"r_1","MON11","num","2012/2013","319"
"r_1","MON11","num","2013/2014","302"
"r_1","MON11","num","2014/2015","289"
"r_1","MON12","num","2000/2001","257"
"r_1","MON12","num","2001/2002","265"
"r_1","MON12","num","2002/2003","246"
"r_1","MON12","num","2003/2004","225"
"r_1","MON12","num","2004/2005","292"
"r_1","MON12","num","2005/2006","278"
"r_1","MON12","num","2006/2007","259"
"r_1","MON12","num","2007/2008","250"
"r_1","MON12","num","2008/2009","178"
"r_1","MON12","num","2009/2010","207"
"r_1","MON12","num","2010/2011","214"
"r_1","MON12","num","2011/2012","225"
"r_1","MON12","num","2012/2013","225"
"r_1","MON12","num","2013/2014","236"
"r_1","MON12","num","2014/2015","263"
"r_1","MON14","num","2000/2001","45"
"r_1","MON14","num","2001/2002","49"
"r_1","MON14","num","2002/2003","42"
"r_1","MON14","num","2003/2004","30"
"r_1","MON14","num","2004/2005","30"
"r_1","MON14","num","2005/2006","30"
"r_1","MON14","num","2006/2007","24"
"r_1","MON14","num","2007/2008","23"
"r_1","MON14","num","2008/2009","36"
"r_1","MON14","num","2009/2010","27"
"r_1","MON14","num","2010/2011","27"
"r_1","MON14","num","2011/2012","22"
"r_1","MON14","num","2012/2013","21"
"r_1","MON14","num","2013/2014","24"
"r_1","MON14","num","2014/2015","20"
"r_1","MON24","num","2000/2001","793"
"r_1","MON24","num","2001/2002","818"
"r_1","MON24","num","2002/2003","739"
"r_1","MON24","num","2003/2004","750"
"r_1","MON24","num","2004/2005","799"
"r_1","MON24","num","2005/2006","738"
"r_1","MON24","num","2006/2007","669"
"r_1","MON24","num","2007/2008","760"
"r_1","MON24","num","2008/2009","774"
"r_1","MON24","num","2009/2010","738"
"r_1","MON24","num","2010/2011","729"
"r_1","MON24","num","2011/2012","780"
"r_1","MON24","num","2012/2013","750"
"r_1","MON24","num","2013/2014","774"
"r_1","MON24","num","2014/2015","736"
"r_1","MON26","num","2000/2001","110"
"r_1","MON26","num","2001/2002","104"
"r_1","MON26","num","2002/2003","85"
"r_1","MON26","num","2003/2004","127"
"r_1","MON26","num","2004/2005","119"
"r_1","MON26","num","2005/2006","90"
"r_1","MON26","num","2006/2007","121"
"r_1","MON26","num","2007/2008","119"
"r_1","MON26","num","2008/2009","70"
"r_1","MON26","num","2009/2010","102"
"r_1","MON26","num","2010/2011","122"
"r_1","MON26","num","2011/2012","124"
"r_1","MON26","num","2012/2013","119"
