RevisionColumn,GenderID,SILC_Activity,SILC_Age,Units,periods,ValueColumn
"r_2","2","4","2","perc_pop_fig","2012","57.9"
"r_2","2","4","2","perc_pop_fig","2013","53.7"
"r_2","2","4","2","perc_pop_fig","2014","43.6"
"r_2","0","4","9","perc_pop_fig","2008","65.3"
"r_2","0","4","9","perc_pop_fig","2009","64.1"
"r_2","0","4","9","perc_pop_fig","2010","63.4"
"r_2","0","4","9","perc_pop_fig","2011","59.8"
"r_2","0","4","9","perc_pop_fig","2012","58.7"
"r_2","0","4","9","perc_pop_fig","2013","56.7"
"r_2","0","4","9","perc_pop_fig","2014","47.1"
"r_2","1","4","9","perc_pop_fig","2008","64.1"
"r_2","1","4","9","perc_pop_fig","2009","59.7"
"r_2","1","4","9","perc_pop_fig","2010","59"
"r_2","1","4","9","perc_pop_fig","2011","54.8"
"r_2","1","4","9","perc_pop_fig","2012","53.5"
"r_2","1","4","9","perc_pop_fig","2013","50.4"
"r_2","1","4","9","perc_pop_fig","2014","42"
"r_2","2","4","9","perc_pop_fig","2008","66"
"r_2","2","4","9","perc_pop_fig","2009","67"
"r_2","2","4","9","perc_pop_fig","2010","66.3"
"r_2","2","4","9","perc_pop_fig","2011","63.2"
"r_2","2","4","9","perc_pop_fig","2012","62.2"
"r_2","2","4","9","perc_pop_fig","2013","60.9"
"r_2","2","4","9","perc_pop_fig","2014","50.6"
"r_2","0","4","3","perc_pop_fig","2008","67.1"
"r_2","0","4","3","perc_pop_fig","2009","67.2"
"r_2","0","4","3","perc_pop_fig","2010","65.1"
"r_2","0","4","3","perc_pop_fig","2011","61.7"
"r_2","0","4","3","perc_pop_fig","2012","59.8"
"r_2","0","4","3","perc_pop_fig","2013","58.5"
"r_2","0","4","3","perc_pop_fig","2014","48.6"
"r_2","1","4","3","perc_pop_fig","2008","66.4"
"r_2","1","4","3","perc_pop_fig","2009","63.8"
"r_2","1","4","3","perc_pop_fig","2010","60.9"
"r_2","1","4","3","perc_pop_fig","2011","57.1"
"r_2","1","4","3","perc_pop_fig","2012","54.3"
"r_2","1","4","3","perc_pop_fig","2013","52"
