RevisionColumn,NUTS,SILC_Median,SILC_HHType,Units,periods,ValueColumn
"r_5","BG421","3","2","BGN_fig","2016","7269"
"r_5","BG421","4","1","BGN_fig","2016","4038"
"r_5","BG421","4","2","BGN_fig","2016","8480"
"r_5","BG424","1","1","BGN_fig","2016","2394"
"r_5","BG424","1","2","BGN_fig","2016","5028"
"r_5","BG424","2","1","BGN_fig","2016","2993"
"r_5","BG424","2","2","BGN_fig","2016","6285"
"r_5","BG424","3","1","BGN_fig","2016","3592"
"r_5","BG424","3","2","BGN_fig","2016","7542"
"r_5","BG424","4","1","BGN_fig","2016","4190"
"r_5","BG424","4","2","BGN_fig","2016","8799"
"r_5","BG422","1","1","BGN_fig","2016","2079"
"r_5","BG422","1","2","BGN_fig","2016","4366"
"r_5","BG422","2","1","BGN_fig","2016","2599"
"r_5","BG422","2","2","BGN_fig","2016","5457"
"r_5","BG422","3","1","BGN_fig","2016","3118"
"r_5","BG422","3","2","BGN_fig","2016","6548"
"r_5","BG422","4","1","BGN_fig","2016","3638"
"r_5","BG422","4","2","BGN_fig","2016","7640"
"r_6","BG","3","1","Euro","2008","1303"
"r_6","BG","3","2","Euro","2008","2736"
"r_6","BG","3","1","Euro","2009","1697"
"r_6","BG","3","2","Euro","2009","3563"
"r_6","BG","3","1","Euro","2010","1810"
"r_6","BG","3","2","Euro","2010","3801"
"r_6","BG","3","1","Euro","2011","1749"
"r_6","BG","3","2","Euro","2011","3672"
"r_6","BG","3","1","Euro","2012","1716"
"r_6","BG","3","2","Euro","2012","3603"
"r_6","BG","3","1","Euro","2013","1754"
"r_6","BG","3","2","Euro","2013","3684"
"r_6","BG","3","1","Euro","2014","1987"
"r_6","BG","3","2","Euro","2014","4172"
"r_6","BG","3","1","Euro","2015","1999"
"r_6","BG","3","2","Euro","2015","4198"
"r_6","BG","3","1","BGN_fig","2008","2548"
"r_6","BG","3","2","BGN_fig","2008","5351"
"r_6","BG","3","1","BGN_fig","2009","3318"
"r_6","BG","3","2","BGN_fig","2009","6968"
"r_6","BG","3","1","BGN_fig","2010","3540"
"r_6","BG","3","2","BGN_fig","2010","7434"
"r_6","BG","3","1","BGN_fig","2011","3420"
"r_6","BG","3","2","BGN_fig","2011","7182"
"r_6","BG","3","1","BGN_fig","2012","3356"
"r_6","BG","3","2","BGN_fig","2012","7047"
"r_6","BG","3","1","BGN_fig","2013","3431"
"r_6","BG","3","2","BGN_fig","2013","7205"
"r_6","BG","3","1","BGN_fig","2014","3885"
"r_6","BG","3","2","BGN_fig","2014","8159"
"r_6","BG","3","1","BGN_fig","2015","3910"
"r_6","BG","3","2","BGN_fig","2015","8210"
"r_6","BG","3","1","PPP_fig","2008","2859"
"r_6","BG","3","2","PPP_fig","2008","6004"
"r_6","BG","3","1","PPP_fig","2009","3451"
"r_6","BG","3","2","PPP_fig","2009","7247"
"r_6","BG","3","1","PPP_fig","2010","3642"
"r_6","BG","3","2","PPP_fig","2010","7648"
"r_6","BG","3","1","PPP_fig","2011","3436"
"r_6","BG","3","2","PPP_fig","2011","7215"
"r_6","BG","3","1","PPP_fig","2012","3476"
"r_6","BG","3","2","PPP_fig","2012","7300"
"r_6","BG","3","1","PPP_fig","2013","3633"
"r_6","BG","3","2","PPP_fig","2013","7629"
"r_6","BG","3","1","PPP_fig","2014","4052"
"r_6","BG","3","2","PPP_fig","2014","8510"
"r_6","BG","3","1","PPP_fig","2015","4176"
"r_6","BG","3","2","PPP_fig","2015","8770"
"r_6","BG","1","1","Euro","2008","869"
"r_6","BG","1","2","Euro","2008","1824"
"r_6","BG","1","1","Euro","2009","1131"
"r_6","BG","1","2","Euro","2009","2375"
"r_6","BG","1","1","Euro","2010","1207"
"r_6","BG","1","2","Euro","2010","2534"
"r_6","BG","1","1","Euro","2011","1166"
"r_6","BG","1","2","Euro","2011","2448"
"r_6","BG","1","1","Euro","2012","1144"
"r_6","BG","1","2","Euro","2012","2402"
"r_6","BG","1","1","Euro","2013","1170"
"r_6","BG","1","2","Euro","2013","2456"
"r_6","BG","1","1","Euro","2014","1324"
"r_6","BG","1","2","Euro","2014","2781"
"r_6","BG","1","1","Euro","2015","1333"
"r_6","BG","1","2","Euro","2015","2799"
"r_6","BG","2","1","Euro","2008","1086"
"r_6","BG","2","2","Euro","2008","2280"
"r_6","BG","2","1","Euro","2009","1414"
"r_6","BG","2","2","Euro","2009","2969"
"r_6","BG","2","1","Euro","2010","1508"
"r_6","BG","2","2","Euro","2010","3167"
"r_6","BG","2","1","Euro","2011","1457"
"r_6","BG","2","2","Euro","2011","3060"
"r_6","BG","2","1","Euro","2012","1430"
"r_6","BG","2","2","Euro","2012","3003"
"r_6","BG","2","1","Euro","2013","1462"
"r_6","BG","2","2","Euro","2013","3070"
"r_6","BG","2","1","Euro","2014","1655"
"r_6","BG","2","2","Euro","2014","3477"
"r_6","BG","2","1","Euro","2015","1666"
"r_6","BG","2","2","Euro","2015","3498"
"r_6","BG","4","1","Euro","2008","1520"
"r_6","BG","4","2","Euro","2008","3192"
"r_6","BG","4","1","Euro","2009","1979"
"r_6","BG","4","2","Euro","2009","4156"
"r_6","BG","4","1","Euro","2010","2112"
"r_6","BG","4","2","Euro","2010","4434"
"r_6","BG","4","1","Euro","2011","2040"
"r_6","BG","4","2","Euro","2011","4284"
"r_6","BG","4","1","Euro","2012","2002"
"r_6","BG","4","2","Euro","2012","4204"
"r_6","BG","4","1","Euro","2013","2047"
"r_6","BG","4","2","Euro","2013","4298"
"r_6","BG","4","1","Euro","2014","2318"
"r_6","BG","4","2","Euro","2014","4867"
"r_6","BG","4","1","Euro","2015","2332"
"r_6","BG","4","2","Euro","2015","4897"
"r_6","BG","1","1","BGN_fig","2008","1699"
"r_6","BG","1","2","BGN_fig","2008","3567"
"r_6","BG","1","1","BGN_fig","2009","2212"
"r_6","BG","1","2","BGN_fig","2009","4645"
"r_6","BG","1","1","BGN_fig","2010","2360"
"r_6","BG","1","2","BGN_fig","2010","4956"
"r_6","BG","1","1","BGN_fig","2011","2280"
"r_6","BG","1","2","BGN_fig","2011","4788"
"r_6","BG","1","1","BGN_fig","2012","2237"
"r_6","BG","1","2","BGN_fig","2012","4698"
"r_6","BG","1","1","BGN_fig","2013","2287"
"r_6","BG","1","2","BGN_fig","2013","4803"
"r_6","BG","1","1","BGN_fig","2014","2590"
"r_6","BG","1","2","BGN_fig","2014","5440"
"r_6","BG","1","1","BGN_fig","2015","2606"
"r_6","BG","1","2","BGN_fig","2015","5473"
"r_6","BG","2","1","BGN_fig","2008","2123"
"r_6","BG","2","2","BGN_fig","2008","4459"
"r_6","BG","2","1","BGN_fig","2009","2765"
"r_6","BG","2","2","BGN_fig","2009","5807"
"r_6","BG","2","1","BGN_fig","2010","2950"
"r_6","BG","2","2","BGN_fig","2010","6195"
"r_6","BG","2","1","BGN_fig","2011","2850"
"r_6","BG","2","2","BGN_fig","2011","5985"
"r_6","BG","2","1","BGN_fig","2012","2796"
"r_6","BG","2","2","BGN_fig","2012","5872"
"r_6","BG","2","1","BGN_fig","2013","2859"
"r_6","BG","2","2","BGN_fig","2013","6004"
"r_6","BG","2","1","BGN_fig","2014","3238"
"r_6","BG","2","2","BGN_fig","2014","6799"
"r_6","BG","2","1","BGN_fig","2015","3258"
"r_6","BG","2","2","BGN_fig","2015","6842"
"r_6","BG","4","1","BGN_fig","2008","2973"
"r_6","BG","4","2","BGN_fig","2008","6243"
"r_6","BG","4","1","BGN_fig","2009","3871"
"r_6","BG","4","2","BGN_fig","2009","8129"
"r_6","BG","4","1","BGN_fig","2010","4130"
"r_6","BG","4","2","BGN_fig","2010","8673"
"r_6","BG","4","1","BGN_fig","2011","3990"
"r_6","BG","4","2","BGN_fig","2011","8379"
"r_6","BG","4","1","BGN_fig","2012","3915"
"r_6","BG","4","2","BGN_fig","2012","8221"
"r_6","BG","4","1","BGN_fig","2013","4003"
"r_6","BG","4","2","BGN_fig","2013","8406"
"r_6","BG","4","1","BGN_fig","2014","4533"
"r_6","BG","4","2","BGN_fig","2014","9519"
"r_6","BG","4","1","BGN_fig","2015","4561"
"r_6","BG","4","2","BGN_fig","2015","9578"
"r_6","BG31","1","1","Euro","2008","713"
"r_6","BG31","1","2","Euro","2008","1497"
"r_6","BG31","1","1","Euro","2009","943"
"r_6","BG31","1","2","Euro","2009","1981"
"r_6","BG31","1","1","Euro","2010","1009"
"r_6","BG31","1","2","Euro","2010","2120"
"r_6","BG31","1","1","Euro","2011","931"
"r_6","BG31","1","2","Euro","2011","1955"
"r_6","BG31","1","1","Euro","2012","935"
