RevisionColumn,Age10_LFS,Units,periods,GenderID,ValueColumn
"r_2","65+","1000cp","2005Q2","2","11.7"
"r_2","0","1000cp","2005Q3","0","3411"
"r_2","0","1000cp","2005Q3","1","1824.2"
"r_2","0","1000cp","2005Q3","2","1586.8"
"r_2","15 - 64","1000cp","2005Q3","0","3376.3"
"r_2","15 - 64","1000cp","2005Q3","1","1801.1"
"r_2","15 - 64","1000cp","2005Q3","2","1575.2"
"r_2","20 - 64","1000cp","2005Q3","0","3324"
"r_2","20 - 64","1000cp","2005Q3","1","1774.8"
"r_2","20 - 64","1000cp","2005Q3","2","1549.2"
"r_2","15 - 29","1000cp","2005Q3","0","668.3"
"r_2","15 - 29","1000cp","2005Q3","1","376.7"
"r_2","15 - 29","1000cp","2005Q3","2","291.5"
"r_2","15 - 24","1000cp","2005Q3","0","302.4"
"r_2","15 - 24","1000cp","2005Q3","1","168.3"
"r_2","15 - 24","1000cp","2005Q3","2","134.2"
"r_2","25 - 34","1000cp","2005Q3","0","795.8"
"r_2","25 - 34","1000cp","2005Q3","1","439.6"
"r_2","25 - 34","1000cp","2005Q3","2","356.2"
"r_2","35 - 44","1000cp","2005Q3","0","964.7"
"r_2","35 - 44","1000cp","2005Q3","1","489.6"
"r_2","35 - 44","1000cp","2005Q3","2","475"
"r_2","45 - 54","1000cp","2005Q3","0","927.2"
"r_2","45 - 54","1000cp","2005Q3","1","467.3"
"r_2","45 - 54","1000cp","2005Q3","2","459.9"
"r_2","55 - 64","1000cp","2005Q3","0","386.3"
"r_2","55 - 64","1000cp","2005Q3","1","236.3"
"r_2","55 - 64","1000cp","2005Q3","2","149.9"
"r_2","65+","1000cp","2005Q3","0","34.6"
"r_2","65+","1000cp","2005Q3","1","23.1"
"r_2","65+","1000cp","2005Q3","2","11.5"
"r_2","0","1000cp","2005Q4","0","3310.9"
"r_2","0","1000cp","2005Q4","1","1775.7"
"r_2","0","1000cp","2005Q4","2","1535.2"
"r_2","15 - 64","1000cp","2005Q4","0","3277.9"
"r_2","15 - 64","1000cp","2005Q4","1","1755.1"
"r_2","15 - 64","1000cp","2005Q4","2","1522.8"
"r_2","20 - 64","1000cp","2005Q4","0","3230.4"
"r_2","20 - 64","1000cp","2005Q4","1","1729.5"
"r_2","20 - 64","1000cp","2005Q4","2","1500.9"
"r_2","15 - 29","1000cp","2005Q4","0","653.2"
"r_2","15 - 29","1000cp","2005Q4","1","374.4"
"r_2","15 - 29","1000cp","2005Q4","2","278.8"
"r_2","15 - 24","1000cp","2005Q4","0","294.3"
"r_2","15 - 24","1000cp","2005Q4","1","167.6"
"r_2","15 - 24","1000cp","2005Q4","2","126.7"
"r_2","25 - 34","1000cp","2005Q4","0","777.2"
"r_2","25 - 34","1000cp","2005Q4","1","430.9"
"r_2","25 - 34","1000cp","2005Q4","2","346.4"
"r_2","35 - 44","1000cp","2005Q4","0","956.2"
"r_2","35 - 44","1000cp","2005Q4","1","485.9"
"r_2","35 - 44","1000cp","2005Q4","2","470.3"
"r_2","45 - 54","1000cp","2005Q4","0","877.4"
"r_2","45 - 54","1000cp","2005Q4","1","438.1"
"r_2","45 - 54","1000cp","2005Q4","2","439.3"
"r_2","55 - 64","1000cp","2005Q4","0","372.8"
