RevisionColumn,EKATTE,Units,periods,GenderID,ValueColumn
"r_1","BLG37","num","2003","0","251"
"r_1","BLG37","num","2003","1","156"
"r_1","BLG37","num","2003","2","95"
"r_1","BLG37","num","2004","0","243"
"r_1","BLG37","num","2004","1","107"
"r_1","BLG37","num","2004","2","136"
"r_1","BLG37","num","2005","0","319"
"r_1","BLG37","num","2005","1","177"
"r_1","BLG37","num","2005","2","142"
"r_1","BLG37","num","2006","0","283"
"r_1","BLG37","num","2006","1","156"
"r_1","BLG37","num","2006","2","127"
"r_1","BLG37","num","2007","0","312"
"r_1","BLG37","num","2007","1","163"
"r_1","BLG37","num","2007","2","149"
"r_1","BLG37","num","2008","0","298"
"r_1","BLG37","num","2008","1","159"
"r_1","BLG37","num","2008","2","139"
"r_1","BLG37","num","2009","0","303"
"r_1","BLG37","num","2009","1","166"
"r_1","BLG37","num","2009","2","137"
"r_1","BLG37","num","2010","0","316"
"r_1","BLG37","num","2010","1","159"
"r_1","BLG37","num","2010","2","157"
"r_1","BLG37","num","2011","0","276"
"r_1","BLG37","num","2011","1","146"
"r_1","BLG37","num","2011","2","130"
"r_1","BLG37","num","2012","0","281"
"r_1","BLG37","num","2012","1","138"
"r_1","BLG37","num","2012","2","143"
"r_1","BLG37","num","2013","0","306"
"r_1","BLG37","num","2013","1","162"
"r_1","BLG37","num","2013","2","144"
"r_1","BLG37","num","2014","0","305"
"r_1","BLG37","num","2014","1","166"
"r_1","BLG37","num","2014","2","139"
"r_1","BLG40","num","2000","0","462"
"r_1","BLG40","num","2000","1","272"
"r_1","BLG40","num","2000","2","190"
"r_1","BLG40","num","2001","0","523"
"r_1","BLG40","num","2001","1","303"
"r_1","BLG40","num","2001","2","220"
"r_1","BLG40","num","2002","0","523"
"r_1","BLG40","num","2002","1","287"
"r_1","BLG40","num","2002","2","236"
"r_1","BLG40","num","2003","0","531"
"r_1","BLG40","num","2003","1","296"
"r_1","BLG40","num","2003","2","235"
"r_1","BLG40","num","2004","0","494"
"r_1","BLG40","num","2004","1","290"
"r_1","BLG40","num","2004","2","204"
"r_1","BLG40","num","2005","0","561"
"r_1","BLG40","num","2005","1","323"
"r_1","BLG40","num","2005","2","238"
"r_1","BLG40","num","2006","0","587"
"r_1","BLG40","num","2006","1","313"
"r_1","BLG40","num","2006","2","274"
"r_1","BLG40","num","2007","0","574"
"r_1","BLG40","num","2007","1","319"
"r_1","BLG40","num","2007","2","255"
"r_1","BLG40","num","2008","0","508"
"r_1","BLG40","num","2008","1","269"
"r_1","BLG40","num","2008","2","239"
"r_1","BLG40","num","2009","0","509"
"r_1","BLG40","num","2009","1","301"
"r_1","BLG40","num","2009","2","208"
"r_1","BLG40","num","2010","0","549"
"r_1","BLG40","num","2010","1","314"
"r_1","BLG40","num","2010","2","235"
"r_1","BLG40","num","2011","0","561"
"r_1","BLG40","num","2011","1","309"
"r_1","BLG40","num","2011","2","252"
"r_1","BLG40","num","2012","0","517"
"r_1","BLG40","num","2012","1","282"
"r_1","BLG40","num","2012","2","235"
"r_1","BLG40","num","2013","0","503"
"r_1","BLG40","num","2013","1","275"
"r_1","BLG40","num","2013","2","228"
"r_1","BLG40","num","2014","0","523"
"r_1","BLG40","num","2014","1","315"
"r_1","BLG40","num","2014","2","208"
"r_1","BLG42","num","2000","0","130"
"r_1","BLG42","num","2000","1","71"
"r_1","BLG42","num","2000","2","59"
"r_1","BLG42","num","2001","0","156"
