RevisionColumn,NUTS,GenderID,Units,periods,SILC_Age,ValueColumn
"r_2","BG32","1","perc_pop_fig","2011","0","49.7"
"r_2","BG32","1","perc_pop_fig","2012","0","44.9"
"r_2","BG32","1","perc_pop_fig","2013","0","41.1"
"r_2","BG32","1","perc_pop_fig","2014","0","34.5"
"r_2","BG32","2","perc_pop_fig","2008","0","51.7"
"r_2","BG32","2","perc_pop_fig","2009","0","54.2"
"r_2","BG32","2","perc_pop_fig","2010","0","56.7"
"r_2","BG32","2","perc_pop_fig","2011","0","53.4"
"r_2","BG32","2","perc_pop_fig","2012","0","49.2"
"r_2","BG32","2","perc_pop_fig","2013","0","45.5"
"r_2","BG32","2","perc_pop_fig","2014","0","36.9"
"r_2","BG321","0","perc_pop_fig","2008","0","46"
"r_2","BG321","0","perc_pop_fig","2009","0","61.8"
"r_2","BG321","0","perc_pop_fig","2010","0","66.7"
"r_2","BG321","0","perc_pop_fig","2011","0","76.3"
"r_2","BG321","0","perc_pop_fig","2012","0","61.9"
"r_2","BG321","0","perc_pop_fig","2013","0","52.2"
"r_2","BG321","0","perc_pop_fig","2014","0","40.5"
"r_2","BG321","1","perc_pop_fig","2008","0","44.9"
"r_2","BG321","1","perc_pop_fig","2009","0","60.5"
"r_2","BG321","1","perc_pop_fig","2010","0","64.6"
"r_2","BG321","1","perc_pop_fig","2011","0","75.5"
"r_2","BG321","1","perc_pop_fig","2012","0","62.1"
"r_2","BG321","1","perc_pop_fig","2013","0","50.1"
"r_2","BG321","1","perc_pop_fig","2014","0","40.8"
"r_2","BG321","2","perc_pop_fig","2008","0","47"
"r_2","BG321","2","perc_pop_fig","2009","0","62.9"
"r_2","BG321","2","perc_pop_fig","2010","0","68.4"
"r_2","BG321","2","perc_pop_fig","2011","0","77"
"r_2","BG321","2","perc_pop_fig","2012","0","61.7"
"r_2","BG321","2","perc_pop_fig","2013","0","54.2"
"r_2","BG321","2","perc_pop_fig","2014","0","40.3"
"r_2","BG322","0","perc_pop_fig","2008","0","35"
"r_2","BG322","0","perc_pop_fig","2009","0","53.2"
"r_2","BG322","0","perc_pop_fig","2010","0","53.3"
"r_2","BG322","0","perc_pop_fig","2011","0","51.2"
"r_2","BG322","0","perc_pop_fig","2012","0","44.4"
"r_2","BG322","0","perc_pop_fig","2013","0","45.8"
"r_2","BG322","0","perc_pop_fig","2014","0","24.5"
"r_2","BG322","1","perc_pop_fig","2008","0","34"
"r_2","BG322","1","perc_pop_fig","2009","0","49.8"
"r_2","BG322","1","perc_pop_fig","2010","0","47.9"
"r_2","BG322","1","perc_pop_fig","2011","0","48.7"
"r_2","BG322","1","perc_pop_fig","2012","0","39.2"
"r_2","BG322","1","perc_pop_fig","2013","0","43.2"
"r_2","BG322","1","perc_pop_fig","2014","0","22.6"
"r_2","BG322","2","perc_pop_fig","2008","0","35.9"
"r_2","BG322","2","perc_pop_fig","2009","0","56.3"
"r_2","BG322","2","perc_pop_fig","2010","0","58.6"
"r_2","BG322","2","perc_pop_fig","2011","0","53.7"
"r_2","BG322","2","perc_pop_fig","2012","0","49.2"
"r_2","BG322","2","perc_pop_fig","2013","0","48.1"
"r_2","BG322","2","perc_pop_fig","2014","0","25.8"
"r_2","BG324","0","perc_pop_fig","2008","0","34.3"
"r_2","BG324","0","perc_pop_fig","2009","0","54.9"
"r_2","BG324","0","perc_pop_fig","2010","0","51.6"
"r_2","BG324","0","perc_pop_fig","2011","0","45.8"
"r_2","BG324","0","perc_pop_fig","2012","0","50.9"
"r_2","BG324","0","perc_pop_fig","2013","0","56.5"
"r_2","BG324","0","perc_pop_fig","2014","0","33.6"
"r_2","BG324","1","perc_pop_fig","2008","0","40.4"
"r_2","BG324","1","perc_pop_fig","2009","0","54.6"
"r_2","BG324","1","perc_pop_fig","2010","0","52.3"
"r_2","BG324","1","perc_pop_fig","2011","0","45.6"
"r_2","BG324","1","perc_pop_fig","2012","0","52.7"
"r_2","BG324","1","perc_pop_fig","2013","0","56.2"
"r_2","BG324","1","perc_pop_fig","2014","0","33.3"
"r_2","BG324","2","perc_pop_fig","2008","0","27.9"
"r_2","BG324","2","perc_pop_fig","2009","0","55.3"
"r_2","BG324","2","perc_pop_fig","2010","0","51"
"r_2","BG324","2","perc_pop_fig","2011","0","46"
"r_2","BG324","2","perc_pop_fig","2012","0","49.2"
"r_2","BG324","2","perc_pop_fig","2013","0","56.7"
"r_2","BG324","2","perc_pop_fig","2014","0","33.9"
"r_2","BG323","0","perc_pop_fig","2008","0","27.9"
"r_2","BG323","0","perc_pop_fig","2009","0","35"
"r_2","BG323","0","perc_pop_fig","2010","0","40.9"
"r_2","BG323","0","perc_pop_fig","2011","0","35.4"
"r_2","BG323","0","perc_pop_fig","2012","0","35.2"
"r_2","BG323","0","perc_pop_fig","2013","0","26.6"
"r_2","BG323","0","perc_pop_fig","2014","0","36.3"
"r_2","BG323","1","perc_pop_fig","2008","0","28"
"r_2","BG323","1","perc_pop_fig","2009","0","32.6"
"r_2","BG323","1","perc_pop_fig","2010","0","40.9"
"r_2","BG323","1","perc_pop_fig","2011","0","32.7"
"r_2","BG323","1","perc_pop_fig","2012","0","30.6"
"r_2","BG323","1","perc_pop_fig","2013","0","23.6"
"r_2","BG323","1","perc_pop_fig","2014","0","31.4"
"r_2","BG323","2","perc_pop_fig","2008","0","27.7"
"r_2","BG323","2","perc_pop_fig","2009","0","37.1"
"r_2","BG323","2","perc_pop_fig","2010","0","40.8"
"r_2","BG323","2","perc_pop_fig","2011","0","37.8"
"r_2","BG323","2","perc_pop_fig","2012","0","39.7"
"r_2","BG323","2","perc_pop_fig","2013","0","29.7"
"r_2","BG323","2","perc_pop_fig","2014","0","40.8"
"r_2","BG325","0","perc_pop_fig","2008","0","40.6"
"r_2","BG325","0","perc_pop_fig","2009","0","60.6"
"r_2","BG325","0","perc_pop_fig","2010","0","64"
"r_2","BG325","0","perc_pop_fig","2011","0","36.4"
"r_2","BG325","0","perc_pop_fig","2012","0","36.9"
"r_2","BG325","0","perc_pop_fig","2013","0","40.7"
"r_2","BG325","0","perc_pop_fig","2014","0","38.2"
"r_2","BG325","1","perc_pop_fig","2008","0","43.8"
"r_2","BG325","1","perc_pop_fig","2009","0","60.4"
"r_2","BG325","1","perc_pop_fig","2010","0","63.2"
"r_2","BG325","1","perc_pop_fig","2011","0","36.5"
"r_2","BG325","1","perc_pop_fig","2012","0","36.3"
"r_2","BG325","1","perc_pop_fig","2013","0","40.5"
"r_2","BG325","1","perc_pop_fig","2014","0","38.6"
"r_2","BG325","2","perc_pop_fig","2008","0","37.7"
"r_2","BG325","2","perc_pop_fig","2009","0","60.9"
