RevisionColumn,Labour_SES_nkpd1996,Units,periods,GenderID,ValueColumn
"r_1","8","1000cp","2003Q2","2","130.9"
"r_1","8","1000cp","2003Q3","0","430.5"
"r_1","8","1000cp","2003Q3","1","296.5"
"r_1","8","1000cp","2003Q3","2","134"
"r_1","8","1000cp","2003Q4","0","408.8"
"r_1","8","1000cp","2003Q4","1","280.9"
"r_1","8","1000cp","2003Q4","2","127.9"
"r_1","8","1000cp","2004Q1","0","409"
"r_1","8","1000cp","2004Q1","1","281.4"
"r_1","8","1000cp","2004Q1","2","127.6"
"r_1","8","1000cp","2004Q2","0","427.2"
"r_1","8","1000cp","2004Q2","1","289.9"
"r_1","8","1000cp","2004Q2","2","137.3"
"r_1","8","1000cp","2004Q3","0","453.1"
"r_1","8","1000cp","2004Q3","1","301.4"
"r_1","8","1000cp","2004Q3","2","151.7"
"r_1","8","1000cp","2004Q4","0","447.3"
"r_1","8","1000cp","2004Q4","1","303.1"
"r_1","8","1000cp","2004Q4","2","144.2"
"r_1","8","1000cp","2005Q1","0","449.1"
"r_1","8","1000cp","2005Q1","1","304.4"
"r_1","8","1000cp","2005Q1","2","144.7"
"r_1","8","1000cp","2005Q2","0","470.5"
"r_1","8","1000cp","2005Q2","1","322"
"r_1","8","1000cp","2005Q2","2","148.5"
"r_1","8","1000cp","2005Q3","0","477.4"
"r_1","8","1000cp","2005Q3","1","328"
"r_1","8","1000cp","2005Q3","2","149.4"
"r_1","8","1000cp","2005Q4","0","473"
"r_1","8","1000cp","2005Q4","1","324.6"
"r_1","8","1000cp","2005Q4","2","148.4"
"r_1","9","1000cp","2003Q1","0","307.6"
"r_1","9","1000cp","2003Q1","1","176.1"
"r_1","9","1000cp","2003Q1","2","131.5"
"r_1","9","1000cp","2003Q2","0","337.8"
"r_1","9","1000cp","2003Q2","1","195.2"
"r_1","9","1000cp","2003Q2","2","142.6"
"r_1","9","1000cp","2003Q3","0","365.4"
"r_1","9","1000cp","2003Q3","1","211.4"
"r_1","9","1000cp","2003Q3","2","154"
"r_1","9","1000cp","2003Q4","0","343"
"r_1","9","1000cp","2003Q4","1","194.7"
"r_1","9","1000cp","2003Q4","2","148.3"
"r_1","9","1000cp","2004Q1","0","334.6"
"r_1","9","1000cp","2004Q1","1","196.9"
"r_1","9","1000cp","2004Q1","2","137.7"
"r_1","9","1000cp","2004Q2","0","372.7"
"r_1","9","1000cp","2004Q2","1","214.7"
"r_1","9","1000cp","2004Q2","2","157.9"
"r_1","9","1000cp","2004Q3","0","403.8"
"r_1","9","1000cp","2004Q3","1","228"
