RevisionColumn,PlaceResidence,Units,periods,ValueColumn
"r_36","2","1000cp","2022Q3","576.3"
"r_37","0","1000cp","2022Q4","2631.2"
"r_37","1","1000cp","2022Q4","2058.3"
"r_37","2","1000cp","2022Q4","572.9"
"r_38","0","1000cp","2023Q4","2576.5"
"r_38","1","1000cp","2023Q4","2020.3"
"r_38","2","1000cp","2023Q4","556.3"
"r_39","0","1000cp","2024Q1","2569.6"
"r_39","1","1000cp","2024Q1","2018.3"
"r_39","2","1000cp","2024Q1","551.3"
"r_41","0","1000cp","2021Q2","2553.7"
"r_41","1","1000cp","2021Q2","2010.9"
"r_41","2","1000cp","2021Q2","542.9"
"r_42","0","1000cp","2021Q3","2590.1"
"r_42","1","1000cp","2021Q3","2033.6"
"r_42","2","1000cp","2021Q3","556.5"
"r_43","0","1000cp","2021Q4","2546.9"
"r_43","1","1000cp","2021Q4","2008.3"
"r_43","2","1000cp","2021Q4","538.6"
"r_44","0","1000cp","2024Q2","2587.7"
"r_44","1","1000cp","2024Q2","2020.8"
"r_44","2","1000cp","2024Q2","566.9"
"r_45","0","1000cp","2024Q3","2606"
"r_45","1","1000cp","2024Q3","2018.8"
"r_45","2","1000cp","2024Q3","587.2"
"r_46","0","1000cp","2024Q4","2567.6"
"r_46","1","1000cp","2024Q4","2012.5"
"r_46","2","1000cp","2024Q4","555.1"
"r_47","0","1000cp","2025Q1","2549.4"
"r_47","1","1000cp","2025Q1","2009.2"
"r_47","2","1000cp","2025Q1","540.2"
"r_48","0","1000cp","2025Q2","2545.9"
"r_48","1","1000cp","2025Q2","1985.6"
"r_48","2","1000cp","2025Q2","560.3"
"r_49","0","1000cp","2025Q3","2558.8"
"r_49","1","1000cp","2025Q3","1987"
"r_49","2","1000cp","2025Q3","571.8"
"r_40","0","1000cp","2021Q1","2542.3"
"r_40","1","1000cp","2021Q1","1321.3"
"r_40","2","1000cp","2021Q1","1221"
