RevisionColumn,periods,NUTS,Units,Ages_COD,GenderID,COD_ICD10ch,ValueColumn
"r_1","2015","BG","num","16","2","3","7"
"r_1","2015","BG","num","17","0","3","23"
"r_1","2015","BG","num","17","1","3","7"
"r_1","2015","BG","num","17","2","3","16"
"r_1","2015","BG","num","18","0","3","26"
"r_1","2015","BG","num","18","1","3","10"
"r_1","2015","BG","num","18","2","3","16"
"r_1","2015","BG","num","19","0","3","9"
"r_1","2015","BG","num","19","1","3","7"
"r_1","2015","BG","num","19","2","3","2"
"r_1","2015","BG","num","20","0","3","3"
"r_1","2015","BG","num","20","1","3","1"
"r_1","2015","BG","num","20","2","3","2"
"r_1","2015","BG","num","21","0","3","-"
"r_1","2015","BG","num","21","1","3","-"
"r_1","2015","BG","num","21","2","3","-"
"r_1","2015","BG","num","22","0","3","-"
"r_1","2015","BG","num","22","1","3","-"
"r_1","2015","BG","num","22","2","3","-"
"r_1","2015","BG","num","0","0","4","1818"
"r_1","2015","BG","num","0","1","4","822"
"r_1","2015","BG","num","0","2","4","996"
"r_1","2015","BG","num","1","0","4","-"
"r_1","2015","BG","num","1","1","4","-"
"r_1","2015","BG","num","1","2","4","-"
"r_1","2015","BG","num","2","0","4","3"
"r_1","2015","BG","num","2","1","4","1"
"r_1","2015","BG","num","2","2","4","2"
"r_1","2015","BG","num","3","0","4","1"
"r_1","2015","BG","num","3","1","4","-"
"r_1","2015","BG","num","3","2","4","1"
"r_1","2015","BG","num","4","0","4","1"
"r_1","2015","BG","num","4","1","4","1"
"r_1","2015","BG","num","4","2","4","-"
"r_1","2015","BG","num","5","0","4","-"
"r_1","2015","BG","num","5","1","4","-"
"r_1","2015","BG","num","5","2","4","-"
"r_1","2015","BG","num","6","0","4","1"
"r_1","2015","BG","num","6","1","4","-"
"r_1","2015","BG","num","6","2","4","1"
"r_1","2015","BG","num","7","0","4","7"
"r_1","2015","BG","num","7","1","4","6"
"r_1","2015","BG","num","7","2","4","1"
"r_1","2015","BG","num","8","0","4","7"
"r_1","2015","BG","num","8","1","4","5"
"r_1","2015","BG","num","8","2","4","2"
"r_1","2015","BG","num","9","0","4","9"
"r_1","2015","BG","num","9","1","4","6"
"r_1","2015","BG","num","9","2","4","3"
"r_1","2015","BG","num","10","0","4","10"
"r_1","2015","BG","num","10","1","4","9"
"r_1","2015","BG","num","10","2","4","1"
"r_1","2015","BG","num","11","0","4","22"
"r_1","2015","BG","num","11","1","4","13"
"r_1","2015","BG","num","11","2","4","9"
"r_1","2015","BG","num","12","0","4","43"
"r_1","2015","BG","num","12","1","4","27"
"r_1","2015","BG","num","12","2","4","16"
"r_1","2015","BG","num","13","0","4","68"
"r_1","2015","BG","num","13","1","4","43"
"r_1","2015","BG","num","13","2","4","25"
"r_1","2015","BG","num","14","0","4","158"
"r_1","2015","BG","num","14","1","4","92"
"r_1","2015","BG","num","14","2","4","66"
"r_1","2015","BG","num","15","0","4","211"
"r_1","2015","BG","num","15","1","4","114"
"r_1","2015","BG","num","15","2","4","97"
"r_1","2015","BG","num","16","0","4","281"
"r_1","2015","BG","num","16","1","4","124"
"r_1","2015","BG","num","16","2","4","157"
"r_1","2015","BG","num","17","0","4","369"
"r_1","2015","BG","num","17","1","4","160"
"r_1","2015","BG","num","17","2","4","209"
"r_1","2015","BG","num","18","0","4","359"
"r_1","2015","BG","num","18","1","4","123"
"r_1","2015","BG","num","18","2","4","236"
"r_1","2015","BG","num","19","0","4","200"
"r_1","2015","BG","num","19","1","4","74"
"r_1","2015","BG","num","19","2","4","126"
"r_1","2015","BG","num","20","0","4","62"
"r_1","2015","BG","num","20","1","4","22"
"r_1","2015","BG","num","20","2","4","40"
"r_1","2015","BG","num","21","0","4","6"
"r_1","2015","BG","num","21","1","4","2"
"r_1","2015","BG","num","21","2","4","4"
"r_1","2015","BG","num","22","0","4","-"
