RevisionColumn,EKATTE,Units,periods,Residence,GenderID,ValueColumn
"r_1","BLG01","num","2013","1","2","5962"
"r_1","BLG01","num","2013","2","0","1226"
"r_1","BLG01","num","2013","2","1","583"
"r_1","BLG01","num","2013","2","2","643"
"r_1","BLG01","num","2014","0","0","12784"
"r_1","BLG01","num","2014","0","1","6204"
"r_1","BLG01","num","2014","0","2","6580"
"r_1","BLG01","num","2014","1","0","11574"
"r_1","BLG01","num","2014","1","1","5628"
"r_1","BLG01","num","2014","1","2","5946"
"r_1","BLG01","num","2014","2","0","1210"
"r_1","BLG01","num","2014","2","1","576"
"r_1","BLG01","num","2014","2","2","634"
"r_1","BLG02","num","2000","0","0","9748"
"r_1","BLG02","num","2000","0","1","4745"
"r_1","BLG02","num","2000","0","2","5003"
"r_1","BLG02","num","2000","1","0","3411"
"r_1","BLG02","num","2000","1","1","1642"
"r_1","BLG02","num","2000","1","2","1769"
"r_1","BLG02","num","2000","2","0","6337"
"r_1","BLG02","num","2000","2","1","3103"
"r_1","BLG02","num","2000","2","2","3234"
"r_1","BLG02","num","2001","0","0","9604"
"r_1","BLG02","num","2001","0","1","4629"
"r_1","BLG02","num","2001","0","2","4975"
"r_1","BLG02","num","2001","1","0","3280"
"r_1","BLG02","num","2001","1","1","1553"
"r_1","BLG02","num","2001","1","2","1727"
"r_1","BLG02","num","2001","2","0","6324"
"r_1","BLG02","num","2001","2","1","3076"
"r_1","BLG02","num","2001","2","2","3248"
"r_1","BLG02","num","2002","0","0","9558"
"r_1","BLG02","num","2002","0","1","4601"
"r_1","BLG02","num","2002","0","2","4957"
"r_1","BLG02","num","2002","1","0","3256"
"r_1","BLG02","num","2002","1","1","1538"
"r_1","BLG02","num","2002","1","2","1718"
"r_1","BLG02","num","2002","2","0","6302"
"r_1","BLG02","num","2002","2","1","3063"
"r_1","BLG02","num","2002","2","2","3239"
"r_1","BLG02","num","2003","0","0","9539"
"r_1","BLG02","num","2003","0","1","4593"
"r_1","BLG02","num","2003","0","2","4946"
"r_1","BLG02","num","2003","1","0","3231"
"r_1","BLG02","num","2003","1","1","1523"
"r_1","BLG02","num","2003","1","2","1708"
"r_1","BLG02","num","2003","2","0","6308"
"r_1","BLG02","num","2003","2","1","3070"
"r_1","BLG02","num","2003","2","2","3238"
"r_1","BLG02","num","2004","0","0","9543"
"r_1","BLG02","num","2004","0","1","4618"
"r_1","BLG02","num","2004","0","2","4925"
"r_1","BLG02","num","2004","1","0","3204"
"r_1","BLG02","num","2004","1","1","1529"
"r_1","BLG02","num","2004","1","2","1675"
"r_1","BLG02","num","2004","2","0","6339"
"r_1","BLG02","num","2004","2","1","3089"
"r_1","BLG02","num","2004","2","2","3250"
"r_1","BLG02","num","2005","0","0","9518"
"r_1","BLG02","num","2005","0","1","4595"
"r_1","BLG02","num","2005","0","2","4923"
"r_1","BLG02","num","2005","1","0","3166"
"r_1","BLG02","num","2005","1","1","1509"
"r_1","BLG02","num","2005","1","2","1657"
"r_1","BLG02","num","2005","2","0","6352"
"r_1","BLG02","num","2005","2","1","3086"
"r_1","BLG02","num","2005","2","2","3266"
"r_1","BLG02","num","2006","0","0","9487"
"r_1","BLG02","num","2006","0","1","4573"
"r_1","BLG02","num","2006","0","2","4914"
"r_1","BLG02","num","2006","1","0","3149"
"r_1","BLG02","num","2006","1","1","1504"
"r_1","BLG02","num","2006","1","2","1645"
"r_1","BLG02","num","2006","2","0","6338"
"r_1","BLG02","num","2006","2","1","3069"
"r_1","BLG02","num","2006","2","2","3269"
"r_1","BLG02","num","2007","0","0","9488"
"r_1","BLG02","num","2007","0","1","4580"
"r_1","BLG02","num","2007","0","2","4908"
"r_1","BLG02","num","2007","1","0","3141"
"r_1","BLG02","num","2007","1","1","1500"
"r_1","BLG02","num","2007","1","2","1641"
"r_1","BLG02","num","2007","2","0","6347"
"r_1","BLG02","num","2007","2","1","3080"
"r_1","BLG02","num","2007","2","2","3267"
"r_1","BLG02","num","2008","0","0","9497"
"r_1","BLG02","num","2008","0","1","4599"
"r_1","BLG02","num","2008","0","2","4898"
"r_1","BLG02","num","2008","1","0","3134"
"r_1","BLG02","num","2008","1","1","1501"
"r_1","BLG02","num","2008","1","2","1633"
"r_1","BLG02","num","2008","2","0","6363"
"r_1","BLG02","num","2008","2","1","3098"
"r_1","BLG02","num","2008","2","2","3265"
"r_1","BLG02","num","2009","0","0","9541"
"r_1","BLG02","num","2009","0","1","4615"
"r_1","BLG02","num","2009","0","2","4926"
"r_1","BLG02","num","2009","1","0","3137"
"r_1","BLG02","num","2009","1","1","1497"
"r_1","BLG02","num","2009","1","2","1640"
"r_1","BLG02","num","2009","2","0","6404"
"r_1","BLG02","num","2009","2","1","3118"
"r_1","BLG02","num","2009","2","2","3286"
"r_1","BLG02","num","2010","0","0","9493"
"r_1","BLG02","num","2010","0","1","4578"
"r_1","BLG02","num","2010","0","2","4915"
"r_1","BLG02","num","2010","1","0","3091"
"r_1","BLG02","num","2010","1","1","1469"
"r_1","BLG02","num","2010","1","2","1622"
"r_1","BLG02","num","2010","2","0","6402"
"r_1","BLG02","num","2010","2","1","3109"
"r_1","BLG02","num","2010","2","2","3293"
"r_1","BLG02","num","2011","0","0","9911"
"r_1","BLG02","num","2011","0","1","4824"
"r_1","BLG02","num","2011","0","2","5087"
"r_1","BLG02","num","2011","1","0","3327"
"r_1","BLG02","num","2011","1","1","1592"
"r_1","BLG02","num","2011","1","2","1735"
"r_1","BLG02","num","2011","2","0","6584"
"r_1","BLG02","num","2011","2","1","3232"
"r_1","BLG02","num","2011","2","2","3352"
"r_1","BLG02","num","2012","0","0","9834"
"r_1","BLG02","num","2012","0","1","4798"
"r_1","BLG02","num","2012","0","2","5036"
"r_1","BLG02","num","2012","1","0","3281"
"r_1","BLG02","num","2012","1","1","1570"
"r_1","BLG02","num","2012","1","2","1711"
"r_1","BLG02","num","2012","2","0","6553"
"r_1","BLG02","num","2012","2","1","3228"
"r_1","BLG02","num","2012","2","2","3325"
"r_1","BLG02","num","2013","0","0","9762"
"r_1","BLG02","num","2013","0","1","4761"
"r_1","BLG02","num","2013","0","2","5001"
"r_1","BLG02","num","2013","1","0","3236"
"r_1","BLG02","num","2013","1","1","1552"
"r_1","BLG02","num","2013","1","2","1684"
"r_1","BLG02","num","2013","2","0","6526"
"r_1","BLG02","num","2013","2","1","3209"
"r_1","BLG02","num","2013","2","2","3317"
"r_1","BLG02","num","2014","0","0","9706"
"r_1","BLG02","num","2014","0","1","4735"
"r_1","BLG02","num","2014","0","2","4971"
"r_1","BLG02","num","2014","1","0","3196"
"r_1","BLG02","num","2014","1","1","1525"
"r_1","BLG02","num","2014","1","2","1671"
"r_1","BLG02","num","2014","2","0","6510"
"r_1","BLG02","num","2014","2","1","3210"
"r_1","BLG02","num","2014","2","2","3300"
"r_1","BLG03","num","2000","0","0","79312"
"r_1","BLG03","num","2000","0","1","38385"
"r_1","BLG03","num","2000","0","2","40927"
"r_1","BLG03","num","2000","1","0","72528"
"r_1","BLG03","num","2000","1","1","35012"
"r_1","BLG03","num","2000","1","2","37516"
"r_1","BLG03","num","2000","2","0","6784"
"r_1","BLG03","num","2000","2","1","3373"
"r_1","BLG03","num","2000","2","2","3411"
"r_1","BLG03","num","2001","0","0","78343"
"r_1","BLG03","num","2001","0","1","38005"
"r_1","BLG03","num","2001","0","2","40338"
"r_1","BLG03","num","2001","1","0","71488"
"r_1","BLG03","num","2001","1","1","34578"
"r_1","BLG03","num","2001","1","2","36910"
"r_1","BLG03","num","2001","2","0","6855"
"r_1","BLG03","num","2001","2","1","3427"
"r_1","BLG03","num","2001","2","2","3428"
"r_1","BLG03","num","2002","0","0","77713"
"r_1","BLG03","num","2002","0","1","37662"
"r_1","BLG03","num","2002","0","2","40051"
"r_1","BLG03","num","2002","1","0","71123"
"r_1","BLG03","num","2002","1","1","34368"
"r_1","BLG03","num","2002","1","2","36755"
"r_1","BLG03","num","2002","2","0","6590"
"r_1","BLG03","num","2002","2","1","3294"
"r_1","BLG03","num","2002","2","2","3296"
"r_1","BLG03","num","2003","0","0","77346"
"r_1","BLG03","num","2003","0","1","37432"
"r_1","BLG03","num","2003","0","2","39914"
"r_1","BLG03","num","2003","1","0","70847"
"r_1","BLG03","num","2003","1","1","34179"
"r_1","BLG03","num","2003","1","2","36668"
"r_1","BLG03","num","2003","2","0","6499"
"r_1","BLG03","num","2003","2","1","3253"
"r_1","BLG03","num","2003","2","2","3246"
"r_1","BLG03","num","2004","0","0","77422"
"r_1","BLG03","num","2004","0","1","37426"
"r_1","BLG03","num","2004","0","2","39996"
"r_1","BLG03","num","2004","1","0","70999"
"r_1","BLG03","num","2004","1","1","34204"
"r_1","BLG03","num","2004","1","2","36795"
"r_1","BLG03","num","2004","2","0","6423"
"r_1","BLG03","num","2004","2","1","3222"
"r_1","BLG03","num","2004","2","2","3201"
"r_1","BLG03","num","2005","0","0","77462"
"r_1","BLG03","num","2005","0","1","37389"
"r_1","BLG03","num","2005","0","2","40073"
"r_1","BLG03","num","2005","1","0","71123"
"r_1","BLG03","num","2005","1","1","34200"
"r_1","BLG03","num","2005","1","2","36923"
"r_1","BLG03","num","2005","2","0","6339"
"r_1","BLG03","num","2005","2","1","3189"
"r_1","BLG03","num","2005","2","2","3150"
"r_1","BLG03","num","2006","0","0","76257"
"r_1","BLG03","num","2006","0","1","36743"
"r_1","BLG03","num","2006","0","2","39514"
"r_1","BLG03","num","2006","1","0","69976"
"r_1","BLG03","num","2006","1","1","33594"
"r_1","BLG03","num","2006","1","2","36382"
"r_1","BLG03","num","2006","2","0","6281"
"r_1","BLG03","num","2006","2","1","3149"
"r_1","BLG03","num","2006","2","2","3132"
"r_1","BLG03","num","2007","0","0","76090"
"r_1","BLG03","num","2007","0","1","36550"
"r_1","BLG03","num","2007","0","2","39540"
"r_1","BLG03","num","2007","1","0","69828"
"r_1","BLG03","num","2007","1","1","33420"
"r_1","BLG03","num","2007","1","2","36408"
"r_1","BLG03","num","2007","2","0","6262"
"r_1","BLG03","num","2007","2","1","3130"
"r_1","BLG03","num","2007","2","2","3132"
"r_1","BLG03","num","2008","0","0","76394"
"r_1","BLG03","num","2008","0","1","36710"
"r_1","BLG03","num","2008","0","2","39684"
