RevisionColumn,EKATTE,Units,periods,Gender_Child,ValueColumn
"r_1","BLG13","num","2012","0","181"
"r_1","BLG13","num","2012","1","95"
"r_1","BLG13","num","2012","2","86"
"r_1","BLG13","num","2013","0","183"
"r_1","BLG13","num","2013","1","100"
"r_1","BLG13","num","2013","2","83"
"r_1","BLG13","num","2014","0","168"
"r_1","BLG13","num","2014","1","89"
"r_1","BLG13","num","2014","2","79"
"r_1","BLG28","num","2000","0","49"
"r_1","BLG28","num","2000","1","29"
"r_1","BLG28","num","2000","2","20"
"r_1","BLG28","num","2001","0","49"
"r_1","BLG28","num","2001","1","31"
"r_1","BLG28","num","2001","2","18"
"r_1","BLG28","num","2002","0","42"
"r_1","BLG28","num","2002","1","26"
"r_1","BLG28","num","2002","2","16"
"r_1","BLG28","num","2003","0","43"
"r_1","BLG28","num","2003","1","24"
"r_1","BLG28","num","2003","2","19"
"r_1","BLG28","num","2004","0","46"
"r_1","BLG28","num","2004","1","27"
"r_1","BLG28","num","2004","2","19"
"r_1","BLG28","num","2005","0","43"
"r_1","BLG28","num","2005","1","24"
"r_1","BLG28","num","2005","2","19"
"r_1","BLG28","num","2006","0","33"
"r_1","BLG28","num","2006","1","20"
"r_1","BLG28","num","2006","2","13"
"r_1","BLG28","num","2007","0","41"
"r_1","BLG28","num","2007","1","22"
"r_1","BLG28","num","2007","2","19"
"r_1","BLG28","num","2008","0","44"
"r_1","BLG28","num","2008","1","24"
"r_1","BLG28","num","2008","2","20"
"r_1","BLG28","num","2009","0","31"
"r_1","BLG28","num","2009","1","19"
"r_1","BLG28","num","2009","2","12"
"r_1","BLG28","num","2010","0","40"
"r_1","BLG28","num","2010","1","26"
"r_1","BLG28","num","2010","2","14"
"r_1","BLG28","num","2011","0","43"
"r_1","BLG28","num","2011","1","20"
"r_1","BLG28","num","2011","2","23"
"r_1","BLG28","num","2012","0","46"
"r_1","BLG28","num","2012","1","22"
"r_1","BLG28","num","2012","2","24"
"r_1","BLG28","num","2013","0","48"
"r_1","BLG28","num","2013","1","17"
"r_1","BLG28","num","2013","2","31"
"r_1","BLG28","num","2014","0","35"
"r_1","BLG28","num","2014","1","20"
"r_1","BLG28","num","2014","2","15"
"r_1","BLG33","num","2000","0","552"
"r_1","BLG33","num","2000","1","304"
"r_1","BLG33","num","2000","2","248"
"r_1","BLG33","num","2001","0","542"
"r_1","BLG33","num","2001","1","281"
"r_1","BLG33","num","2001","2","261"
"r_1","BLG33","num","2002","0","517"
"r_1","BLG33","num","2002","1","271"
"r_1","BLG33","num","2002","2","246"
"r_1","BLG33","num","2003","0","553"
"r_1","BLG33","num","2003","1","293"
"r_1","BLG33","num","2003","2","260"
"r_1","BLG33","num","2004","0","538"
"r_1","BLG33","num","2004","1","261"
"r_1","BLG33","num","2004","2","277"
"r_1","BLG33","num","2005","0","565"
"r_1","BLG33","num","2005","1","284"
"r_1","BLG33","num","2005","2","281"
"r_1","BLG33","num","2006","0","578"
"r_1","BLG33","num","2006","1","292"
"r_1","BLG33","num","2006","2","286"
"r_1","BLG33","num","2007","0","560"
"r_1","BLG33","num","2007","1","272"
"r_1","BLG33","num","2007","2","288"
"r_1","BLG33","num","2008","0","531"
"r_1","BLG33","num","2008","1","265"
"r_1","BLG33","num","2008","2","266"
"r_1","BLG33","num","2009","0","569"
"r_1","BLG33","num","2009","1","289"
"r_1","BLG33","num","2009","2","280"
"r_1","BLG33","num","2010","0","570"
"r_1","BLG33","num","2010","1","288"
"r_1","BLG33","num","2010","2","282"
"r_1","BLG33","num","2011","0","515"
"r_1","BLG33","num","2011","1","273"
"r_1","BLG33","num","2011","2","242"
"r_1","BLG33","num","2012","0","511"
"r_1","BLG33","num","2012","1","263"
"r_1","BLG33","num","2012","2","248"
"r_1","BLG33","num","2013","0","458"
"r_1","BLG33","num","2013","1","242"
"r_1","BLG33","num","2013","2","216"
"r_1","BLG33","num","2014","0","439"
"r_1","BLG33","num","2014","1","228"
"r_1","BLG33","num","2014","2","211"
"r_1","BLG37","num","2000","0","196"
"r_1","BLG37","num","2000","1","104"
"r_1","BLG37","num","2000","2","92"
"r_1","BLG37","num","2001","0","171"
"r_1","BLG37","num","2001","1","87"
"r_1","BLG37","num","2001","2","84"
"r_1","BLG37","num","2002","0","188"
"r_1","BLG37","num","2002","1","87"
"r_1","BLG37","num","2002","2","101"
"r_1","BLG37","num","2003","0","176"
"r_1","BLG37","num","2003","1","85"
"r_1","BLG37","num","2003","2","91"
"r_1","BLG37","num","2004","0","216"
"r_1","BLG37","num","2004","1","89"
"r_1","BLG37","num","2004","2","127"
"r_1","BLG37","num","2005","0","214"
"r_1","BLG37","num","2005","1","115"
"r_1","BLG37","num","2005","2","99"
"r_1","BLG37","num","2006","0","217"
"r_1","BLG37","num","2006","1","115"
"r_1","BLG37","num","2006","2","102"
"r_1","BLG37","num","2007","0","221"
"r_1","BLG37","num","2007","1","117"
"r_1","BLG37","num","2007","2","104"
"r_1","BLG37","num","2008","0","228"
"r_1","BLG37","num","2008","1","126"
"r_1","BLG37","num","2008","2","102"
"r_1","BLG37","num","2009","0","221"
"r_1","BLG37","num","2009","1","108"
"r_1","BLG37","num","2009","2","113"
"r_1","BLG37","num","2010","0","223"
"r_1","BLG37","num","2010","1","108"
"r_1","BLG37","num","2010","2","115"
"r_1","BLG37","num","2011","0","236"
"r_1","BLG37","num","2011","1","126"
"r_1","BLG37","num","2011","2","110"
"r_1","BLG37","num","2012","0","170"
"r_1","BLG37","num","2012","1","89"
"r_1","BLG37","num","2012","2","81"
"r_1","BLG37","num","2013","0","189"
"r_1","BLG37","num","2013","1","93"
"r_1","BLG37","num","2013","2","96"
"r_1","BLG37","num","2014","0","194"
"r_1","BLG37","num","2014","1","90"
"r_1","BLG37","num","2014","2","104"
"r_1","BLG40","num","2000","0","357"
"r_1","BLG40","num","2000","1","185"
"r_1","BLG40","num","2000","2","172"
"r_1","BLG40","num","2001","0","325"
"r_1","BLG40","num","2001","1","150"
"r_1","BLG40","num","2001","2","175"
"r_1","BLG40","num","2002","0","353"
"r_1","BLG40","num","2002","1","195"
"r_1","BLG40","num","2002","2","158"
"r_1","BLG40","num","2003","0","327"
"r_1","BLG40","num","2003","1","160"
"r_1","BLG40","num","2003","2","167"
"r_1","BLG40","num","2004","0","380"
