RevisionColumn,Age10_LFS,NUTS,GenderID,periods,Units,ValueColumn
"r_2","15 - 64_gr","BG41","1","2004Q2","1000cp","219.7"
"r_2","15 - 64_gr","BG41","2","2004Q2","1000cp","277.1"
"r_2","15 - 64_gr","BG42","0","2004Q2","1000cp","412.4"
"r_2","15 - 64_gr","BG42","1","2004Q2","1000cp","181"
"r_2","15 - 64_gr","BG42","2","2004Q2","1000cp","231.5"
"r_2","0","BG","0","2004Q3","1000cp","3284.6"
"r_2","0","BG","1","2004Q3","1000cp","1405.1"
"r_2","0","BG","2","2004Q3","1000cp","1879.5"
"r_2","0","BG31","0","2004Q3","1000cp","475.2"
"r_2","0","BG31","1","2004Q3","1000cp","210.1"
"r_2","0","BG31","2","2004Q3","1000cp","265.1"
"r_2","0","BG32","0","2004Q3","1000cp","424.5"
"r_2","0","BG32","1","2004Q3","1000cp","182.1"
"r_2","0","BG32","2","2004Q3","1000cp","242.4"
"r_2","0","BG33","0","2004Q3","1000cp","410.5"
"r_2","0","BG33","1","2004Q3","1000cp","173.4"
"r_2","0","BG33","2","2004Q3","1000cp","237"
"r_2","0","BG34","0","2004Q3","1000cp","477.7"
"r_2","0","BG34","1","2004Q3","1000cp","199.3"
"r_2","0","BG34","2","2004Q3","1000cp","278.4"
"r_2","0","BG41","0","2004Q3","1000cp","829.1"
"r_2","0","BG41","1","2004Q3","1000cp","353.8"
"r_2","0","BG41","2","2004Q3","1000cp","475.3"
"r_2","0","BG42","0","2004Q3","1000cp","667.6"
"r_2","0","BG42","1","2004Q3","1000cp","286.2"
"r_2","0","BG42","2","2004Q3","1000cp","381.3"
"r_2","15 - 64_gr","BG","0","2004Q3","1000cp","1959.3"
"r_2","15 - 64_gr","BG","1","2004Q3","1000cp","854.4"
"r_2","15 - 64_gr","BG","2","2004Q3","1000cp","1104.9"
"r_2","15 - 64_gr","BG31","0","2004Q3","1000cp","272"
"r_2","15 - 64_gr","BG31","1","2004Q3","1000cp","123.8"
"r_2","15 - 64_gr","BG31","2","2004Q3","1000cp","148.1"
"r_2","15 - 64_gr","BG32","0","2004Q3","1000cp","251.8"
"r_2","15 - 64_gr","BG32","1","2004Q3","1000cp","111"
"r_2","15 - 64_gr","BG32","2","2004Q3","1000cp","140.9"
"r_2","15 - 64_gr","BG33","0","2004Q3","1000cp","258.4"
"r_2","15 - 64_gr","BG33","1","2004Q3","1000cp","110.7"
"r_2","15 - 64_gr","BG33","2","2004Q3","1000cp","147.7"
"r_2","15 - 64_gr","BG34","0","2004Q3","1000cp","275.5"
"r_2","15 - 64_gr","BG34","1","2004Q3","1000cp","115.8"
"r_2","15 - 64_gr","BG34","2","2004Q3","1000cp","159.7"
"r_2","15 - 64_gr","BG41","0","2004Q3","1000cp","495.5"
"r_2","15 - 64_gr","BG41","1","2004Q3","1000cp","216.4"
"r_2","15 - 64_gr","BG41","2","2004Q3","1000cp","279.1"
"r_2","15 - 64_gr","BG42","0","2004Q3","1000cp","406.1"
"r_2","15 - 64_gr","BG42","1","2004Q3","1000cp","176.7"
"r_2","15 - 64_gr","BG42","2","2004Q3","1000cp","229.5"
"r_2","0","BG","0","2004Q4","1000cp","3377.6"
"r_2","0","BG","1","2004Q4","1000cp","1442.3"
"r_2","0","BG","2","2004Q4","1000cp","1935.3"
"r_2","0","BG31","0","2004Q4","1000cp","483.4"
"r_2","0","BG31","1","2004Q4","1000cp","215.4"
"r_2","0","BG31","2","2004Q4","1000cp","268.1"
"r_2","0","BG32","0","2004Q4","1000cp","439.8"
"r_2","0","BG32","1","2004Q4","1000cp","188.3"
"r_2","0","BG32","2","2004Q4","1000cp","251.6"
"r_2","0","BG33","0","2004Q4","1000cp","410.1"
"r_2","0","BG33","1","2004Q4","1000cp","171.3"
"r_2","0","BG33","2","2004Q4","1000cp","238.8"
"r_2","0","BG34","0","2004Q4","1000cp","498.3"
"r_2","0","BG34","1","2004Q4","1000cp","202.6"
"r_2","0","BG34","2","2004Q4","1000cp","295.8"
"r_2","0","BG41","0","2004Q4","1000cp","842.7"
"r_2","0","BG41","1","2004Q4","1000cp","362.4"
"r_2","0","BG41","2","2004Q4","1000cp","480.3"
