RevisionColumn,GenderID,Units,periods,ValueColumn
"r_41","0","1000cp","2021Q2","2553.7"
"r_41","1","1000cp","2021Q2","1325.4"
"r_41","2","1000cp","2021Q2","1228.4"
"r_42","0","1000cp","2021Q3","2590.1"
"r_42","1","1000cp","2021Q3","1346.2"
"r_42","2","1000cp","2021Q3","1243.9"
"r_43","0","1000cp","2021Q4","2546.9"
"r_43","1","1000cp","2021Q4","1318.4"
"r_43","2","1000cp","2021Q4","1228.5"
"r_44","0","1000cp","2024Q2","2587.7"
"r_44","1","1000cp","2024Q2","1328.6"
"r_44","2","1000cp","2024Q2","1259.1"
"r_45","0","1000cp","2024Q3","2606"
"r_45","1","1000cp","2024Q3","1339.7"
"r_45","2","1000cp","2024Q3","1266.3"
"r_46","0","1000cp","2024Q4","2567.6"
"r_46","1","1000cp","2024Q4","1308.5"
"r_46","2","1000cp","2024Q4","1259.1"
"r_47","0","1000cp","2025Q1","2549.4"
"r_47","1","1000cp","2025Q1","1310.3"
"r_47","2","1000cp","2025Q1","1239.1"
"r_48","0","1000cp","2025Q2","2545.9"
"r_48","1","1000cp","2025Q2","1302.9"
"r_48","2","1000cp","2025Q2","1243"
"r_49","0","1000cp","2025Q3","2558.8"
"r_49","1","1000cp","2025Q3","1308.7"
"r_49","2","1000cp","2025Q3","1250"
