RevisionColumn,SILC_HHType,SILC_Median,Units,periods,ValueColumn
"r_6","12","6","BGN_fig","2017","5795"
"r_6","20","5","euro","2017","4771"
"r_6","20","5","BGN_fig","2017","9331"
"r_6","20","6","euro","2017","3739"
"r_6","20","6","BGN_fig","2017","7313"
"r_6","8","5","euro","2017","5844"
"r_6","8","5","BGN_fig","2017","11429"
"r_6","8","6","euro","2017","4717"
"r_6","8","6","BGN_fig","2017","9226"
"r_6","13","5","euro","2017","5833"
"r_6","13","5","BGN_fig","2017","11408"
"r_6","13","6","euro","2017","4445"
"r_6","13","6","BGN_fig","2017","8694"
"r_6","14","5","euro","2017","4815"
"r_6","14","5","BGN_fig","2017","9418"
"r_6","14","6","euro","2017","3865"
"r_6","14","6","BGN_fig","2017","7560"
"r_6","15","5","euro","2017","2136"
"r_6","15","5","BGN_fig","2017","4178"
"r_6","15","6","euro","2017","1534"
"r_6","15","6","BGN_fig","2017","3001"
"r_6","18","5","euro","2017","5183"
"r_6","18","5","BGN_fig","2017","10137"
"r_6","18","6","euro","2017","4136"
"r_6","18","6","BGN_fig","2017","8088"
"r_6","17","5","euro","2017","4536"
"r_6","17","5","BGN_fig","2017","8872"
"r_6","17","6","euro","2017","3601"
"r_6","17","6","BGN_fig","2017","7043"
"r_6","10","5","euro","2017","5772"
"r_6","10","5","BGN_fig","2017","11290"
"r_6","10","6","euro","2017","4634"
"r_6","10","6","BGN_fig","2017","9064"
"r_6","3","5","euro","2017","4734"
"r_6","3","5","BGN_fig","2017","9259"
"r_6","3","6","euro","2017","3629"
"r_6","3","6","BGN_fig","2017","7097"
"r_6","11","5","euro","2017","4457"
"r_6","11","5","BGN_fig","2017","8718"
"r_6","11","6","euro","2017","3527"
"r_6","11","6","BGN_fig","2017","6898"
"r_7","1","5","euro","2018","3893"
"r_7","1","5","BGN_fig","2018","7614"
"r_7","1","6","euro","2018","2523"
"r_7","1","6","BGN_fig","2018","4934"
"r_7","12","5","euro","2018","3660"
"r_7","12","5","BGN_fig","2018","7158"
"r_7","12","6","euro","2018","3250"
"r_7","12","6","BGN_fig","2018","6357"
"r_7","20","5","euro","2018","4674"
"r_7","20","5","BGN_fig","2018","9142"
"r_7","20","6","euro","2018","3762"
"r_7","20","6","BGN_fig","2018","7358"
"r_7","8","5","euro","2018","5529"
"r_7","8","5","BGN_fig","2018","10813"
"r_7","8","6","euro","2018","4568"
"r_7","8","6","BGN_fig","2018","8935"
"r_7","13","5","euro","2018","5899"
"r_7","13","5","BGN_fig","2018","11537"
"r_7","13","6","euro","2018","4329"
"r_7","13","6","BGN_fig","2018","8466"
"r_7","14","5","euro","2018","5192"
"r_7","14","5","BGN_fig","2018","10154"
"r_7","14","6","euro","2018","3615"
"r_7","14","6","BGN_fig","2018","7070"
"r_7","15","5","euro","2018","3202"
"r_7","15","5","BGN_fig","2018","6263"
"r_7","15","6","euro","2018","1963"
"r_7","15","6","BGN_fig","2018","3840"
"r_7","18","5","euro","2018","5021"
"r_7","18","5","BGN_fig","2018","9821"
"r_7","18","6","euro","2018","4057"
"r_7","18","6","BGN_fig","2018","7934"
"r_7","17","5","euro","2018","4643"
"r_7","17","5","BGN_fig","2018","9080"
"r_7","17","6","euro","2018","3553"
"r_7","17","6","BGN_fig","2018","6949"
"r_7","10","5","euro","2018","5536"
"r_7","10","5","BGN_fig","2018","10828"
"r_7","10","6","euro","2018","4529"
"r_7","10","6","BGN_fig","2018","8858"
"r_7","3","5","euro","2018","4701"
"r_7","3","5","BGN_fig","2018","9195"
"r_7","3","6","euro","2018","3645"
"r_7","3","6","BGN_fig","2018","7129"
"r_7","11","5","euro","2018","4591"
"r_7","11","5","BGN_fig","2018","8979"
"r_7","11","6","euro","2018","3541"
"r_7","11","6","BGN_fig","2018","6925"
"r_8","1","5","euro","2019","4481"
"r_8","1","5","BGN_fig","2019","8764"
"r_8","1","6","euro","2019","2727"
"r_8","1","6","BGN_fig","2019","5334"
"r_8","12","5","euro","2019","4135"
"r_8","12","5","BGN_fig","2019","8087"
"r_8","12","6","euro","2019","3007"
"r_8","12","6","BGN_fig","2019","5881"
"r_8","20","5","euro","2019","5332"
"r_8","20","5","BGN_fig","2019","10429"
"r_8","20","6","euro","2019","4254"
"r_8","20","6","BGN_fig","2019","8319"
"r_8","8","5","euro","2019","6372"
"r_8","8","5","BGN_fig","2019","12463"
"r_8","8","6","euro","2019","5140"
"r_8","8","6","BGN_fig","2019","10052"
"r_8","13","5","euro","2019","7346"
"r_8","13","5","BGN_fig","2019","14368"
"r_8","13","6","euro","2019","5088"
"r_8","13","6","BGN_fig","2019","9952"
"r_8","14","5","euro","2019","5985"
"r_8","14","5","BGN_fig","2019","11705"
"r_8","14","6","euro","2019","4344"
"r_8","14","6","BGN_fig","2019","8496"
"r_8","15","5","euro","2019","3188"
"r_8","15","5","BGN_fig","2019","6235"
"r_8","15","6","euro","2019","1847"
"r_8","15","6","BGN_fig","2019","3612"
"r_8","18","5","euro","2019","6004"
"r_8","18","5","BGN_fig","2019","11743"
"r_8","18","6","euro","2019","4794"
"r_8","18","6","BGN_fig","2019","9376"
"r_8","17","5","euro","2019","5628"
"r_8","17","5","BGN_fig","2019","11007"
"r_8","17","6","euro","2019","4316"
"r_8","17","6","BGN_fig","2019","8441"
"r_8","10","5","euro","2019","7007"
"r_8","10","5","BGN_fig","2019","13704"
"r_8","10","6","euro","2019","5424"
"r_8","10","6","BGN_fig","2019","10609"
"r_8","3","5","euro","2019","5562"
"r_8","3","5","BGN_fig","2019","10879"
"r_8","3","6","euro","2019","4165"
"r_8","3","6","BGN_fig","2019","8145"
"r_8","11","5","euro","2019","5540"
"r_8","11","5","BGN_fig","2019","10835"
"r_8","11","6","euro","2019","4248"
"r_8","11","6","BGN_fig","2019","8309"
"r_9","1","5","euro","2020","4297"
"r_9","1","5","BGN_fig","2020","8405"
"r_9","1","6","euro","2020","2913"
"r_9","1","6","BGN_fig","2020","5697"
"r_9","12","5","euro","2020","4334"
"r_9","12","5","BGN_fig","2020","8476"
"r_9","12","6","euro","2020","3438"
"r_9","12","6","BGN_fig","2020","6725"
"r_9","20","5","euro","2020","6039"
"r_9","20","5","BGN_fig","2020","11811"
"r_9","20","6","euro","2020","4768"
"r_9","20","6","BGN_fig","2020","9325"
"r_9","8","5","euro","2020","7496"
"r_9","8","5","BGN_fig","2020","14661"
"r_9","8","6","euro","2020","6056"
"r_9","8","6","BGN_fig","2020","11844"
"r_9","13","5","euro","2020","7016"
"r_9","13","5","BGN_fig","2020","13723"
"r_9","13","6","euro","2020","5496"
"r_9","13","6","BGN_fig","2020","10749"
"r_9","14","5","euro","2020","6891"
"r_9","14","5","BGN_fig","2020","13478"
"r_9","14","6","euro","2020","5039"
"r_9","14","6","BGN_fig","2020","9856"
"r_9","15","5","euro","2020","3371"
"r_9","15","5","BGN_fig","2020","6594"
"r_9","15","6","euro","2020","2272"
"r_9","15","6","BGN_fig","2020","4444"
"r_9","18","5","euro","2020","6633"
"r_9","18","5","BGN_fig","2020","12974"
"r_9","18","6","euro","2020","5296"
"r_9","18","6","BGN_fig","2020","10357"
"r_9","17","5","euro","2020","6021"
"r_9","17","5","BGN_fig","2020","11775"
"r_9","17","6","euro","2020","4726"
"r_9","17","6","BGN_fig","2020","9242"
"r_9","10","5","euro","2020","7511"
"r_9","10","5","BGN_fig","2020","14689"
"r_9","10","6","euro","2020","5841"
"r_9","10","6","BGN_fig","2020","11424"
"r_9","3","5","euro","2020","5934"
"r_9","3","5","BGN_fig","2020","11605"
"r_9","3","6","euro","2020","4593"
"r_9","3","6","BGN_fig","2020","8983"
"r_9","11","5","euro","2020","5921"
"r_9","11","5","BGN_fig","2020","11581"
"r_9","11","6","euro","2020","4644"
"r_9","11","6","BGN_fig","2020","9083"
"r_10","1","5","euro","2021","5413"
"r_10","1","5","BGN_fig","2021","10587"
"r_10","1","6","euro","2021","3450"
"r_10","1","6","BGN_fig","2021","6747"
"r_10","12","5","euro","2021","7624"
"r_10","12","5","BGN_fig","2021","14911"
"r_10","12","6","euro","2021","3995"
"r_10","12","6","BGN_fig","2021","7814"
"r_10","20","5","euro","2021","7061"
"r_10","20","5","BGN_fig","2021","13809"
"r_10","20","6","euro","2021","5241"
"r_10","20","6","BGN_fig","2021","10250"
"r_10","8","5","euro","2021","8923"
"r_10","8","5","BGN_fig","2021","17452"
"r_10","8","6","euro","2021","6274"
"r_10","8","6","BGN_fig","2021","12271"
"r_10","13","5","euro","2021","7727"
"r_10","13","5","BGN_fig","2021","15112"
"r_10","13","6","euro","2021","5832"
