RevisionColumn,HBS_POTR,Residence,periods,ValueColumn
"r_1","11","1","2009","11.2"
"r_1","11","2","2009","10.7"
"r_1","11","0","2010","12"
"r_1","11","1","2010","12"
"r_1","11","2","2010","12"
"r_1","11","0","2011","12.2"
"r_1","11","1","2011","12.1"
"r_1","11","2","2011","12.5"
"r_1","11","0","2012","12.4"
"r_1","11","1","2012","12.5"
"r_1","11","2","2012","12.3"
"r_1","11","0","2013","12.7"
"r_1","11","1","2013","12.8"
"r_1","11","2","2013","12.5"
"r_1","11","0","2014","12.1"
"r_1","11","1","2014","12.2"
"r_1","11","2","2014","11.8"
"r_1","12","0","2004","2.4"
"r_1","12","1","2004","2.7"
"r_1","12","2","2004","1.6"
"r_1","12","0","2005","2.6"
"r_1","12","1","2005","2.9"
"r_1","12","2","2005","1.8"
"r_1","12","0","2006","2.9"
"r_1","12","1","2006","3.3"
"r_1","12","2","2006","2.2"
"r_1","12","0","2007","3"
"r_1","12","1","2007","3.3"
"r_1","12","2","2007","2.2"
"r_1","12","0","2008","2.9"
"r_1","12","1","2008","3.2"
"r_1","12","2","2008","2.2"
"r_1","12","0","2009","3.3"
"r_1","12","1","2009","3.7"
"r_1","12","2","2009","2.5"
"r_1","12","0","2010","3.6"
"r_1","12","1","2010","3.8"
"r_1","12","2","2010","2.9"
"r_1","12","0","2011","3.3"
"r_1","12","1","2011","3.5"
"r_1","12","2","2011","2.7"
"r_1","12","0","2012","3.5"
"r_1","12","1","2012","3.8"
"r_1","12","2","2012","2.6"
"r_1","12","0","2013","3.7"
"r_1","12","1","2013","4"
"r_1","12","2","2013","2.7"
"r_1","12","0","2014","3.7"
"r_1","12","1","2014","4.1"
"r_1","12","2","2014","2.7"
"r_1","13","0","2004","1.3"
