RevisionColumn,periods,NUTS,Indicators,Units,ValueColumn
"r_3","2009","BG341","3.1.1.6.1","1000EUR","836737.9"
"r_3","2010","BG341","3.1.1.6.1","1000EUR","1622748.5"
"r_3","2011","BG341","3.1.1.6.1","1000EUR","1811907.3"
"r_3","2012","BG341","3.1.1.6.1","1000EUR","2023505.8"
"r_3","2013","BG341","3.1.1.6.1","1000EUR","2438309"
"r_3","2014","BG341","3.1.1.6.1","1000EUR","937226.7"
"r_3","2007","BG342","3.1.1.6.1","1000EUR","107846.8"
"r_3","2008","BG342","3.1.1.6.1","1000EUR",".."
"r_3","2009","BG342","3.1.1.6.1","1000EUR","558503.2"
"r_3","2010","BG342","3.1.1.6.1","1000EUR","468443.5"
"r_3","2011","BG342","3.1.1.6.1","1000EUR","504970.8"
"r_3","2012","BG342","3.1.1.6.1","1000EUR","107482.6"
"r_3","2013","BG342","3.1.1.6.1","1000EUR","97402.2"
"r_3","2014","BG342","3.1.1.6.1","1000EUR","92702.1"
"r_3","2007","BG344","3.1.1.6.1","1000EUR","580458.7"
"r_3","2008","BG344","3.1.1.6.1","1000EUR","419201.5"
"r_3","2009","BG344","3.1.1.6.1","1000EUR","425851.7"
"r_3","2010","BG344","3.1.1.6.1","1000EUR","573532.9"
"r_3","2011","BG344","3.1.1.6.1","1000EUR","562142.6"
"r_3","2012","BG344","3.1.1.6.1","1000EUR","668907.3"
"r_3","2013","BG344","3.1.1.6.1","1000EUR","796979.5"
"r_3","2014","BG344","3.1.1.6.1","1000EUR","969270.6"
"r_3","2007","BG343","3.1.1.6.1","1000EUR","11812.8"
"r_3","2008","BG343","3.1.1.6.1","1000EUR",".."
"r_3","2009","BG343","3.1.1.6.1","1000EUR","36099.2"
"r_3","2010","BG343","3.1.1.6.1","1000EUR","64191.3"
"r_3","2011","BG343","3.1.1.6.1","1000EUR","68228.1"
"r_3","2012","BG343","3.1.1.6.1","1000EUR","66344"
"r_3","2013","BG343","3.1.1.6.1","1000EUR","53258.2"
"r_3","2014","BG343","3.1.1.6.1","1000EUR","58091.3"
"r_3","2007","BG41","3.1.1.6.1","1000EUR","10404969.200000001"
"r_3","2008","BG41","3.1.1.6.1","1000EUR","12853513.1"
