RevisionColumn,Units,periods,Indicators,ValueColumn
"r_1","1000BGN","2007","3.1.2.4.1.0.2.1.1.2","70103"
"r_1","1000BGN","2008","3.1.2.4.1.0.2.1.1.2","92307"
"r_1","1000BGN","2009","3.1.2.4.1.0.2.1.1.2","113446"
"r_1","1000BGN","2010","3.1.2.4.1.0.2.1.1.2","127882"
"r_1","1000BGN","2011","3.1.2.4.1.0.2.1.1.2","146820"
"r_1","1000BGN","2012","3.1.2.4.1.0.2.1.1.2","198891"
"r_1","1000BGN","2013","3.1.2.4.1.0.2.1.1.2","191442"
"r_1","1000BGN","2014","3.1.2.4.1.0.2.1.1.2","188997"
"r_1","1000BGN","2015","3.1.2.4.1.0.2.1.1.2","176734"
"r_1","1000BGN","2016","3.1.2.4.1.0.2.1.1.2","172372"
"r_1","1000BGN","2017","3.1.2.4.1.0.2.1.1.2","196594"
"r_1","1000BGN","2018","3.1.2.4.1.0.2.1.1.2","219479"
"r_1","1000BGN","2019","3.1.2.4.1.0.2.1.1.2","236116"
"r_1","1000BGN","2020","3.1.2.4.1.0.2.1.1.2","227032"
"r_1","1000BGN","2005","3.1.2.4.1.0.2.1.1.3","205541"
"r_1","1000BGN","2006","3.1.2.4.1.0.2.1.1.3","384827"
"r_1","1000BGN","2007","3.1.2.4.1.0.2.1.1.3","1220157"
"r_1","1000BGN","2008","3.1.2.4.1.0.2.1.1.3","1618895"
"r_1","1000BGN","2009","3.1.2.4.1.0.2.1.1.3","1361605"
"r_1","1000BGN","2010","3.1.2.4.1.0.2.1.1.3","1718708"
"r_1","1000BGN","2011","3.1.2.4.1.0.2.1.1.3","2070099"
"r_1","1000BGN","2012","3.1.2.4.1.0.2.1.1.3","2066025"
"r_1","1000BGN","2013","3.1.2.4.1.0.2.1.1.3","2470500"
"r_1","1000BGN","2014","3.1.2.4.1.0.2.1.1.3","3626583"
"r_1","1000BGN","2015","3.1.2.4.1.0.2.1.1.3","4945651"
"r_1","1000BGN","2016","3.1.2.4.1.0.2.1.1.3","4797760"
"r_1","1000BGN","2017","3.1.2.4.1.0.2.1.1.3","4919642"
"r_1","1000BGN","2018","3.1.2.4.1.0.2.1.1.3","5304668"
"r_1","1000BGN","2019","3.1.2.4.1.0.2.1.1.3","4877621"
"r_1","1000BGN","2020","3.1.2.4.1.0.2.1.1.3","8564872"
"r_1","1000BGN","2005","3.1.2.4.1.0.2.1.1.4","47334"
"r_1","1000BGN","2006","3.1.2.4.1.0.2.1.1.4","55256"
"r_1","1000BGN","2007","3.1.2.4.1.0.2.1.1.4","63697"
"r_1","1000BGN","2008","3.1.2.4.1.0.2.1.1.4","143362"
"r_1","1000BGN","2009","3.1.2.4.1.0.2.1.1.4","126155"
"r_1","1000BGN","2010","3.1.2.4.1.0.2.1.1.4","216078"
"r_1","1000BGN","2011","3.1.2.4.1.0.2.1.1.4","275939"
"r_1","1000BGN","2012","3.1.2.4.1.0.2.1.1.4","357673"
"r_1","1000BGN","2013","3.1.2.4.1.0.2.1.1.4","373776"
"r_1","1000BGN","2014","3.1.2.4.1.0.2.1.1.4","453736"
"r_1","1000BGN","2015","3.1.2.4.1.0.2.1.1.4","842871"
"r_1","1000BGN","2016","3.1.2.4.1.0.2.1.1.4","606965"
"r_1","1000BGN","2017","3.1.2.4.1.0.2.1.1.4","597788"
"r_1","1000BGN","2018","3.1.2.4.1.0.2.1.1.4","747886"
"r_1","1000BGN","2019","3.1.2.4.1.0.2.1.1.4","558822"
"r_1","1000BGN","2020","3.1.2.4.1.0.2.1.1.4","1178190"
"r_1","1000BGN","2005","3.1.2.4.1.0.2.1.1.5","6883"
"r_1","1000BGN","2006","3.1.2.4.1.0.2.1.1.5","831"
"r_1","1000BGN","2007","3.1.2.4.1.0.2.1.1.5","3638"
"r_1","1000BGN","2008","3.1.2.4.1.0.2.1.1.5","11409"
"r_1","1000BGN","2009","3.1.2.4.1.0.2.1.1.5","2793"
"r_1","1000BGN","2010","3.1.2.4.1.0.2.1.1.5","5206"
"r_1","1000BGN","2011","3.1.2.4.1.0.2.1.1.5","4094"
"r_1","1000BGN","2012","3.1.2.4.1.0.2.1.1.5","2961"
"r_1","1000BGN","2013","3.1.2.4.1.0.2.1.1.5","2920"
"r_1","1000BGN","2014","3.1.2.4.1.0.2.1.1.5","3600"
"r_1","1000BGN","2015","3.1.2.4.1.0.2.1.1.5","2727"
"r_1","1000BGN","2016","3.1.2.4.1.0.2.1.1.5","4912"
"r_1","1000BGN","2017","3.1.2.4.1.0.2.1.1.5","5603"
"r_1","1000BGN","2018","3.1.2.4.1.0.2.1.1.5","12216"
"r_1","1000BGN","2019","3.1.2.4.1.0.2.1.1.5","10486"
"r_1","1000BGN","2020","3.1.2.4.1.0.2.1.1.5","7039"
"r_1","1000BGN","2005","3.1.2.4.1.0.2.1.1.6","0"
"r_1","1000BGN","2006","3.1.2.4.1.0.2.1.1.6","1198"
"r_1","1000BGN","2007","3.1.2.4.1.0.2.1.1.6","1890"
"r_1","1000BGN","2008","3.1.2.4.1.0.2.1.1.6","1254"
"r_1","1000BGN","2009","3.1.2.4.1.0.2.1.1.6","0"
"r_1","1000BGN","2010","3.1.2.4.1.0.2.1.1.6","6"
"r_1","1000BGN","2011","3.1.2.4.1.0.2.1.1.6","394"
"r_1","1000BGN","2012","3.1.2.4.1.0.2.1.1.6","97"
"r_1","1000BGN","2013","3.1.2.4.1.0.2.1.1.6","164"
"r_1","1000BGN","2014","3.1.2.4.1.0.2.1.1.6",".."
"r_1","1000BGN","2015","3.1.2.4.1.0.2.1.1.6","444"
"r_1","1000BGN","2016","3.1.2.4.1.0.2.1.1.6","86"
"r_1","1000BGN","2017","3.1.2.4.1.0.2.1.1.6","144"
"r_1","1000BGN","2018","3.1.2.4.1.0.2.1.1.6","1272"
"r_1","1000BGN","2019","3.1.2.4.1.0.2.1.1.6","678"
"r_1","1000BGN","2020","3.1.2.4.1.0.2.1.1.6",".."
"r_1","1000BGN","2005","3.1.2.4.1.0.2.1.3","0"
"r_1","1000BGN","2006","3.1.2.4.1.0.2.1.3","0"
"r_1","1000BGN","2007","3.1.2.4.1.0.2.1.3","0"
"r_1","1000BGN","2008","3.1.2.4.1.0.2.1.3","0"
"r_1","1000BGN","2009","3.1.2.4.1.0.2.1.3","1590"
"r_1","1000BGN","2010","3.1.2.4.1.0.2.1.3","0"
"r_1","1000BGN","2011","3.1.2.4.1.0.2.1.3","0"
"r_1","1000BGN","2012","3.1.2.4.1.0.2.1.3","51"
"r_1","1000BGN","2013","3.1.2.4.1.0.2.1.3","0"
"r_1","1000BGN","2014","3.1.2.4.1.0.2.1.3","0"
"r_1","1000BGN","2015","3.1.2.4.1.0.2.1.3","0"
"r_1","1000BGN","2016","3.1.2.4.1.0.2.1.3","0"
"r_1","1000BGN","2017","3.1.2.4.1.0.2.1.3","0"
"r_1","1000BGN","2018","3.1.2.4.1.0.2.1.3","0"
"r_1","1000BGN","2019","3.1.2.4.1.0.2.1.3","0"
"r_1","1000BGN","2020","3.1.2.4.1.0.2.1.3","0"
"r_1","1000BGN","2005","3.1.2.4.1.0.2.1","302812"
"r_1","1000BGN","2006","3.1.2.4.1.0.2.1","496069"
"r_1","1000BGN","2007","3.1.2.4.1.0.2.1","1363175"
"r_1","1000BGN","2008","3.1.2.4.1.0.2.1","1872958"
"r_1","1000BGN","2009","3.1.2.4.1.0.2.1","1615095"
"r_1","1000BGN","2010","3.1.2.4.1.0.2.1","2079228"
"r_1","1000BGN","2011","3.1.2.4.1.0.2.1","2511130"
"r_1","1000BGN","2012","3.1.2.4.1.0.2.1","2652581"
"r_1","1000BGN","2013","3.1.2.4.1.0.2.1","3065459"
"r_1","1000BGN","2014","3.1.2.4.1.0.2.1",".."
