RevisionColumn,PlaceResidence,GenderID,periods,Units,ValueColumn
"r_2","1","2","2004Q4","perc","49.3"
"r_2","1","2","2005Q1","perc","48.4"
"r_2","1","2","2005Q2","perc","49"
"r_2","1","2","2005Q3","perc","50.2"
"r_2","1","2","2005Q4","perc","49"
"r_2","1","2","2006Q1","perc","49.7"
"r_2","1","2","2006Q2","perc","51.8"
"r_2","1","2","2006Q3","perc","52.4"
"r_2","1","2","2006Q4","perc","50.9"
"r_2","1","2","2007Q1","perc","51.3"
"r_2","1","2","2007Q2","perc","52"
"r_2","1","2","2007Q3","perc","52.7"
"r_2","1","2","2007Q4","perc","52.2"
"r_2","1","2","2008Q1","perc","52.7"
"r_2","1","2","2008Q2","perc","53.1"
"r_2","1","2","2008Q3","perc","53.2"
"r_2","1","2","2008Q4","perc","52.8"
"r_2","1","2","2009Q1","perc","52.6"
"r_2","1","2","2009Q2","perc","53"
"r_2","1","2","2009Q3","perc","52.4"
"r_2","1","2","2009Q4","perc","51.2"
"r_2","1","2","2010Q1","perc","52.2"
"r_2","1","2","2010Q2","perc","52.8"
"r_2","1","2","2010Q3","perc","52.9"
"r_2","1","2","2010Q4","perc","53.2"
"r_2","1","2","2011Q1","perc","51.1"
"r_2","1","2","2011Q2","perc","51"
"r_2","1","2","2011Q3","perc","52"
"r_2","1","2","2011Q4","perc","52"
"r_2","1","2","2012Q1","perc","51.3"
"r_2","1","2","2012Q2","perc","51.7"
"r_2","1","2","2012Q3","perc","52.8"
"r_2","1","2","2012Q4","perc","52.7"
"r_2","1","2","2013Q1","perc","52.3"
"r_2","1","2","2013Q2","perc","53"
"r_2","1","2","2013Q3","perc","53.4"
"r_2","1","2","2013Q4","perc","53"
"r_2","1","2","2014Q1","perc","52.7"
"r_2","1","2","2014Q2","perc","52.8"
"r_2","1","2","2014Q3","perc","53.6"
"r_2","1","2","2014Q4","perc","53.4"
"r_2","1","2","2015Q1","perc","52.9"
"r_2","1","2","2015Q2","perc","53"
"r_2","1","2","2015Q3","perc","53.6"
"r_2","1","2","2015Q4","perc","53.4"
"r_2","2","0","2003Q1","perc","36.7"
"r_2","2","0","2003Q2","perc","40.7"
"r_2","2","0","2003Q3","perc","41.4"
"r_2","2","0","2003Q4","perc","38.6"
"r_2","2","0","2004Q1","perc","37.3"
"r_2","2","0","2004Q2","perc","41.4"
"r_2","2","0","2004Q3","perc","42.5"
"r_2","2","0","2004Q4","perc","38.8"
"r_2","2","0","2005Q1","perc","35.7"
"r_2","2","0","2005Q2","perc","40.6"
"r_2","2","0","2005Q3","perc","41.6"
"r_2","2","0","2005Q4","perc","38.9"
"r_2","2","0","2006Q1","perc","36.9"
"r_2","2","0","2006Q2","perc","41.2"
"r_2","2","0","2006Q3","perc","43.1"
"r_2","2","0","2006Q4","perc","41.9"
"r_2","2","0","2007Q1","perc","40.1"
"r_2","2","0","2007Q2","perc","42.2"
"r_2","2","0","2007Q3","perc","43.3"
"r_2","2","0","2007Q4","perc","42.3"
"r_2","2","0","2008Q1","perc","42.5"
"r_2","2","0","2008Q2","perc","44.6"
"r_2","2","0","2008Q3","perc","44.6"
"r_2","2","0","2008Q4","perc","42.4"
